"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.730","0.735","0.730","+0.005","0.735","0.715","0.895","0.705","930","3.81%","55","168410","59%","0.002","8.89","8.32","Active"
="0328","3REN","405","0.435","0.400","0.435","-0.035","0.445","0.395","0.490","0.200","175267","1.25%","31","11501575","56%","0.025","1.54","29.23","Active"
="5326","99SMART","101","2.950","3.030","2.950","+0.080","3.050","2.950","2.980","1.920","170807","0.41%","56","7102975","78%","0.103","5.84","51.91","Active"
="5326C1","99SMART-C1","301","0.500","0.515","0.485","+0.030","0.515","0.490","0.485","0.090","360","","58","47070","76%","0.051","","","Active"
="532610","99SMART-C10","301","","","0.110","","-","-","0.110","0.070","0","","-","623650","67%","","","","Active"
="532611","99SMART-C11","301","0.250","0.250","0.235","+0.015","0.250","0.245","0.235","0.125","1650","","44","424885","75%","0.024","","","Active"
="532612","99SMART-C12","301","0.150","0.150","0.145","+0.005","0.150","0.150","0.145","0.075","2250","","100","540160","78%","0.018","","","Active"
="532613","99SMART-C13","301","0.190","0.200","0.180","+0.020","0.200","0.190","0.180","0.065","5080","","80","302585","76%","0.039","","","Active"
="532614","99SMART-C14","301","","","0.135","","-","-","0.140","0.085","0","","-","-","0%","","","","Active"
="532615","99SMART-C15","301","0.185","0.200","0.175","+0.025","0.200","0.185","0.175","0.090","1630","","39","-","73%","","","","Active"
="532616","99SMART-C16","301","0.130","0.140","0.135","+0.005","0.145","0.130","0.135","0.100","14535","","40","-","0%","","","","Active"
="532617","99SMART-C17","301","0.085","0.095","0.085","+0.010","0.095","0.085","0.085","0.070","1403","","52","-","0%","","","","Active"
="532618","99SMART-C18","301","0.095","0.095","0.095","-","0.095","0.090","0.095","0.065","24921","","46","-","0%","","","","Active"
="532619","99SMART-C19","301","0.105","0.105","0.250","-0.145","0.105","0.105","","","53","","96","-","0%","","","","Active"
="5326C2","99SMART-C2","301","0.065","0.065","0.060","+0.005","0.065","0.065","0.060","0.020","2","","100","277695","73%","0.009","","","Active"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.180","0.190","0.175","+0.015","0.190","0.180","0.180","0.070","534","","29","1402700","73%","0.013","","","Active"
="5326C5","99SMART-C5","301","0.255","0.260","0.210","+0.050","0.260","0.250","0.210","0.060","2750","","62","314965","86%","0.027","","","Active"
="5326C6","99SMART-C6","301","0.340","0.360","0.325","+0.035","0.360","0.340","0.330","0.075","11093","","53","677465","75%","0.035","","","Active"
="5326C7","99SMART-C7","301","0.160","0.160","0.135","+0.025","0.160","0.160","0.145","0.060","2","","-","619310","73%","0.021","","","Active"
="5326C8","99SMART-C8","301","0.365","0.370","0.350","+0.020","0.370","0.355","0.350","0.095","154","","32","128560","82%","0.054","","","Active"
="5326C9","99SMART-C9","301","0.230","0.230","0.225","+0.005","0.230","0.230","0.225","0.110","3000","","100","-","0%","","","","Active"
