"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.705","0.700","0.700","-","0.705","0.700","0.880","0.700","2801","4.00%","6","186825","35%","-0.003","8.89","7.93","Active"
="0328","3REN","405","0.435","0.460","0.430","+0.030","0.460","0.420","0.490","0.200","115090","1.09%","71","9940930","45%","0.012","1.54","33.63","Active"
="5326","99SMART","101","3.120","3.110","3.120","-0.010","3.150","3.070","3.390","1.920","110587","0.40%","68","12541095","69%","0.138","5.84","53.29","Active"
="5326C1","99SMART-C1","301","","","0.595","","-","-","0.685","0.090","0","","-","33605","76%","0.082","","","Active"
="532610","99SMART-C10","301","0.125","0.125","0.110","+0.015","0.125","0.125","0.110","0.070","1000","","-","623650","67%","","","","Active"
="532611","99SMART-C11","301","","","0.280","","-","-","0.330","0.125","0","","-","118635","64%","0.037","","","Active"
="532612","99SMART-C12","301","0.180","0.180","0.195","-0.015","0.180","0.180","0.215","0.075","10","","-","149505","70%","0.028","","","Active"
="532613","99SMART-C13","301","0.240","0.230","0.235","-0.005","0.240","0.220","0.330","0.065","275","","36","464390","69%","0.046","","","Active"
="532614","99SMART-C14","301","","","0.185","","-","-","0.225","0.085","0","","-","-","74%","","","","Active"
="532615","99SMART-C15","301","0.225","0.215","0.215","-","0.225","0.205","0.310","0.090","610","","2","524145","69%","0.051","","","Active"
="532616","99SMART-C16","301","0.145","0.150","0.155","-0.005","0.150","0.145","0.220","0.100","1304","","8","-","66%","","","","Active"
="532617","99SMART-C17","301","","","0.095","","-","-","0.125","0.070","0","","-","-","0%","","","","Active"
="532618","99SMART-C18","301","0.110","0.105","0.115","-0.010","0.110","0.105","0.175","0.065","820","","-","-","0%","","","","Active"
="532619","99SMART-C19","301","0.115","0.115","0.120","-0.005","0.115","0.115","0.175","0.105","1010","","50","-","0%","","","","Active"
="5326C2","99SMART-C2","301","","","0.075","","-","-","0.140","0.020","0","","-","215755","56%","0.016","","","Active"
="532620","99SMART-C20","301","0.050","0.050","-","-0.150","0.050","0.050","","","1350","","100","-","0%","","","","New"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.205","0.195","0.200","-0.005","0.205","0.195","0.260","0.070","366","","3","1543305","66%","0.020","","","Active"
="5326C5","99SMART-C5","301","","","0.290","","-","-","0.370","0.060","0","","-","197820","70%","0.047","","","Active"
="5326C6","99SMART-C6","301","0.400","0.380","0.395","-0.015","0.400","0.380","0.520","0.075","3600","","65","818735","68%","0.053","","","Active"
="5326C7","99SMART-C7","301","","","0.220","","-","-","0.220","0.060","0","","-","550255","82%","0.032","","","Active"
="5326C8","99SMART-C8","301","","","0.445","","-","-","0.520","0.095","0","","-","107360","77%","0.076","","","Active"
="5326C9","99SMART-C9","301","","","0.290","","-","-","0.315","0.110","0","","-","-","83%","","","","Active"
="5326CY","99SMART-CY","301","0.480","0.480","0.485","-0.005","0.480","0.480","0.555","0.070","1","","100","69495","75%","0.078","","","Active"
="5326CZ","99SMART-CZ","301","","","0.330","","-","-","0.330","0.065","0","","-","193760","83%","0.040","","","Active"
="0365","A1AKK","401","0.215","0.230","0.215","+0.015","0.230","0.210","0.255","0.190","19273","","87","715465","63%","","0.82","32.11","Active"
="0703CJ","A50CHIN-CJ","358","","","0.225","","-","-","0.265","0.130","0","","-","49185","54%","","","","Active"
="0703CK","A50CHIN-CK","358","","","0.305","","-","-","0.305","0.260","0","","-","-","0%","","","","Active"
="07031A","A50CHIN-H1A","358","","","0.085","","-","-","0.185","0.085","0","","-","-","0%","","","","Active"
="070399","A50CHIN-H99","358","","","0.025","","-","-","0.030","0.025","0","","-","-","0%","","","","Active"
="7054","AASIA","125","0.090","0.090","0.090","-","0.090","0.090","0.115","0.075","110","","-","68540","38%","0.001","-0.50","","Active"
="5238","AAX","101","1.790","1.810","1.790","+0.020","1.830","1.770","2.160","1.230","28286","","66","1461450","59%","0.049","51.30","3.53","Active"
="523828","AAX-C28","301","0.095","0.095","0.095","-","0.100","0.095","0.170","0.040","7007","","83","687245","56%","0.003","","","Active"
="523829","AAX-C29","301","0.100","0.105","0.100","+0.005","0.110","0.095","0.105","0.050","9020","","27","401390","58%","","","","Active"
="523830","AAX-C30","301","0.090","0.090","0.090","-","0.090","0.085","0.090","0.080","4669","","69","-","0%","","","","Active"
="523831","AAX-C31","301","0.115","0.120","0.115","+0.005","0.120","0.115","0.120","0.115","450","","100","-","0%","","","","Active"
="0800EA","ABFMY1","657","1.225","1.225","1.225","-","1.225","1.220","1.270","1.190","12","","90","20435","53%","-0.004","","","Active"
="7167","ABLEGLOB","101","1.690","1.690","1.690","-","1.690","1.670","2.000","1.260","810","4.44%","31","221665","76%","0.030","22.43","7.50","Active"
="7086","ABLEGRP","102","","","0.075","","-","-","0.100","0.070","0","","-","274615","40%","","0.01","860.54","Active"
="2488","ABMB","110","4.400","4.420","4.400","+0.020","4.430","4.390","5.400","3.930","8603","4.39%","47","983865","32%","-0.007","48.49","10.19","Active"
="248820","ABMB-C20","310","","","0.095","","-","-","0.160","0.080","0","","-","130740","39%","-0.010","","","Suspended, Forbid"
="248821","ABMB-C21","310","","","0.055","","-","-","0.070","0.055","0","","-","-","0%","","","","Active"
="248822","ABMB-C22","310","0.045","0.045","0.045","-","0.045","0.045","0.085","0.045","4000","","-","-","31%","","","","Active"
="248823","ABMB-C23","310","0.100","0.105","0.100","+0.005","0.105","0.100","0.180","0.100","540","","100","-","0%","","","","Active"
="248824","ABMB-C24","310","","","0.095","","-","-","0.190","0.090","0","","-","195180","46%","-0.004","","","Active"
="248825","ABMB-C25","310","0.045","0.045","0.050","-0.005","0.045","0.045","0.075","0.045","3000","","-","-","0%","","","","Active"
="248826","ABMB-C26","310","","","0.080","","-","-","0.080","0.080","0","","-","-","0%","","","","Active"
="7131","ACME","120","0.125","0.125","0.130","-0.005","0.125","0.125","0.210","0.105","1350","","-","945100","55%","0.003","1.43","8.96","Active"
="0218","ACO","402","0.195","0.195","0.195","-","0.195","0.195","0.250","0.185","250","1.03%","-","385840","25%","-0.002","1.42","13.75","Active"
="0276","ADB","405","1.060","1.060","1.060","-","1.060","1.050","1.290","0.830","5084","3.77%","1","754600","60%","0.002","3.56","29.80","Active"
="5281","ADVCON","103","0.200","0.200","0.205","-0.005","0.200","0.200","0.260","0.190","2004","","50","493705","43%","-0.002","-3.82","","Active"
="7191","ADVENTA","162","0.190","0.185","0.195","-0.010","0.190","0.185","0.335","0.150","2635","","23","1084195","62%","0.007","0.69","27.23","Active"
="7146","AEM","102","0.050","0.050","0.060","-0.010","0.055","0.045","0.080","0.035","4108","","1","123445","56%","0.004","-6.84","","Active"
="0181","AEMULUS","405","0.240","0.235","0.240","-0.005","0.245","0.235","0.320","0.180","25870","","25","1603365","37%","-0.003","-3.26","","Active"
="6599","AEON","101","1.260","1.260","1.250","+0.010","1.270","1.250","1.580","1.220","16053","3.57%","63","1655040","41%","-0.004","9.12","13.82","Active"
="659939","AEON-C39","301","","","0.045","","-","-","0.115","0.045","0","","-","-","0%","","","","Active"
="659940","AEON-C40","301","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="659941","AEON-C41","301","0.035","0.035","0.035","-","0.035","0.035","0.105","0.035","400","","25","774115","29%","-0.003","","","Active"
="659942","AEON-C42","301","","","0.035","","-","-","0.055","0.035","0","","-","-","0%","","","","Active"
="659943","AEON-C43","301","","","0.050","","-","-","0.060","0.040","0","","-","-","0%","","","","Active"
="659944","AEON-C44","301","0.045","0.045","0.040","+0.005","0.045","0.045","0.060","0.040","500","","100","258850","40%","","","","Active"
="5139","AEONCR","110","5.300","5.310","5.310","-","5.320","5.280","7.030","4.850","3425","5.41%","66","573445","43%","0.001","72.58","7.32","Active"
="5185","AFFIN","110","2.330","2.300","2.330","-0.030","2.330","2.300","3.010","2.210","15664","","41","968890","43%","","21.45","11.43","Active"
="518523","AFFIN-C23","310","","","0.015","","-","-","0.150","0.010","0","","-","-","100%","","","","Active"
="518524","AFFIN-C24","310","","","0.020","","-","-","0.040","0.020","0","","-","-","0%","","","","Active"
="518525","AFFIN-C25","310","","","0.085","","-","-","0.105","0.085","0","","-","-","0%","","","","Active"
="518526","AFFIN-C26","310","","","0.080","","-","-","0.080","0.080","0","","-","-","0%","","","","Active"
="5198","AFUJIYA","102","","","0.270","","-","-","0.400","0.240","0","","-","10710","50%","","-7.06","","Active"
="0258","AGMO","405","0.420","0.435","0.420","+0.015","0.435","0.415","0.585","0.325","3503","3.45%","64","751650","39%","-0.006","2.50","15.36","Active"
="0309","AGRICOR","401","0.465","0.465","0.460","+0.005","0.465","0.455","0.575","0.335","19418","","99","100650","30%","-0.003","-0.40","","Active"
="0299","AGX","464","0.445","0.450","0.440","+0.010","0.450","0.445","0.630","0.440","112","2.00%","38","147355","33%","-0.007","2.94","15.46","Active"
="7315","AHB","101","0.030","0.030","0.035","-0.005","0.035","0.025","0.050","0.025","123383","","32","5434160","50%","","-0.80","","Active"
="7315WC","AHB-WC","101","0.010","0.015","0.015","-","0.015","0.010","0.020","0.005","11540","","59","312265","57%","","","","Active"
="7090","AHEALTH","162","2.420","2.450","2.470","-0.020","2.450","2.410","2.700","1.900","219","3.67%","81","59845","63%","0.004","10.70","23.08","Active"
="0122","AIM","402","0.030","0.030","0.030","-","0.030","0.030","0.095","0.015","250","","-","144925","50%","0.001","-1.68","","Active"
="0122WA","AIM-WA","402","","","0.010","","-","-","0.025","0.005","0","","-","298165","50%","","","","Active"
="0209","AIMFLEX","405","0.095","0.095","0.095","-","0.095","0.095","0.185","0.075","11520","","26","2336595","44%","0.001","0.56","16.72","Active"
="7219","AIZO","102","0.070","0.070","0.070","-","0.070","0.065","0.160","0.060","7451","","28","8592060","43%","","-0.39","","Active"
="7219PA","AIZO-PA","102","","","0.020","","-","-","0.065","0.015","0","","-","754675","33%","","","","Active"
="2658","AJI","101","13.360","13.380","13.360","+0.020","13.400","13.340","15.800","12.360","173","18.71%","90","26700","40%","-0.018","81.68","16.38","Active"
="7609","AJIYA","102","1.050","1.090","1.050","+0.040","1.090","1.020","2.590","1.030","3309","","43","463485","3%","-0.241","18.97","11.99","Active"
="5115","ALAM","161","0.170","0.170","0.170","-","0.175","0.170","0.290","0.025","829","","-","2519285","45%","","2.22","1.66","Active, Alert"
="5115WB","ALAM-WB","161","0.050","0.050","0.050","-","0.050","0.050","0.075","0.040","289","","-","1468105","50%","-0.001","","","Active, Alert"
="5116","ALAQAR","150","1.270","1.300","1.280","+0.020","1.300","1.260","1.420","1.200","1236","5.59%","93","95900","56%","0.001","6.94","18.73","Active"
="2674","ALCOM","102","","","0.775","","-","-","0.820","0.620","0","3.87%","-","59920","42%","-0.001","-2.91","","Active"
="058244","ALIBABA-C44","358","","","0.230","","-","-","0.320","0.050","0","","-","1401655","38%","0.006","","","Active"
="058245","ALIBABA-C45","358","","","0.335","","-","-","0.500","0.030","0","","-","48795","47%","0.029","","","Active"
="058246","ALIBABA-C46","358","","","0.230","","-","-","0.360","0.045","0","","-","193155","43%","0.012","","","Active"
="058247","ALIBABA-C47","358","0.405","0.405","0.370","+0.035","0.405","0.405","0.515","0.095","2","","100","125745","41%","0.022","","","Active"
="058248","ALIBABA-C48","358","","","0.620","","-","-","1.000","0.200","0","","-","33030","46%","0.051","","","Active"
="058249","ALIBABA-C49","358","","","0.205","","-","-","0.215","0.205","0","","-","-","0%","","","","Active"
="05821F","ALIBABA-H1F","358","","","0.020","","-","-","0.080","0.015","0","","-","1016220","43%","","","","Active"
="1163","ALLIANZ","110","18.000","18.060","18.000","+0.060","18.100","17.980","21.060","16.500","114","1.47%","34","126005","37%","-0.086","401.46","4.32","Active"
="1163PA","ALLIANZ-PA","110","18.020","18.020","18.040","-0.020","18.040","18.020","22.600","16.680","27","","48","28945","56%","0.025","","","Active"
="0303","ALPHA","462","0.340","0.335","0.335","-","0.340","0.320","0.360","0.265","84765","2.84%","41","6520625","45%","0.005","1.18","27.80","Active"
="0079","ALRICH","405","0.015","0.020","0.020","-","0.020","0.015","0.035","0.015","3000","","83","1193845","50%","","0.11","14.23","Active"
="5269","ALSREIT","150","","","0.470","","-","-","0.500","0.330","0","1.49%","-","36930","33%","0.006","0.91","51.59","Active"
="1015","AMBANK","110","5.710","5.730","5.710","+0.020","5.740","5.680","5.940","4.930","40363","5.27%","11","7113105","40%","0.025","60.56","9.49","Active"
="101552","AMBANK-C52","310","","","-","","-","-","0.100","0.010","0","","-","176050","31%","","","","Delisted"
="101553","AMBANK-C53","310","","","0.025","","-","-","0.065","0.025","0","","-","294305","36%","","","","Active"
="101554","AMBANK-C54","310","","","0.100","","-","-","0.110","0.075","0","","-","-","57%","","","","Active"
="101555","AMBANK-C55","310","","","0.205","","-","-","0.250","0.125","0","","-","103385","48%","0.019","","","Active"
="101556","AMBANK-C56","310","","","0.050","","-","-","0.050","0.050","0","","-","-","0%","","","","Active"
="101557","AMBANK-C57","310","0.210","0.210","0.230","-0.020","0.210","0.210","0.235","0.190","86","","100","-","0%","","","","Active"
="0744C1","AMD-C1","358","0.155","0.155","0.150","+0.005","0.155","0.155","0.155","0.040","120","","100","-","0%","","","","Active"
="5293","AME","103","1.560","1.550","1.560","-0.010","1.560","1.540","1.840","1.460","620","3.87%","10","309030","55%","","14.41","8.10","Active"
="5293WA","AME-WA","103","0.065","0.075","0.080","-0.005","0.075","0.065","0.190","0.035","251","","100","121930","67%","-0.001","","","Active"
="5307","AMEREIT","150","","","1.550","","-","-","1.730","1.360","0","4.79%","-","345505","50%","0.006","9.12","17.10","Active"
="5120","AMFIRST","150","0.310","0.310","0.310","-","0.315","0.310","0.320","0.270","5368","7.74%","7","220795","40%","","3.59","8.63","Active"
="03011","AMLEX","705","","","0.250","","-","-","0.450","0.200","0","","-","411665","45%","-0.032","","","Active"
="7031","AMTEL","163","0.445","0.450","0.480","-0.030","0.450","0.445","0.575","0.315","50","","-","61285","75%","0.018","5.69","8.16","Active"
="6351","AMWAY","101","4.950","4.950","4.950","-","4.950","4.940","7.050","4.520","82","12.12%","81","15130","45%","0.005","58.58","8.45","Active"
="7083","ANALABS","102","1.820","1.790","1.820","-0.030","1.820","1.790","1.920","1.550","130","2.23%","-","9305","45%","0.018","33.88","5.28","Active"
="0048","ANCOMLB","464","0.100","0.095","0.095","-","0.100","0.095","0.140","0.085","360","","72","369450","40%","0.001","-0.21","63.60","Active"
="4758","ANCOMNY","102","0.945","0.920","0.940","-0.020","0.945","0.920","1.100","0.875","25902","0.05%","26","1548950","27%","0.005","6.09","16.77","Active"
="4758CT","ANCOMNY-CT","302","","","-","","-","-","0.020","0.015","0","","-","-","0%","","","","Delisted"
="4758CU","ANCOMNY-CU","302","","","0.045","","-","-","0.110","0.045","0","","-","-","0%","","","","Suspended, Forbid"
="0226","ANEKA","403","0.140","0.150","0.140","+0.010","0.150","0.140","0.180","0.125","11096","","91","231010","33%","-0.001","0.50","23.95","Active"
="6556","ANNJOO","102","0.670","0.665","0.670","-0.005","0.670","0.665","0.945","0.560","2266","3.76%","10","329195","35%","-0.005","-40.54","","Active"
="6556WC","ANNJOO-WC","102","","","0.185","","-","-","0.345","0.125","0","","-","123635","55%","-0.002","","","Active"
="03051","AORB","701","","","3.270","","-","-","3.420","3.270","0","","-","43155","55%","0.546","","","Active"
="5568","APB","102","0.200","0.195","0.195","-","0.200","0.195","0.405","0.180","702","","85","174015","44%","-0.001","-70.73","","Active"
="5088","APEX","110","","","0.905","","-","-","1.010","0.820","0","","-","162855","56%","-0.006","3.61","26.41","Active"
="5015","APM","102","3.020","3.060","3.060","-","3.070","3.020","3.580","2.700","79","9.15%","94","27585","41%","-0.030","43.79","5.32","Active"
="6432","APOLLO","101","6.280","6.260","6.260","-","6.280","6.260","7.030","5.700","50","7.99%","62","6410","41%","-0.014","50.22","12.47","Active"
="0119","APPASIA","405","0.105","0.105","0.105","-","0.110","0.105","0.155","0.090","4580","","84","377875","50%","","0.24","53.92","Active"
="052819","APPLE-C19","358","","","0.095","","-","-","0.110","0.095","0","","-","-","0%","","","","Active"
="7214","ARANK","102","0.450","0.455","0.470","-0.015","0.455","0.450","0.535","0.410","121","4.95%","-","44200","56%","0.002","6.67","9.20","Active"
="7181","ARBB","105","0.035","0.035","0.035","-","0.035","0.030","0.045","0.025","713","","16","1708540","44%","","0.15","23.16","Active"
="7007","ARK","120","","","0.235","","-","-","0.315","0.220","0","","-","5875","45%","-0.001","3.26","7.21","Active"
="7218","ARKA","164","","","0.660","","-","-","1.880","0.620","0","","-","9005","44%","-0.064","-11.01","","Active"
="5210","ARMADA","161","0.335","0.335","0.335","-","0.340","0.330","0.695","0.320","85709","2.99%","66","16008290","50%","-0.006","10.70","3.03","Active"
="52101B","ARMADA-C1B","361","","","0.005","","-","-","0.040","0.005","0","","-","-","0%","","","","Active"
="52101C","ARMADA-C1C","361","","","-","","-","-","0.075","0.020","0","","-","243480","32%","","","","Delisted"
="52101D","ARMADA-C1D","361","","","0.010","","-","-","0.065","0.010","0","","-","-","0%","","","","Active"
="52101E","ARMADA-C1E","361","","","0.015","","-","-","0.040","0.015","0","","-","-","0%","","","","Active"
="52101F","ARMADA-C1F","361","","","0.010","","-","-","0.025","0.005","0","","-","-","40%","","","","Active"
="52101G","ARMADA-C1G","361","","","0.010","","-","-","0.025","0.010","0","","-","-","0%","","","","Active"
="52101H","ARMADA-C1H","361","","","0.010","","-","-","0.015","0.010","0","","-","-","0%","","","","Active"
="52101I","ARMADA-C1I","361","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="52101J","ARMADA-C1J","361","","","0.030","","-","-","0.030","0.030","0","","-","-","0%","","","","Active"
="52101K","ARMADA-C1K","361","","","0.150","","-","-","","","0","","-","-","0%","","","","Active"
="5127","ARREIT","150","0.355","0.355","0.355","-","0.355","0.355","0.425","0.320","671","","50","76500","25%","-0.002","0.87","70.07","Active"
="0038","ARTRONIQ","402","0.095","0.100","0.095","+0.005","0.100","0.095","0.105","0.055","313","","33","955905","57%","0.002","-1.37","","Active"
="0038WA","ARTRONIQ-WA","402","","","0.005","","-","-","0.030","0.005","0","","-","289365","33%","","","","Active"
="1481","ASB","101","0.085","0.085","0.085","-","0.090","0.085","0.105","0.060","25202","0.59%","91","7099280","50%","0.003","-2.32","","Active"
="0068","ASDION","405","0.025","0.025","0.025","-","0.025","0.025","0.035","0.015","84","","100","763555","33%","","0.75","2.59","Active, Alert"
="7722","ASIABRN","101","","","0.515","","-","-","0.580","0.470","0","3.88%","-","25220","52%","-0.002","1.29","39.99","Active"
="7129","ASIAFLE","101","1.340","1.320","1.340","-0.020","1.340","1.320","1.900","1.300","390","1.52%","77","203445","48%","-0.005","-22.53","","Active"
="4057","ASIAPAC","120","0.130","0.130","0.130","-","0.130","0.125","0.135","0.080","20909","","57","3440195","78%","0.006","8.27","1.60","Active"
="0105","ASIAPLY","402","0.200","0.195","0.200","-0.005","0.200","0.195","0.205","0.060","3641","","53","4241560","56%","0.007","-1.05","","Active"
="0362","ASM","402","0.170","0.165","0.170","-0.005","0.170","0.165","0.205","0.155","3300","","91","1307370","50%","-0.001","1.30","16.74","Active"
