"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.700","0.700","0.700","-","0.700","0.695","0.880","0.700","1095","4.00%","55","194705","33%","-0.005","8.89","7.93","Active"
="0328","3REN","405","0.460","0.430","0.460","-0.030","0.460","0.430","0.490","0.200","56792","1.16%","20","10041625","55%","0.017","1.54","31.44","Active"
="5326","99SMART","101","3.130","3.100","3.130","-0.030","3.160","3.080","3.390","1.920","69290","0.40%","41","13040055","67%","0.115","5.84","53.11","Active"
="5326C1","99SMART-C1","301","","","-","","-","-","0.685","0.090","0","","-","33605","76%","0.082","","","Suspended, Forbid"
="532610","99SMART-C10","301","","","0.130","","-","-","0.130","0.070","0","","-","664910","71%","0.019","","","Active"
="532611","99SMART-C11","301","","","0.295","","-","-","0.330","0.125","0","","-","110425","67%","0.036","","","Active"
="532612","99SMART-C12","301","0.170","0.170","0.180","-0.010","0.170","0.170","0.215","0.075","401","","-","128305","61%","0.025","","","Active"
="532613","99SMART-C13","301","0.235","0.225","0.235","-0.010","0.235","0.220","0.330","0.065","2788","","73","451325","66%","0.038","","","Active"
="532614","99SMART-C14","301","","","0.185","","-","-","0.225","0.085","0","","-","-","71%","","","","Active"
="532615","99SMART-C15","301","0.220","0.205","0.220","-0.015","0.220","0.205","0.310","0.090","2694","","45","485280","67%","0.041","","","Active"
="532616","99SMART-C16","301","0.150","0.145","0.160","-0.015","0.150","0.145","0.220","0.100","9570","","57","812895","67%","","","","Active"
="532617","99SMART-C17","301","0.090","0.090","0.090","-","0.090","0.090","0.125","0.070","113","","32","-","0%","","","","Active"
="532618","99SMART-C18","301","0.110","0.100","0.115","-0.015","0.110","0.100","0.175","0.065","1380","","25","-","62%","","","","Active"
="532619","99SMART-C19","301","0.120","0.115","0.115","-","0.120","0.115","0.175","0.105","1000","","80","-","0%","","","","Active"
="5326C2","99SMART-C2","301","0.075","0.065","0.075","-0.010","0.075","0.065","0.140","0.020","2900","","62","242485","56%","0.013","","","Active"
