Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
"=""03041""",1TECH,Utilities,0.03,0.02,0.030,-0.010,0.030,0.020,0.03,0.03,1000,,-,-,0%,,,,Active
"=""0012""",3A,Industrial & Consumer Products,0.745,0.73,0.730,-,0.745,0.725,0.905,0.705,5933,3.84%,71,94520,57%,0.002,8.89,8.27,Active
"=""0328""",3REN,Property,0.375,0.385,0.370,+0.015,0.395,0.370,0.49,0.2,71454,1.30%,62,7254355,56%,0.022,1.54,28.13,Active
"=""5326""",99SMART,Industrial & Consumer Products,2.75,2.81,2.740,+0.070,2.820,2.730,2.84,1.92,53113,0.44%,46,9822360,76%,0.081,5.84,48.15,Active
"=""5326C1""",99SMART-C1,Technology,0.385,0.385,0.365,+0.020,0.385,0.385,0.395,0.09,200,,-,46645,73%,0.04,,,Active
"=""532610""",99SMART-C10,Technology,0.09,0.09,0.095,-0.005,0.090,0.090,0.105,0.07,808,,-,-,60%,,,,Active
"=""532611""",99SMART-C11,Technology,0.185,0.2,0.180,+0.020,0.205,0.185,0.205,0.125,1344,,49,1159870,64%,0.022,,,Active
"=""532612""",99SMART-C12,Technology,0.115,0.12,0.110,+0.010,0.120,0.115,0.12,0.075,560,,100,820140,63%,,,,Active
"=""532613""",99SMART-C13,Technology,0.115,0.14,0.115,+0.025,0.140,0.115,0.145,0.065,2858,,50,-,70%,,,,Active
"=""532614""",99SMART-C14,Technology,0.12,0.12,0.125,-0.005,0.120,0.120,0.125,0.085,1000,,-,-,0%,,,,Active
"=""532615""",99SMART-C15,Technology,0.125,0.14,0.120,+0.020,0.140,0.125,0.145,0.09,7951,,88,-,0%,,,,Active
"=""532616""",99SMART-C16,Technology,,,-,,-,-,,,0,,-,-,0%,,,,New
"=""5326C2""",99SMART-C2,Technology,,,0.040,,-,-,0.045,0.02,0,,-,167890,67%,0.008,,,Active
"=""5326C3""",99SMART-C3,Technology,,,0.175,,-,-,0.175,0.095,0,,-,-,78%,,,,Active
"=""5326C4""",99SMART-C4,Technology,0.145,0.15,0.140,+0.010,0.155,0.145,0.155,0.07,34132,,52,1086430,71%,0.008,,,Active
"=""5326C5""",99SMART-C5,Technology,,,0.190,,-,-,0.19,0.06,0,,-,405165,81%,0.02,,,Active
"=""5326C6""",99SMART-C6,Technology,0.24,0.265,0.235,+0.030,0.265,0.240,0.27,0.075,4555,,36,453800,73%,0.024,,,Active
"=""5326C7""",99SMART-C7,Technology,,,0.120,,-,-,0.14,0.06,0,,-,934820,71%,0.018,,,Active
"=""5326C8""",99SMART-C8,Technology,,,0.240,,-,-,0.29,0.095,0,,-,143865,71%,0.038,,,Active
"=""5326C9""",99SMART-C9,Technology,,,0.145,,-,-,0.2,0.11,0,,-,-,0%,,,,Active
"=""5326CT""",99SMART-CT,Technology,,,-,,-,-,0.065,0.005,0,,-,208145,44%,-0.005,,,Delisted
"=""5326CX""",99SMART-CX,Technology,,,-,,-,-,0.075,0.025,0,,-,331060,64%,0.005,,,Suspended
"=""5326CY""",99SMART-CY,Technology,0.275,0.29,0.265,+0.025,0.290,0.275,0.3,0.07,1101,,12,345520,74%,0.03,,,Active
"=""5326CZ""",99SMART-CZ,Technology,,,0.235,,-,-,0.235,0.065,0,,-,94625,76%,0.022,,,Active
"=""0365""",A1AKK,Property,0.215,0.215,0.215,-,0.215,0.215,0.255,0.21,2051,,64,588070,40%,-0.002,0.82,30.02,Active
"=""0703CI""",A50CHIN-CI,Technology,,,-,,-,-,0.35,0.15,0,,-,66000,56%,0.007,,,Suspended
"=""0703CJ""",A50CHIN-CJ,Technology,,,0.200,,-,-,0.265,0.13,0,,-,110765,39%,0.003,,,Active
"=""0703CK""",A50CHIN-CK,Technology,,,0.305,,-,-,0.305,0.265,0,,-,-,0%,,,,Active
"=""07031A""",A50CHIN-H1A,Technology,,,0.165,,-,-,0.185,0.16,0,,-,-,0%,,,,Active
"=""070397""",A50CHIN-H97,Technology,,,-,,-,-,0.42,0.125,0,,-,-,0%,,,,Suspended
"=""070399""",A50CHIN-H99,Technology,,,0.025,,-,-,0.03,0.025,0,,-,-,0%,,,,Active
"=""7054""",AASIA,Industrial & Consumer Products,,,0.095,,-,-,0.115,0.075,0,,-,62600,53%,0.003,-0.5,,Active
"=""5238""",AAX,Industrial & Consumer Products,1.6,1.63,1.610,+0.020,1.650,1.590,2.16,1.23,12157,,61,1028555,68%,0.024,51.3,3.18,Active
"=""523828""",AAX-C28,Technology,0.06,0.07,0.065,+0.005,0.075,0.060,0.17,0.04,5420,,59,607990,58%,-0.004,,,Active
"=""523829""",AAX-C29,Technology,,,0.090,,-,-,0.105,0.05,0,,-,-,0%,,,,Active
"=""0800EA""",ABFMY1,Transportation & Logistics,,,1.222,,-,-,1.266,1.19,0,,-,19765,30%,-0.006,,,Active
"=""7167""",ABLEGLOB,Industrial & Consumer Products,1.55,1.55,1.560,-0.010,1.560,1.540,2.0,1.26,1213,4.84%,49,138875,50%,0.004,22.43,6.88,Active
"=""7086""",ABLEGRP,Industrial & Consumer Products,0.075,0.08,0.085,-0.005,0.080,0.075,0.1,0.07,4000,,13,125335,57%,0.001,0.01,917.91,Active
"=""2488""",ABMB,Industrial & Consumer Products,4.39,4.42,4.370,+0.050,4.450,4.380,5.4,3.93,15474,4.39%,74,1534000,47%,-0.044,48.49,10.19,Active
"=""248819""",ABMB-C19,Technology,,,-,,-,-,0.08,0.005,0,,-,317605,25%,-0.006,,,Suspended
"=""248820""",ABMB-C20,Technology,,,0.090,,-,-,0.16,0.08,0,,-,140645,27%,-0.013,,,Active
"=""248821""",ABMB-C21,Technology,,,0.055,,-,-,0.07,0.055,0,,-,-,0%,,,,Active
"=""248822""",ABMB-C22,Technology,,,0.060,,-,-,0.085,0.06,0,,-,-,0%,,,,Active
"=""248823""",ABMB-C23,Technology,,,0.175,,-,-,0.18,0.15,0,,-,-,0%,,,,Active
"=""248824""",ABMB-C24,Technology,0.115,0.12,0.100,+0.020,0.120,0.115,0.19,0.09,551,,100,259345,19%,-0.013,,,Active
"=""248825""",ABMB-C25,Technology,0.055,0.055,0.050,+0.005,0.055,0.055,0.05,0.045,1,,100,-,0%,,,,Active
"=""7131""",ACME,Industrial & Consumer Products,0.11,0.115,0.110,+0.005,0.115,0.105,0.21,0.105,1200,,49,243365,50%,,1.43,8.24,Active
"=""0218""",ACO,Property,0.205,0.205,0.205,-,0.205,0.200,0.255,0.185,1886,0.98%,29,148425,50%,,1.42,14.46,Active
"=""0276""",ADB,Property,1.04,1.02,1.030,-0.010,1.040,1.020,1.29,0.83,1877,3.92%,76,693335,33%,-0.015,3.56,28.67,Active
"=""5281""",ADVCON,Industrial & Consumer Products,0.21,0.21,0.210,-,0.210,0.205,0.26,0.19,8158,,93,604450,44%,-0.004,-3.82,,Active
"=""7191""",ADVENTA,Industrial & Consumer Products,0.165,0.165,0.165,-,0.165,0.160,0.335,0.15,1098,,9,157920,56%,-0.002,0.69,24.29,Active
"=""7146""",AEM,Industrial & Consumer Products,0.05,0.05,0.060,-0.010,0.050,0.050,0.115,0.035,80,,-,496840,67%,,-6.84,,Active
"=""0181""",AEMULUS,Property,0.255,0.265,0.255,+0.010,0.270,0.255,0.32,0.18,11807,,75,1204200,58%,0.002,-3.26,,Active
"=""6599""",AEON,Industrial & Consumer Products,1.3,1.3,1.300,-,1.310,1.300,1.58,1.22,26028,3.46%,24,1883060,54%,-0.008,9.12,14.26,Active
"=""659938""",AEON-C38,Technology,,,-,,-,-,0.135,0.005,0,,-,94300,27%,,,,Suspended
"=""659939""",AEON-C39,Technology,,,0.045,,-,-,0.115,0.045,0,,-,-,0%,,,,Active
"=""659940""",AEON-C40,Technology,0.025,0.025,0.020,+0.005,0.025,0.025,0.03,0.02,500,,-,-,0%,,,,Active
"=""659941""",AEON-C41,Technology,0.05,0.05,0.055,-0.005,0.050,0.050,0.105,0.035,1500,,-,418640,46%,-0.006,,,Active
"=""659942""",AEON-C42,Technology,,,0.055,,-,-,0.055,0.05,0,,-,-,0%,,,,Active
"=""659943""",AEON-C43,Technology,,,0.055,,-,-,0.06,0.04,0,,-,-,0%,,,,Active
"=""659944""",AEON-C44,Technology,,,0.055,,-,-,0.06,0.04,0,,-,-,0%,,,,Active
"=""5139""",AEONCR,Industrial & Consumer Products,5.54,5.6,5.530,+0.070,5.630,5.500,7.31,4.85,16601,5.13%,55,841685,84%,0.085,72.58,7.72,Active
"=""5185""",AFFIN,Industrial & Consumer Products,2.33,2.34,2.330,+0.010,2.360,2.330,3.03,2.21,5303,,52,1458755,61%,0.004,21.45,11.63,Active
"=""518521""",AFFIN-C21,Technology,,,-,,-,-,0.145,0.025,0,,-,194045,12%,-0.018,,,Suspended
"=""518522""",AFFIN-C22,Technology,,,-,,-,-,0.05,0.01,0,,-,-,0%,,,,Suspended
"=""518523""",AFFIN-C23,Technology,,,0.020,,-,-,0.15,0.02,0,,-,-,0%,,,,Active
"=""518524""",AFFIN-C24,Technology,,,0.025,,-,-,0.04,0.025,0,,-,-,0%,,,,Active
"=""518525""",AFFIN-C25,Technology,,,0.095,,-,-,0.095,0.09,0,,-,-,0%,,,,Active
"=""5198""",AFUJIYA,Industrial & Consumer Products,,,0.310,,-,-,0.4,0.24,0,,-,18455,55%,-0.005,-7.06,,Active
"=""0258""",AGMO,Property,0.43,0.445,0.435,+0.010,0.450,0.430,0.61,0.325,11433,3.37%,57,1272510,53%,-0.01,2.5,15.71,Active
"=""0309""",AGRICOR,Property,0.475,0.475,0.485,-0.010,0.475,0.475,0.575,0.335,566,,-,107035,63%,,-0.4,,Active
"=""0299""",AGX,Property,0.48,0.46,0.470,-0.010,0.480,0.460,0.63,0.445,120,1.96%,7,189395,33%,-0.009,2.94,15.81,Active
"=""7315""",AHB,Industrial & Consumer Products,0.03,0.035,0.035,-,0.035,0.030,0.05,0.025,1057,,-,1942965,57%,,-0.8,,Active
"=""7315WC""",AHB-WC,Industrial & Consumer Products,,,0.015,,-,-,0.02,0.005,0,,-,432060,60%,,,,Active
"=""7090""",AHEALTH,Industrial & Consumer Products,2.38,2.39,2.400,-0.010,2.400,2.360,2.75,1.9,1676,3.77%,81,44830,62%,-0.008,10.7,22.52,Active
"=""0122""",AIM,Property,0.03,0.03,0.030,-,0.030,0.030,0.095,0.015,1200,,-,207895,63%,,-1.68,,Active
"=""0122WA""",AIM-WA,Property,,,0.010,,-,-,0.03,0.005,0,,-,265035,50%,,,,Active
"=""0209""",AIMFLEX,Property,0.09,0.09,0.085,+0.005,0.090,0.085,0.185,0.075,4670,,28,2218955,57%,0.001,0.56,15.84,Active
"=""7219""",AIZO,Industrial & Consumer Products,0.075,0.07,0.070,-,0.075,0.070,0.16,0.06,11098,,7,3218315,57%,,-0.39,,Active
"=""7219PA""",AIZO-PA,Industrial & Consumer Products,0.02,0.02,0.025,-0.005,0.025,0.020,0.065,0.015,9861,,-,255175,50%,,,,Active
"=""2658""",AJI,Industrial & Consumer Products,14.02,13.98,13.980,-,14.020,13.980,15.8,12.36,108,17.91%,42,39310,97%,0.262,81.68,17.11,Active
"=""7609""",AJIYA,Industrial & Consumer Products,2.47,2.5,2.470,+0.030,2.500,2.460,2.59,1.37,4947,,71,693040,65%,0.068,18.97,13.75,Active
"=""5115""",ALAM,Industrial & Consumer Products,0.165,0.165,0.165,-,0.170,0.165,0.29,0.025,3569,,73,3769640,50%,-0.006,2.22,1.61,"Active, Alert"
"=""5115WB""",ALAM-WB,Industrial & Consumer Products,0.05,0.05,0.055,-0.005,0.050,0.050,0.075,0.04,110,,100,-,53%,,,,"Active, Alert"
"=""5116""",ALAQAR,Industrial & Consumer Products,1.26,1.25,1.250,-,1.260,1.250,1.42,1.2,294,5.82%,15,34835,43%,0.001,6.94,18.01,Active
