"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.720","0.730","0.720","+0.010","0.730","0.715","0.895","0.705","719","3.84%","35","165315","50%","0.002","8.89","8.27","Active"
="0328","3REN","405","0.420","0.435","0.440","-0.005","0.445","0.420","0.490","0.200","141067","1.15%","60","11215510","59%","0.026","1.54","31.78","Active"
="5326","99SMART","101","2.840","2.950","2.880","+0.070","2.980","2.820","2.950","1.920","151231","0.42%","60","7835360","76%","0.100","5.84","50.54","Active"
="5326C1","99SMART-C1","301","0.450","0.485","0.425","+0.060","0.485","0.450","0.475","0.090","230","","87","48440","71%","0.048","","","Active"
="532610","99SMART-C10","301","0.110","0.110","0.100","+0.010","0.110","0.110","0.110","0.070","1000","","100","618655","59%","","","","Active"
="532611","99SMART-C11","301","0.215","0.235","0.215","+0.020","0.235","0.215","0.230","0.125","2247","","67","414800","72%","0.023","","","Active"
="532612","99SMART-C12","301","0.140","0.145","0.140","+0.005","0.145","0.140","0.140","0.075","1200","","100","586175","76%","0.017","","","Active"
="532613","99SMART-C13","301","0.160","0.180","0.150","+0.030","0.180","0.160","0.175","0.065","3912","","88","289770","72%","","","","Active"
="532614","99SMART-C14","301","","","0.135","","-","-","0.140","0.085","0","","-","-","0%","","","","Active"
="532615","99SMART-C15","301","0.145","0.175","0.155","+0.020","0.175","0.145","0.170","0.090","2592","","19","-","71%","","","","Active"
="532616","99SMART-C16","301","0.105","0.135","0.110","+0.025","0.135","0.105","0.120","0.100","18504","","66","-","0%","","","","Active"
="532617","99SMART-C17","301","0.075","0.085","0.075","+0.010","0.085","0.075","0.080","0.070","1450","","100","-","0%","","","","Active"
="532618","99SMART-C18","301","0.065","0.095","0.070","+0.025","0.095","0.065","0.070","0.070","17376","","39","-","0%","","","","Active"
="532619","99SMART-C19","301","","","-","","-","-","","","0","","-","-","0%","","","","New"
="5326C2","99SMART-C2","301","0.060","0.060","0.055","+0.005","0.060","0.055","0.055","0.020","4484","","40","255375","63%","0.009","","","Active"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.165","0.175","0.165","+0.010","0.175","0.165","0.180","0.070","20347","","10","1306020","70%","0.012","","","Active"
="5326C5","99SMART-C5","301","","","0.210","","-","-","0.210","0.060","0","","-","314965","86%","0.027","","","Active"
="5326C6","99SMART-C6","301","0.280","0.325","0.290","+0.035","0.330","0.280","0.320","0.075","14454","","68","610025","70%","0.033","","","Active"
="5326C7","99SMART-C7","301","","","0.135","","-","-","0.145","0.060","0","","-","619310","73%","0.021","","","Active"
="5326C8","99SMART-C8","301","0.350","0.350","0.295","+0.055","0.350","0.350","0.315","0.095","10","","-","130045","75%","0.050","","","Active"
="5326C9","99SMART-C9","301","0.215","0.225","0.215","+0.010","0.225","0.195","0.215","0.110","9303","","35","-","0%","","","","Active"
="5326CY","99SMART-CY","301","0.380","0.380","0.355","+0.025","0.380","0.380","0.355","0.070","1010","","29","191335","76%","0.044","","","Active"
="5326CZ","99SMART-CZ","301","0.310","0.330","0.295","+0.035","0.330","0.310","0.295","0.065","11000","","55","141610","81%","0.034","","","Active"
="0365","A1AKK","401","0.195","0.195","0.195","-","0.195","0.190","0.255","0.190","6697","","25","609425","17%","-0.006","0.82","27.23","Active"
="0703CJ","A50CHIN-CJ","358","0.145","0.150","0.170","-0.020","0.150","0.130","0.265","0.130","810","","94","102860","37%","-0.002","","","Active"
="0703CK","A50CHIN-CK","358","","","0.305","","-","-","0.305","0.265","0","","-","-","0%","","","","Active"
="07031A","A50CHIN-H1A","358","","","0.165","","-","-","0.185","0.160","0","","-","-","0%","","","","Active"
="070399","A50CHIN-H99","358","","","0.025","","-","-","0.030","0.025","0","","-","-","0%","","","","Active"
="7054","AASIA","125","0.100","0.100","0.095","+0.005","0.100","0.100","0.115","0.075","2","","-","87430","53%","0.002","-0.50","","Active"
="5238","AAX","101","1.670","1.690","1.690","-","1.700","1.650","2.160","1.230","10544","","51","1286955","72%","0.053","51.30","3.30","Active"
="523828","AAX-C28","301","0.075","0.080","0.080","-","0.080","0.070","0.170","0.040","4430","","48","798540","67%","0.002","","","Active"
="523829","AAX-C29","301","0.085","0.085","0.095","-0.010","0.085","0.085","0.105","0.050","280","","100","-","0%","","","","Active"
="0800EA","ABFMY1","657","","","1.225","","-","-","1.266","1.190","0","","-","15350","31%","-0.005","","","Active"
="7167","ABLEGLOB","101","1.620","1.640","1.650","-0.010","1.650","1.620","2.000","1.260","1199","4.57%","33","187760","75%","0.020","22.43","7.27","Active"
="7086","ABLEGRP","102","","","0.075","","-","-","0.100","0.070","0","","-","132890","44%","","0.01","860.54","Active"
="2488","ABMB","110","4.500","4.470","4.520","-0.050","4.520","4.460","5.400","3.930","6081","4.34%","32","1251990","70%","0.022","48.49","10.30","Active"
="248820","ABMB-C20","310","","","0.130","","-","-","0.160","0.080","0","","-","128240","41%","-0.009","","","Active"
="248821","ABMB-C21","310","","","0.055","","-","-","0.070","0.055","0","","-","-","0%","","","","Active"
="248822","ABMB-C22","310","","","0.060","","-","-","0.085","0.060","0","","-","-","0%","","","","Active"
="248823","ABMB-C23","310","0.130","0.130","0.150","-0.020","0.130","0.130","0.180","0.140","1002","","100","-","0%","","","","Active"
="248824","ABMB-C24","310","0.125","0.125","0.135","-0.010","0.125","0.125","0.190","0.090","450","","100","215905","61%","","","","Active"
="248825","ABMB-C25","310","","","0.075","","-","-","0.075","0.045","0","","-","-","0%","","","","Active"
="248826","ABMB-C26","310","","","0.080","","-","-","0.080","0.080","0","","-","-","0%","","","","Active"
="7131","ACME","120","0.125","0.130","0.135","-0.005","0.130","0.120","0.210","0.105","10126","","25","665970","67%","0.003","1.43","9.32","Active"
="0218","ACO","402","0.200","0.200","0.200","-","0.200","0.200","0.250","0.185","1140","1.00%","-","216110","100%","-0.001","1.42","14.10","Active"
="0276","ADB","405","1.050","1.080","1.070","+0.010","1.110","1.050","1.290","0.830","35563","3.70%","68","482865","60%","-0.009","3.56","30.36","Active"
="5281","ADVCON","103","0.210","0.210","0.210","-","0.210","0.200","0.260","0.190","67","","9","486835","50%","-0.003","-3.82","","Active"
="7191","ADVENTA","162","0.215","0.225","0.215","+0.010","0.235","0.215","0.335","0.150","26622","","54","671600","81%","0.004","0.69","33.12","Active"
="7146","AEM","102","0.065","0.065","0.065","-","0.065","0.065","0.090","0.035","1","","-","80440","67%","0.005","-6.84","","Active"
="0181","AEMULUS","405","0.260","0.250","0.265","-0.015","0.265","0.250","0.320","0.180","29235","","48","1239120","46%","0.003","-3.26","","Active"
="6599","AEON","101","1.280","1.290","1.290","-","1.300","1.270","1.580","1.220","5720","3.49%","61","1845185","65%","-0.002","9.12","14.15","Active"
