Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
"=""03041""",1TECH,1TECH,,,0.200,,-,-,,,0,,-,-,0%,,,,Active
"=""0012""",3A,3A,,,0.740,,-,-,0.98,0.705,0,3.78%,-,45240,30%,-0.007,8.89,8.38,Active
"=""0328""",3REN,3REN,0.235,0.235,0.245,-0.010,0.235,0.230,0.49,0.2,8217,2.13%,36,884785,41%,-0.006,1.54,17.16,Active
"=""5326""",99SMART,99SMART,2.15,2.16,2.170,-0.010,2.190,2.150,2.63,1.85,57659,0.58%,31,5387755,50%,-0.006,5.84,37.01,Active
"=""5326C1""",99SMART-C1,99SMART-C1,0.14,0.14,0.140,-,0.140,0.140,0.2,0.1,1180,,100,332385,46%,-0.012,,,Active
"=""5326C2""",99SMART-C2,99SMART-C2,,,0.025,,-,-,0.025,0.02,0,,-,-,0%,,,,Active
"=""5326C3""",99SMART-C3,99SMART-C3,,,0.110,,-,-,0.12,0.1,0,,-,-,0%,,,,Active
"=""5326C4""",99SMART-C4,99SMART-C4,0.09,0.09,0.090,-,0.090,0.085,0.095,0.09,1120,,96,-,0%,,,,Active
"=""5326C5""",99SMART-C5,99SMART-C5,0.08,0.075,-,-0.075,0.080,0.075,,,4350,,46,-,0%,,,,New
"=""5326C6""",99SMART-C6,99SMART-C6,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""5326CC""",99SMART-CC,99SMART-CC,,,0.175,,-,-,0.45,0.15,0,,-,12670,45%,-0.024,,,Active
"=""5326CD""",99SMART-CD,99SMART-CD,0.085,0.09,0.090,-,0.090,0.085,0.355,0.075,2938,,83,163300,29%,-0.042,,,Active
"=""5326CJ""",99SMART-CJ,99SMART-CJ,,,0.120,,-,-,0.23,0.1,0,,-,20390,47%,-0.01,,,Active
"=""5326CK""",99SMART-CK,99SMART-CK,0.03,0.03,0.040,-0.010,0.030,0.030,0.14,0.025,1160,,-,247495,38%,-0.005,,,Active
"=""5326CM""",99SMART-CM,99SMART-CM,0.08,0.08,0.080,-,0.080,0.075,0.24,0.04,2850,,30,914505,47%,-0.004,,,Active
"=""5326CP""",99SMART-CP,99SMART-CP,,,0.010,,-,-,0.11,0.005,0,,-,2056580,33%,-0.003,,,Active
"=""5326CQ""",99SMART-CQ,99SMART-CQ,,,0.005,,-,-,0.075,0.005,0,,-,376450,100%,-0.002,,,Active
"=""5326CR""",99SMART-CR,99SMART-CR,,,0.020,,-,-,0.075,0.015,0,,-,545985,50%,-0.004,,,Active
"=""5326CS""",99SMART-CS,99SMART-CS,,,0.015,,-,-,0.115,0.015,0,,-,664005,31%,,,,Active
"=""5326CT""",99SMART-CT,99SMART-CT,,,0.020,,-,-,0.065,0.01,0,,-,224680,50%,-0.004,,,Active
"=""5326CU""",99SMART-CU,99SMART-CU,,,0.005,,-,-,0.09,0.005,0,,-,171855,100%,-0.012,,,Active
"=""5326CV""",99SMART-CV,99SMART-CV,0.015,0.015,0.025,-0.010,0.015,0.015,0.14,0.01,752,,100,367585,60%,-0.004,,,Active
