"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.700","0.700","0.700","-","0.710","0.700","0.865","0.695","202","4.00%","1","140560","30%","-0.006","8.89","7.93","Active"
="0328","3REN","405","0.350","0.355","0.360","-0.005","0.360","0.345","0.480","0.200","58868","1.41%","44","6769870","33%","-0.002","1.54","25.96","Active"
="5326","99SMART","101","3.180","3.230","3.200","+0.030","3.270","3.170","3.390","1.920","155738","0.39%","66","14413775","50%","0.062","5.84","55.34","Active"
="532610","99SMART-C10","301","0.135","0.140","0.135","+0.005","0.140","0.135","0.135","0.070","130","","31","639665","67%","0.017","","","Active"
="532611","99SMART-C11","301","","","0.305","","-","-","0.330","0.125","0","","-","87435","60%","0.025","","","Active"
="532612","99SMART-C12","301","","","0.185","","-","-","0.215","0.075","0","","-","74835","60%","0.018","","","Active"
="532613","99SMART-C13","301","0.250","0.270","0.260","+0.010","0.280","0.250","0.330","0.065","2221","","75","366240","52%","0.019","","","Active"
="532614","99SMART-C14","301","","","0.185","","-","-","0.225","0.085","0","","-","-","71%","","","","Active"
="532615","99SMART-C15","301","0.235","0.260","0.235","+0.025","0.260","0.235","0.310","0.090","27774","","43","1096135","46%","0.019","","","Active"
="532616","99SMART-C16","301","0.180","0.180","0.170","+0.010","0.180","0.180","0.220","0.100","1364","","33","604125","47%","0.007","","","Active"
="532617","99SMART-C17","301","0.095","0.095","0.095","-","0.100","0.095","0.125","0.070","261","","31","1573480","36%","","","","Active"
="532618","99SMART-C18","301","0.115","0.135","0.125","+0.010","0.135","0.115","0.175","0.065","11562","","43","897325","50%","","","","Active"
="532619","99SMART-C19","301","0.130","0.130","0.125","+0.005","0.135","0.130","0.175","0.100","31605","","37","479900","43%","","","","Active"
="5326C2","99SMART-C2","301","0.090","0.100","0.065","+0.035","0.100","0.085","0.140","0.020","2622","","19","332260","41%","0.005","","","Active"
="532620","99SMART-C20","301","0.055","0.055","0.055","-","0.060","0.050","0.055","0.040","13416","","41","-","0%","","","","Active"
="532621","99SMART-C21","301","0.085","0.090","0.085","+0.005","0.090","0.085","0.085","0.070","253","","32","-","0%","","","","Active"
="532622","99SMART-C22","301","","","0.050","","-","-","0.050","0.045","0","","-","-","0%","","","","Active"
