,,,,,,,,,,,,,,,,,Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
0029,DIGISTA,105,0.04,0.045,0.045,-,0.045,0.04,0.065,0.03,346,,1,461715,67%,0.001,-1.37,,Active,,,,,,,,,,,,,,,,,
0029WC,DIGISTA-WC,105,,,0.005,,-,-,0.015,0.005,0,,-,101040,100%,-0.002,,,Active,,,,,,,,,,,,,,,,,
0029WD,DIGISTA-WD,105,0.01,0.01,0.01,-,0.01,0.01,0.025,0.005,40,,-,103160,57%,,,,Active,,,,,,,,,,,,,,,,,
0400GB,DIN045801028,560,,,103.8,,-,-,103.9,101.3,0,,-,156,52%,0.204,,,Active,,,,,,,,,,,,,,,,,
7528,DKLS,103,,,1.75,,-,-,1.92,1.65,0,1.71%,-,4080,39%,,30.16,5.55,Active,,,,,,,,,,,,,,,,,
5908,DKSH,101,5,5.05,5.04,+0.010,5.09,5,5.29,4.48,579,0.03%,35,32465,75%,0.03,78.1,6.47,Active,,,,,,,,,,,,,,,,,
3026,DLADY,101,26.96,26.88,26.96,-0.08,26.96,26.88,32,26.4,55,,42,20720,36%,-0.15,151,17.8,Active,,,,,,,,,,,,,,,,,
4456,DNEX,105,0.26,0.265,0.255,+0.010,0.27,0.255,0.44,0.22,146347,,78,16348660,54%,,-1.44,,Active,,,,,,,,,,,,,,,,,
445637,DNEX-C37,305,,,0.005,,-,-,0.1,0.005,0,,-,249670,33%,-0.007,,,Active,,,,,,,,,,,,,,,,,
445640,DNEX-C40,305,0.025,0.025,0.025,-,0.025,0.025,0.06,0.02,3000,,100,215780,25%,-0.004,,,Active,,,,,,,,,,,,,,,,,
445641,DNEX-C41,305,,,0.035,,-,-,0.065,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
445642,DNEX-C42,305,0.035,0.035,0.03,+0.005,0.035,0.035,0.15,0.03,300,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,
445643,DNEX-C43,305,,,0.02,,-,-,0.025,0.02,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
445644,DNEX-C44,305,0.05,0.05,0.045,+0.005,0.05,0.05,0.045,0.045,2000,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
4456WE,DNEX-WE,105,0.09,0.095,0.09,+0.005,0.095,0.085,0.115,0.06,76060,,57,4959705,71%,0.004,,,Active,,,,,,,,,,,,,,,,,
7114,DNONCE,102,0.03,0.035,0.035,-,0.035,0.03,0.06,0.025,455,,1,668875,60%,,-2.75,,Active,,,,,,,,,,,,,,,,,
7114WB,DNONCE-WB,102,,,0.01,,-,-,0.025,0.005,0,,-,221120,50%,-0.001,,,Active,,,,,,,,,,,,,,,,,
7169,DOMINAN,102,,,0.82,,-,-,0.845,0.74,0,4.88%,-,41875,59%,0.005,16.41,5.04,Active,,,,,,,,,,,,,,,,,
7148,DPHARMA,162,1.29,1.36,1.3,+0.060,1.36,1.29,1.46,1.07,19698,2.21%,71,575050,41%,-0.02,6.51,20.88,Active,,,,,,,,,,,,,,,,,
0205,DPIH,401,0.11,0.11,0.115,-0.005,0.11,0.11,0.175,0.09,500,,-,129140,63%,0.002,0.38,26.43,Active,,,,,,,,,,,,,,,,,
7198,DPS,120,0.48,0.48,0.475,+0.005,0.48,0.48,0.595,0.35,10,,-,52570,50%,0.001,0.14,483.15,Active,,,,,,,,,,,,,,,,,
7198WC,DPS-WC,120,,,0.01,,-,-,0.08,0.01,0,,-,693900,37%,-0.001,,,Active,,,,,,,,,,,,,,,,,
1619,DRBHCOM,101,1.17,1.17,1.16,+0.010,1.18,1.14,1.23,0.6,14606,,45,4418265,68%,0.076,1.17,21.38,Active,,,,,,,,,,,,,,,,,
16193M,DRBHCOMC3M,301,,,0.295,,-,-,0.295,0.05,0,,-,291425,88%,0.035,,,Active,,,,,,,,,,,,,,,,,
16193N,DRBHCOMC3N,301,,,0.39,,-,-,0.41,0.07,0,,-,59845,85%,0.06,,,Active,,,,,,,,,,,,,,,,,
16193O,DRBHCOMC3O,301,0.375,0.375,0.39,-0.015,0.375,0.375,0.4,0.11,650,,69,118400,67%,0.053,,,Active,,,,,,,,,,,,,,,,,
16193P,DRBHCOMC3P,301,0.3,0.3,0.32,-0.02,0.3,0.295,0.36,0.045,1400,,21,675240,70%,0.055,,,Active,,,,,,,,,,,,,,,,,
16193Q,DRBHCOMC3Q,301,0.195,0.19,0.2,-0.01,0.195,0.19,0.225,0.035,1460,,34,805555,68%,0.033,,,Active,,,,,,,,,,,,,,,,,
16193R,DRBHCOMC3R,301,0.11,0.11,0.12,-0.01,0.11,0.11,0.135,0.05,1183,,-,-,75%,,,,Active,,,,,,,,,,,,,,,,,
16193S,DRBHCOMC3S,301,0.205,0.26,0.225,+0.035,0.26,0.195,0.27,0.02,1271,,39,416330,69%,0.048,,,Active,,,,,,,,,,,,,,,,,
16193T,DRBHCOMC3T,301,0.2,0.195,0.2,-0.005,0.2,0.195,0.22,0.09,600,,80,-,74%,,,,Active,,,,,,,,,,,,,,,,,
16193U,DRBHCOMC3U,301,,,0.22,,-,-,0.23,0.15,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
16193V,DRBHCOMC3V,301,,,-,,-,-,,,0,,-,-,0%,,,,New,,,,,,,,,,,,,,,,,
03055,DSR,725,,,1.18,,-,-,1.18,1.18,0,,-,22750,63%,0.039,,,Active,,,,,,,,,,,,,,,,,
0269,DSS,102,0.255,0.255,0.25,+0.005,0.255,0.255,0.37,0.205,467,3.92%,44,176040,45%,0.003,2.25,11.32,Active,,,,,,,,,,,,,,,,,
7233,DUFU,102,1.89,1.87,1.88,-0.01,1.93,1.85,1.96,0.89,42812,1.87%,48,6073220,78%,0.149,4.2,45.32,Active,,,,,,,,,,,,,,,,,
7233C1,DUFU-C1,302,0.31,0.29,0.285,+0.005,0.32,0.29,0.32,0.055,42283,,37,3618560,69%,0.044,,,Active,,,,,,,,,,,,,,,,,
7233C2,DUFU-C2,302,0.155,0.155,0.15,+0.005,0.16,0.15,0.16,0.1,2846,,37,-,0%,,,,Active,,,,,,,,,,,,,,,,,
7233C3,DUFU-C3,302,0.295,0.285,-,+0.135,0.305,0.285,,,3848,,50,-,0%,,,,New,,,,,,,,,,,,,,,,,
3948,DUTALND,125,0.27,0.27,0.265,+0.005,0.28,0.27,0.33,0.25,1511,,52,219965,48%,-0.001,-1.4,,Active,,,,,,,,,,,,,,,,,
5318,DXN,101,0.515,0.515,0.51,+0.005,0.52,0.505,0.605,0.445,15978,7.18%,69,2135740,60%,0.001,6.62,7.64,Active,,,,,,,,,,,,,,,,,
5318CP,DXN-CP,301,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
03046,DYNAFNT,705,,,1,,-,-,1,0.98,0,,-,47125,63%,0.041,,,Active,,,,,,,,,,,,,,,,,
03058,DYNAMIC,705,,,0.275,,-,-,0.275,0.275,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
3417,E&O,120,0.79,0.805,0.79,+0.015,0.81,0.78,1.01,0.675,36341,1.24%,56,2340025,37%,-0.011,7.64,11.15,Active,,,,,,,,,,,,,,,,,
341720,E&O-C20,320,,,0.025,,-,-,0.045,0.025,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
341722,E&O-C22,320,,,0.06,,-,-,0.07,0.06,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
341723,E&O-C23,320,,,0.05,,-,-,0.055,0.05,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
3417LC,E&O-LC,520,,,0.765,,-,-,0.98,0.71,0,,-,39370,30%,-0.007,,,Active,,,,,,,,,,,,,,,,,
0154,EAH,405,0.005,0.005,0.005,-,0.005,0.005,0.01,0.005,8492,,-,19451060,50%,,-0.29,,Active,,,,,,,,,,,,,,,,,
0267,ECA,405,0.18,0.2,0.18,+0.020,0.205,0.175,0.3,0.13,71215,,77,1655400,67%,0.003,-1.35,,Active,,,,,,,,,,,,,,,,,
2143,ECM,110,0.185,0.185,0.195,-0.01,0.185,0.185,0.22,0.165,27,,-,23295,67%,0.001,0.41,45.68,Active,,,,,,,,,,,,,,,,,
3557,ECOFIRS,120,0.355,0.35,0.35,-,0.355,0.35,0.41,0.315,3463,,35,582315,23%,-0.008,2.08,16.81,Active,,,,,,,,,,,,,,,,,
3557WD,ECOFIRS-WD,120,,,0.045,,-,-,0.09,0.035,0,,-,201035,46%,-0.002,,,Active,,,,,,,,,,,,,,,,,
0059,ECOHLDS,163,,,0.03,,-,-,0.05,0.02,0,,-,104610,50%,,-7.89,,Active,,,,,,,,,,,,,,,,,
0239,ECOMATE,101,1.48,1.49,1.49,-,1.49,1.48,1.49,0.88,565,,100,999675,63%,0.002,0.41,362.9,Active,,,,,,,,,,,,,,,,,
5253,ECONBHD,103,0.375,0.375,0.38,-0.005,0.385,0.37,0.495,0.25,27077,,49,2652160,33%,-0.002,0.09,430.76,Active,,,,,,,,,,,,,,,,,
5337,ECOSHOP,101,1.53,1.51,1.53,-0.02,1.54,1.5,1.55,1.13,36584,0.66%,37,8790905,77%,0.048,3.79,42.47,Active,,,,,,,,,,,,,,,,,
5337CA,ECOSHOP-CA,301,0.23,0.23,0.23,-,0.23,0.23,0.235,0.09,150,,-,584475,76%,0.02,,,Active,,,,,,,,,,,,,,,,,
5337CB,ECOSHOP-CB,301,0.13,0.12,0.125,-0.005,0.13,0.12,0.135,0.035,372,,17,982590,71%,0.015,,,Active,,,,,,,,,,,,,,,,,
5337CC,ECOSHOP-CC,301,,,0.16,,-,-,0.175,0.085,0,,-,322265,73%,0.012,,,Active,,,,,,,,,,,,,,,,,
5337CD,ECOSHOP-CD,301,,,0.13,,-,-,0.135,0.07,0,,-,157470,71%,0.011,,,Active,,,,,,,,,,,,,,,,,
5337CE,ECOSHOP-CE,301,,,0.055,,-,-,0.06,0.035,0,,-,615135,75%,0.003,,,Active,,,,,,,,,,,,,,,,,
5337CF,ECOSHOP-CF,301,,,0.02,,-,-,0.035,0.02,0,,-,1323515,44%,,,,Active,,,,,,,,,,,,,,,,,
5337CG,ECOSHOP-CG,301,,,0.13,,-,-,0.13,0.075,0,,-,569970,76%,0.01,,,Active,,,,,,,,,,,,,,,,,
5337CH,ECOSHOP-CH,301,0.03,0.03,0.03,-,0.03,0.03,0.035,0.015,5500,,-,1097745,80%,0.002,,,Active,,,,,,,,,,,,,,,,,
5337CI,ECOSHOP-CI,301,,,0.325,,-,-,0.335,0.11,0,,-,167475,79%,0.039,,,Active,,,,,,,,,,,,,,,,,
5337CJ,ECOSHOP-CJ,301,0.14,0.14,0.135,+0.005,0.14,0.14,0.15,0.09,2107,,95,1121790,71%,0.009,,,Active,,,,,,,,,,,,,,,,,
5337CK,ECOSHOP-CK,301,,,0.12,,-,-,0.13,0.065,0,,-,76060,62%,,,,Active,,,,,,,,,,,,,,,,,
5337CL,ECOSHOP-CL,301,,,0.085,,-,-,0.095,0.045,0,,-,129610,61%,,,,Active,,,,,,,,,,,,,,,,,
5337CM,ECOSHOP-CM,301,0.05,0.05,0.05,-,0.05,0.05,0.055,0.035,6500,,8,3310395,64%,0.003,,,Active,,,,,,,,,,,,,,,,,
5337CN,ECOSHOP-CN,301,0.175,0.175,0.18,-0.005,0.175,0.175,0.19,0.12,1000,,-,287825,71%,0.013,,,Active,,,,,,,,,,,,,,,,,
5337CO,ECOSHOP-CO,301,,,0.085,,-,-,0.09,0.075,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5337CP,ECOSHOP-CP,301,,,0.165,,-,-,0.18,0.09,0,,-,-,68%,,,,Active,,,,,,,,,,,,,,,,,
5337CQ,ECOSHOP-CQ,301,0.1,0.1,0.1,-,0.1,0.1,0.11,0.06,3600,,17,440065,69%,,,,Active,,,,,,,,,,,,,,,,,
5337CR,ECOSHOP-CR,301,0.09,0.085,0.095,-0.01,0.09,0.085,0.1,0.055,11400,,46,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5337CS,ECOSHOP-CS,301,,,0.07,,-,-,0.07,0.065,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5337CT,ECOSHOP-CT,301,0.08,0.08,-,-0.07,0.08,0.08,,,2000,,75,-,0%,,,,New,,,,,,,,,,,,,,,,,
8206,ECOWLD,120,2.12,2.09,2.11,-0.02,2.14,2.08,2.27,1.52,47977,2.87%,53,4870585,32%,0.006,10.3,22.04,Active,,,,,,,,,,,,,,,,,
820638,ECOWLD-C38,320,,,0.075,,-,-,0.105,0.07,0,,-,104400,40%,-0.001,,,Active,,,,,,,,,,,,,,,,,
820639,ECOWLD-C39,320,,,0.045,,-,-,0.08,0.04,0,,-,197480,40%,,,,Active,,,,,,,,,,,,,,,,,
820640,ECOWLD-C40,320,,,0.075,,-,-,0.105,0.055,0,,-,47725,43%,0.002,,,Active,,,,,,,,,,,,,,,,,
820641,ECOWLD-C41,320,0.085,0.085,0.09,-0.005,0.085,0.085,0.11,0.065,50,,-,193395,54%,0.006,,,Active,,,,,,,,,,,,,,,,,
820642,ECOWLD-C42,320,,,0.11,,-,-,0.115,0.1,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820643,ECOWLD-C43,320,0.085,0.085,0.1,-0.015,0.095,0.085,0.145,0.08,360,,28,429905,37%,-0.002,,,Active,,,,,,,,,,,,,,,,,
820644,ECOWLD-C44,320,0.06,0.055,0.065,-0.01,0.06,0.055,0.085,0.05,1450,,66,97890,46%,0.003,,,Active,,,,,,,,,,,,,,,,,
820645,ECOWLD-C45,320,,,0.075,,-,-,0.09,0.07,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820646,ECOWLD-C46,320,,,0.08,,-,-,0.095,0.065,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820647,ECOWLD-C47,320,,,0.1,,-,-,0.1,0.1,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820648,ECOWLD-C48,320,0.105,0.11,0.11,-,0.11,0.1,0.14,0.11,9650,,32,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820649,ECOWLD-C49,320,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820650,ECOWLD-C50,320,,,0.055,,-,-,0.055,0.05,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820651,ECOWLD-C51,320,,,-,,-,-,,,0,,-,-,0%,,,,New,,,,,,,,,,,,,,,,,
8206WB,ECOWLD-WB,120,0.965,0.95,0.965,-0.015,0.965,0.95,1.07,0.54,2845,,17,198755,34%,0.005,,,Active,,,,,,,,,,,,,,,,,
5036,EDARAN,105,1.4,1.37,1.42,-0.05,1.42,1.36,1.94,1.04,1607,3.47%,49,141315,82%,0.052,7.03,20.21,Active,,,,,,,,,,,,,,,,,
0278,EDELTEQ,405,0.485,0.465,0.485,-0.02,0.49,0.46,0.49,0.17,61110,0.43%,38,5958295,67%,0.027,0.74,69.12,Active,,,,,,,,,,,,,,,,,
7471,EDEN,165,0.18,0.165,0.18,-0.015,0.18,0.165,0.185,0.135,24325,,32,1536610,75%,0.007,4.37,3.77,Active,,,,,,,,,,,,,,,,,
7471WC,EDEN-WC,165,0.04,0.04,0.045,-0.005,0.04,0.03,0.05,0.02,44759,,12,1529955,71%,0.005,,,Active,,,,,,,,,,,,,,,,,
1368,EDGENTA,102,0.84,0.845,0.845,-,0.85,0.835,0.94,0.62,2695,4.73%,36,770785,51%,0.024,6.22,13.68,Active,,,,,,,,,,,,,,,,,
1368CS,EDGENTA-CS,302,0.05,0.05,0.055,-0.005,0.05,0.05,0.13,0.03,10500,,10,684740,50%,0.003,,,Active,,,,,,,,,,,,,,,,,
0107,EDUSPEC,405,0.13,0.135,0.135,-,0.135,0.13,0.15,0.09,5211,,58,1535595,43%,,-2.67,,Active,,,,,,,,,,,,,,,,,
0107WC,EDUSPEC-WC,405,,,0.1,,-,-,0.12,0.055,0,,-,327095,33%,,,,Active,,,,,,,,,,,,,,,,,
0064,EFFICEN,102,0.095,0.095,0.095,-,0.095,0.095,0.205,0.07,100,,100,198420,60%,,0.35,28.58,Active,,,,,,,,,,,,,,,,,
0065,EFORCE,105,0.225,0.225,0.225,-,0.225,0.225,0.31,0.195,1219,,10,412005,44%,,0.83,27.04,Active,,,,,,,,,,,,,,,,,
0227,EFRAME,402,0.43,0.435,0.44,-0.005,0.44,0.43,0.765,0.37,551,4.60%,15,220280,71%,0.01,3.23,14.47,Active,,,,,,,,,,,,,,,,,
0227WA,EFRAME-WA,402,0.145,0.15,0.15,-,0.15,0.145,0.28,0.1,120,,17,76675,54%,-0.001,,,Active,,,,,,,,,,,,,,,,,
8907,EG,102,1.41,1.38,1.41,-0.03,1.41,1.33,2.78,0.99,80891,0.36%,41,6831245,63%,0.056,15.63,16.11,Active,,,,,,,,,,,,,,,,,
8907CE,EG-CE,302,,,0.005,,-,-,0.05,0.005,0,,-,515500,25%,-0.007,,,Active,,,,,,,,,,,,,,,,,
8907CF,EG-CF,302,0.12,0.115,0.13,-0.015,0.125,0.105,0.165,0.055,52871,,45,3046595,63%,0.012,,,Active,,,,,,,,,,,,,,,,,
8907CG,EG-CG,302,0.15,0.15,0.16,-0.01,0.16,0.145,0.2,0.105,7045,,24,709200,61%,,,,Active,,,,,,,,,,,,,,,,,
8907CH,EG-CH,302,0.13,0.125,0.14,-0.015,0.13,0.125,0.15,0.135,1970,,53,-,0%,,,,Active,,,,,,,,,,,,,,,,,
8907WD,EG-WD,102,0.635,0.63,0.64,-0.01,0.645,0.615,0.95,0.24,54437,,38,7418415,61%,0.063,,,Active,,,,,,,,,,,,,,,,,
0255,EIB,402,0.12,0.135,0.135,-,0.135,0.12,0.34,0.11,3,,67,68360,53%,-0.004,-6.84,,Active,,,,,,,,,,,,,,,,,
0255WA,EIB-WA,402,,,0.005,,-,-,0.06,0.005,0,,-,54920,50%,-0.002,,,Active,,,,,,,,,,,,,,,,,
5081,EIG,101,,,0.225,,-,-,0.3,0.21,0,,-,18385,56%,0.001,-3.76,,Active,,,,,,,,,,,,,,,,,
5208,EITA,102,0.51,0.51,0.505,+0.005,0.51,0.51,0.735,0.49,660,4.41%,24,147180,48%,-0.006,3.26,47.73,Active,,,,,,,,,,,,,,,,,
8877,EKOVEST,103,0.395,0.405,0.39,+0.015,0.415,0.39,0.47,0.245,256391,,61,12353440,53%,0.003,-4.7,,Active,,,,,,,,,,,,,,,,,
887768,EKOVEST-C68,303,,,0.1,,-,-,0.125,0.03,0,,-,1782780,53%,0.012,,,Active,,,,,,,,,,,,,,,,,
887769,EKOVEST-C69,303,,,0.085,,-,-,0.16,0.035,0,,-,3323485,46%,-0.002,,,Active,,,,,,,,,,,,,,,,,
887770,EKOVEST-C70,303,0.075,0.075,0.075,-,0.075,0.075,0.12,0.045,1583,,100,305485,52%,,,,Active,,,,,,,,,,,,,,,,,
887771,EKOVEST-C71,303,,,0.07,,-,-,0.115,0.035,0,,-,3023880,53%,,,,Active,,,,,,,,,,,,,,,,,
887772,EKOVEST-C72,303,0.04,0.045,0.035,+0.010,0.045,0.04,0.075,0.03,69750,,19,725360,45%,-0.002,,,Active,,,,,,,,,,,,,,,,,
887773,EKOVEST-C73,303,,,0.02,,-,-,0.055,0.015,0,,-,1350530,27%,,,,Active,,,,,,,,,,,,,,,,,
887774,EKOVEST-C74,303,,,0.055,,-,-,0.085,0.035,0,,-,3002230,50%,-0.001,,,Active,,,,,,,,,,,,,,,,,
887775,EKOVEST-C75,303,0.045,0.04,0.045,-0.005,0.06,0.04,0.055,0.04,295855,,28,-,56%,,,,Active,,,,,,,,,,,,,,,,,
887776,EKOVEST-C76,303,0.045,0.045,0.045,-,0.05,0.045,0.045,0.045,3110,,84,-,0%,,,,Active,,,,,,,,,,,,,,,,,
9016,EKSONS,102,0.49,0.49,0.49,-,0.49,0.49,0.645,0.445,404,5.10%,100,26260,55%,,-9.52,,Active,,,,,,,,,,,,,,,,,
5228,ELKDESA,110,1.11,1.12,1.12,-,1.12,1.1,1.25,1.09,1022,4.02%,37,76530,50%,-0.001,7.18,15.6,Active,,,,,,,,,,,,,,,,,
0318,ELRIDGE,461,0.725,0.725,0.725,-,0.725,0.72,0.73,0.375,18395,,80,2253055,67%,0.006,2.06,35.22,Active,,,,,,,,,,,,,,,,,
0090,ELSOFT,105,0.345,0.34,0.34,-,0.35,0.335,0.465,0.26,7467,5.88%,55,1344155,77%,0.011,0.31,109.47,Active,,,,,,,,,,,,,,,,,
0286,EMCC,410,0.385,0.38,0.385,-0.005,0.39,0.38,0.435,0.265,39980,,23,5524270,43%,0.007,2.09,18.25,Active,,,,,,,,,,,,,,,,,
7217,EMETALL,102,0.23,0.24,0.23,+0.010,0.24,0.23,0.335,0.195,283,,82,22710,52%,-0.003,1.06,29.49,Active,,,,,,,,,,,,,,,,,
9091,EMICO,101,0.185,0.185,0.195,-0.01,0.185,0.185,0.31,0.175,180,,-,10875,52%,-0.006,-0.84,,Active,,,,,,,,,,,,,,,,,
6076,ENCORP,120,0.155,0.155,0.165,-0.01,0.155,0.155,0.225,0.12,40,,-,119250,77%,0.006,0.57,14.29,Active,,,,,,,,,,,,,,,,,
03025,ENEST,701,,,0.14,,-,-,0.14,0.14,0,,-,236245,100%,-0.001,,,Active,,,,,,,,,,,,,,,,,
7149,ENGKAH,101,0.275,0.275,0.235,+0.040,0.275,0.275,0.37,0.205,1,,100,21840,51%,0.004,-3.59,,Active,,,,,,,,,,,,,,,,,
7149WB,ENGKAH-WB,101,,,0.005,,-,-,0.025,0.005,0,,-,123695,33%,-0.003,,,Active,,,,,,,,,,,,,,,,,
5056,ENGTEX,102,0.6,0.605,0.6,+0.005,0.615,0.595,0.66,0.43,12080,0.83%,77,798870,56%,0.01,1.38,45.38,Active,,,,,,,,,,,,,,,,,
5056WB,ENGTEX-WB,102,0.195,0.205,0.2,+0.005,0.205,0.195,0.27,0.085,1362,,67,1135020,60%,0.009,,,Active,,,,,,,,,,,,,,,,,
0367,ENPRO,461,0.235,0.24,0.24,-,0.24,0.235,0.305,0.23,4438,,32,1562380,43%,-0.001,,,Active,,,,,,,,,,,,,,,,,
8613,ENRA,161,,,0.63,,-,-,0.66,0.5,0,,-,4165,60%,0.003,-27.19,,Active,,,,,,,,,,,,,,,,,
8613WA,ENRA-WA,161,,,0.005,,-,-,0.12,0.005,0,,-,49035,47%,-0.014,,,Active,,,,,,,,,,,,,,,,,
0317,EPB,402,0.4,0.405,0.4,+0.005,0.405,0.395,0.62,0.38,705,,-,167890,45%,-0.014,3,15.39,Active,,,,,,,,,,,,,,,,,
4847,EPICON,103,0.14,0.14,0.14,-,0.14,0.135,0.285,0.12,222,,55,521180,42%,-0.001,1.58,9.36,Active,,,,,,,,,,,,,,,,,
7773,EPMB,102,0.365,0.35,0.355,-0.005,0.365,0.35,0.64,0.325,2400,,18,337410,25%,-0.002,8.38,5.59,Active,,,,,,,,,,,,,,,,,
0824EA,EQ8MID,656,,,1.17,,-,-,1.5,1.035,0,,-,2190,56%,0.008,,,Active,,,,,,,,,,,,,,,,,
0821EA,EQ8MY25,656,1.025,1.025,1.05,-0.025,1.025,1.025,1.1,0.87,1,,100,525,72%,0.009,,,Active,,,,,,,,,,,,,,,,,
0825EA,EQ8SID,656,,,0.758,,-,-,1,0.642,0,,-,3575,59%,0.009,,,Active,,,,,,,,,,,,,,,,,
0827EA,EQ8US50,656,3.42,3.46,3.42,+0.040,3.46,3.42,3.44,2.36,10,,60,10735,72%,0.06,,,Active,,,,,,,,,,,,,,,,,
0839EA,EQ8WAQF,656,,,0.945,,-,-,1.02,0.915,0,,-,7065,50%,0.002,,,Active,,,,,,,,,,,,,,,,,
0072,ERDASAN,402,0.095,0.09,0.095,-0.005,0.1,0.09,0.2,0.06,7615,,34,2809970,63%,0.007,3.45,2.62,Active,,,,,,,,,,,,,,,,,
0190,ESAFE,402,0.13,0.13,0.13,-,0.13,0.13,0.18,0.105,1,,-,49415,60%,-0.001,-1.62,,Active,,,,,,,,,,,,,,,,,
0100,ESCERAM,402,0.105,0.105,0.11,-0.005,0.11,0.1,0.165,0.09,9898,,44,1029875,63%,0.001,0.91,11.53,Active,,,,,,,,,,,,,,,,,
03021,ETH,701,,,0.18,,-,-,0.18,0.17,0,,-,114780,50%,0.002,,,Active,,,,,,,,,,,,,,,,,
6815,EUPE,120,1.03,1.04,1.04,-,1.05,1.02,1.21,0.8,1132,2.12%,20,271375,68%,0.036,30.02,3.12,Active,,,,,,,,,,,,,,,,,
7208,EURO,101,0.05,0.05,0.05,-,0.05,0.045,0.07,0.045,2856,,38,892340,60%,,-0.52,,Active,,,,,,,,,,,,,,,,,
7094,EUROSP,101,2.89,2.88,2.89,-0.01,2.89,2.88,3.17,1.7,58,8.68%,-,62375,65%,0.028,44.81,6.43,Active,,,,,,,,,,,,,,,,,
0174,EVD,405,0.055,0.055,0.055,-,0.055,0.055,0.13,0.05,1570,,45,203140,22%,-0.003,-5,,Active,,,,,,,,,,,,,,,,,
0174PA,EVD-PA,405,0.02,0.025,0.03,-0.005,0.025,0.02,0.04,0.01,2002,,25,57570,54%,,,,Active,,,,,,,,,,,,,,,,,
0174WB,EVD-WB,405,,,0.035,,-,-,0.07,0.02,0,,-,157820,50%,0.002,,,Active,,,,,,,,,,,,,,,,,
5101,EVERGRN,102,0.175,0.175,0.175,-,0.175,0.175,0.32,0.17,6233,,-,545785,46%,-0.001,0.22,78.62,Active,,,,,,,,,,,,,,,,,
5283,EWICAP,120,0.275,0.275,0.275,-,0.28,0.27,0.375,0.17,11934,40.00%,69,2370440,58%,-0.003,-1.43,,Active,,,,,,,,,,,,,,,,,
1287,EXSIMHB,101,0.37,0.375,0.37,+0.005,0.375,0.37,0.39,0.315,8174,,22,898105,56%,0.002,1.94,19.31,Active,,,,,,,,,,,,,,,,,
3689,F&N,101,28.1,27.84,28.1,-0.26,28.3,27.84,31.64,22.4,1386,2.26%,45,71480,71%,0.173,148.2,18.76,Active,,,,,,,,,,,,,,,,,
0820EA,F4GBM-EA,656,1.73,1.73,1.73,-,1.745,1.725,1.75,1.63,65,,3,10840,56%,0.01,,,Active,,,,,,,,,,,,,,,,,
2984,FACBIND,102,1.6,1.6,1.6,-,1.6,1.6,1.63,1.01,210,,100,31010,100%,0.006,4.5,31.72,Active,,,,,,,,,,,,,,,,,
5029,FAREAST,125,4.02,4.03,4.02,+0.010,4.03,4,4.3,3.35,206,4.47%,99,2245,36%,0.018,32.02,11.83,Active,,,,,,,,,,,,,,,,,
6041,FARLIM,120,0.175,0.18,0.175,+0.005,0.18,0.175,0.235,0.155,2660,,97,946035,54%,0.002,-4.21,,Active,,,,,,,,,,,,,,,,,
0084,FAST,402,0.04,0.035,0.035,-,0.04,0.035,0.075,0.03,3252,,22,472925,50%,,-4.77,,Active,,,,,,,,,,,,,,,,,
0084WA,FAST-WA,402,,,0.005,,-,-,0.02,0.005,0,,-,88380,33%,-0.001,,,Active,,,,,,,,,,,,,,,,,
0084WB,FAST-WB,402,,,0.015,,-,-,0.025,0.005,0,,-,82330,43%,-0.002,,,Active,,,,,,,,,,,,,,,,,
7229,FAVCO,102,,,1.63,,-,-,1.92,1.5,0,5.52%,-,24770,53%,-0.003,22.21,5.96,Active,,,,,,,,,,,,,,,,,
7047,FBG,103,0.215,0.215,0.215,-,0.215,0.21,0.445,0.185,8538,4.65%,39,1847865,62%,-0.003,0.95,24.83,Active,,,,,,,,,,,,,,,,,
7047WC,FBG-WC,103,0.01,0.015,0.015,-,0.015,0.01,0.155,0.005,5554,,1,1601950,33%,-0.001,,,Active,,,,,,,,,,,,,,,,,
