"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.710","0.700","0.700","-","0.710","0.700","0.865","0.695","692","4.00%","37","142415","30%","-0.006","8.89","7.93","Active"
="0328","3REN","405","0.415","0.405","0.410","-0.005","0.415","0.400","0.480","0.200","23501","1.23%","25","6842040","50%","0.003","1.54","29.61","Active"
="5326","99SMART","101","3.140","3.140","3.130","+0.010","3.150","3.100","3.390","1.920","255026","0.40%","40","13766675","39%","0.058","5.84","53.80","Active"
="532610","99SMART-C10","301","0.120","0.125","0.120","+0.005","0.125","0.120","0.130","0.070","41","","51","394860","60%","0.017","","","Active"
="532611","99SMART-C11","301","","","0.270","","-","-","0.330","0.125","0","","-","100520","58%","0.024","","","Active"
="532612","99SMART-C12","301","","","0.150","","-","-","0.215","0.075","0","","-","77035","55%","0.018","","","Active"
="532613","99SMART-C13","301","0.235","0.235","0.215","+0.020","0.235","0.235","0.330","0.065","1","","100","415955","29%","0.017","","","Active"
="532614","99SMART-C14","301","","","0.185","","-","-","0.225","0.085","0","","-","-","71%","","","","Active"
="532615","99SMART-C15","301","0.220","0.220","0.210","+0.010","0.220","0.210","0.310","0.090","60676","","55","561305","28%","0.019","","","Active"
="532616","99SMART-C16","301","0.155","0.150","0.150","-","0.155","0.150","0.220","0.100","5090","","57","743570","32%","0.006","","","Active"
="532617","99SMART-C17","301","0.090","0.090","0.085","+0.005","0.090","0.090","0.125","0.070","66817","","57","-","40%","","","","Active"
="532618","99SMART-C18","301","0.115","0.115","0.110","+0.005","0.120","0.110","0.175","0.065","3977","","41","1143715","36%","","","","Active"
="532619","99SMART-C19","301","0.115","0.115","0.110","+0.005","0.115","0.110","0.175","0.100","25580","","59","-","24%","","","","Active"
="5326C2","99SMART-C2","301","","","0.065","","-","-","0.140","0.020","0","","-","332260","41%","0.005","","","Active"
="532620","99SMART-C20","301","0.045","0.045","0.045","-","0.045","0.045","0.055","0.040","7000","","-","-","0%","","","","Active"
="532621","99SMART-C21","301","0.080","0.075","0.080","-0.005","0.080","0.075","0.080","0.070","5063","","66","-","0%","","","","Active"
="532622","99SMART-C22","301","","","0.050","","-","-","0.050","0.045","0","","-","-","0%","","","","Active"
="532623","99SMART-C23","301","0.090","0.095","-","-0.055","0.095","0.090","","","145500","","53","-","0%","","","","New"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.200","0.200","0.195","+0.005","0.205","0.195","0.260","0.070","60171","","81","1390930","28%","0.007","","","Active"
="5326C5","99SMART-C5","301","0.285","0.290","0.280","+0.010","0.290","0.280","0.370","0.060","68030","","51","509780","43%","0.023","","","Active"
="5326C6","99SMART-C6","301","0.400","0.395","0.385","+0.010","0.400","0.385","0.520","0.075","39547","","43","870580","33%","0.019","","","Active"
="5326C7","99SMART-C7","301","","","0.170","","-","-","0.220","0.060","0","","-","551755","66%","0.031","","","Active"
="5326C8","99SMART-C8","301","","","0.445","","-","-","0.520","0.095","0","","-","107360","77%","0.076","","","Active"
="5326C9","99SMART-C9","301","","","0.290","","-","-","0.315","0.110","0","","-","-","83%","","","","Active"
="5326CZ","99SMART-CZ","301","","","0.330","","-","-","0.330","0.065","0","","-","193760","83%","0.040","","","Active"
="0365","A1AKK","401","0.235","0.230","0.235","-0.005","0.235","0.230","0.255","0.190","2638","","25","1346345","61%","0.008","0.82","32.11","Active"
="0703CJ","A50CHIN-CJ","358","0.125","0.135","0.125","+0.010","0.140","0.125","0.265","0.120","24180","","75","848495","37%","-0.014","","","Active"
="0703CK","A50CHIN-CK","358","0.245","0.245","0.235","+0.010","0.245","0.235","0.305","0.215","14000","","57","-","0%","","","","Active"
="07031A","A50CHIN-H1A","358","0.085","0.085","0.090","-0.005","0.085","0.085","0.185","0.085","8000","","50","-","0%","","","","Active"
="070399","A50CHIN-H99","358","","","0.015","","-","-","0.030","0.015","0","","-","-","0%","","","","Active"
="7054","AASIA","125","0.090","0.090","0.085","+0.005","0.090","0.090","0.115","0.075","50","","-","68470","30%","","-0.50","","Active"
="5238","AAX","101","1.730","1.730","1.730","-","1.740","1.700","2.160","1.230","4606","","52","1491970","47%","0.022","51.30","3.38","Active"
="523828","AAX-C28","301","0.065","0.065","0.060","+0.005","0.065","0.065","0.170","0.040","265","","-","675755","31%","-0.002","","","Active"
="523829","AAX-C29","301","0.080","0.080","0.080","-","0.085","0.080","0.110","0.050","14340","","54","742150","42%","0.003","","","Active"
="523830","AAX-C30","301","0.075","0.075","0.070","+0.005","0.075","0.075","0.095","0.065","300","","100","-","0%","","","","Active"
="523831","AAX-C31","301","0.100","0.100","0.100","-","0.100","0.100","0.125","0.095","1300","","38","-","0%","","","","Active"
="0800EA","ABFMY1","657","1.226","1.227","1.226","+0.001","1.227","1.226","1.300","1.190","56","","95","12955","51%","-0.002","","","Active"
="7167","ABLEGLOB","101","1.650","1.640","1.650","-0.010","1.660","1.620","2.000","1.260","1328","4.57%","44","141195","57%","0.019","22.43","7.27","Active"
="7086","ABLEGRP","102","","","0.070","","-","-","0.100","0.070","0","","-","224245","29%","-0.001","0.01","803.17","Active"
="2488","ABMB","110","4.440","4.430","4.440","-0.010","4.440","4.410","5.400","3.930","7360","4.38%","50","790590","53%","","48.49","10.21","Active"
="248821","ABMB-C21","310","","","0.055","","-","-","0.070","0.055","0","","-","-","0%","","","","Active"
="248822","ABMB-C22","310","0.040","0.040","0.045","-0.005","0.040","0.040","0.085","0.045","1000","","-","-","36%","","","","Active"
="248823","ABMB-C23","310","0.100","0.100","0.100","-","0.100","0.100","0.180","0.100","500","","-","302250","31%","","","","Active"
="248824","ABMB-C24","310","0.100","0.100","0.100","-","0.100","0.100","0.190","0.090","49","","-","196715","30%","-0.007","","","Active"
="248825","ABMB-C25","310","","","0.045","","-","-","0.075","0.045","0","","-","-","0%","","","","Active"
="248826","ABMB-C26","310","","","0.080","","-","-","0.080","0.080","0","","-","-","0%","","","","Active"
