"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.700","0.700","0.700","-","0.700","0.700","0.880","0.700","764","4.00%","78","196215","35%","-0.004","8.89","7.93","Active"
="0328","3REN","405","0.460","0.460","0.460","-","0.480","0.450","0.490","0.200","114979","1.09%","60","9946480","52%","0.014","1.54","33.63","Active"
="5326","99SMART","101","3.110","3.150","3.110","+0.040","3.170","3.080","3.390","1.920","121462","0.40%","54","12831845","68%","0.128","5.84","53.97","Active"
="5326C1","99SMART-C1","301","","","0.595","","-","-","0.685","0.090","0","","-","33605","76%","0.082","","","Suspended, Forbid"
="532610","99SMART-C10","301","0.125","0.130","0.125","+0.005","0.130","0.125","0.125","0.070","8352","","50","623650","71%","","","","Active"
="532611","99SMART-C11","301","0.275","0.295","0.280","+0.015","0.295","0.275","0.330","0.125","660","","100","118635","64%","0.037","","","Active"
="532612","99SMART-C12","301","","","0.180","","-","-","0.215","0.075","0","","-","149055","62%","0.027","","","Active"
="532613","99SMART-C13","301","0.240","0.245","0.230","+0.015","0.245","0.240","0.330","0.065","3065","","66","463265","67%","0.043","","","Active"
="532614","99SMART-C14","301","0.190","0.190","0.185","+0.005","0.190","0.190","0.225","0.085","150","","100","-","74%","","","","Active"
="532615","99SMART-C15","301","0.225","0.225","0.215","+0.010","0.230","0.220","0.310","0.090","1410","","56","517840","68%","0.047","","","Active"
="532616","99SMART-C16","301","0.155","0.160","0.150","+0.010","0.160","0.155","0.220","0.100","1160","","100","-","63%","","","","Active"
="532617","99SMART-C17","301","","","0.095","","-","-","0.125","0.070","0","","-","-","0%","","","","Active"
="532618","99SMART-C18","301","0.110","0.120","0.105","+0.015","0.125","0.110","0.175","0.065","8498","","75","-","0%","","","","Active"
="532619","99SMART-C19","301","0.125","0.120","0.115","+0.005","0.125","0.120","0.175","0.105","5006","","60","-","0%","","","","Active"
="5326C2","99SMART-C2","301","0.080","0.080","0.075","+0.005","0.080","0.080","0.140","0.020","4400","","100","215755","56%","0.016","","","Active"
="532620","99SMART-C20","301","0.055","0.055","0.050","+0.005","0.055","0.055","0.050","0.050","227","","100","-","0%","","","","Active"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.195","0.205","0.195","+0.010","0.210","0.195","0.260","0.070","20436","","70","1541975","62%","0.018","","","Active"
