Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
03041,1TECH,Utilities,,,0.02,,-,-,0.03,0.02,0,,-,-,0%,,,,Active
0012,3A,Industrial & Consumer Products,0.735,0.73,0.73,-,0.74,0.73,0.905,0.705,4750,3.84%,49,121740,62%,0.003,8.89,8.27,Active
0328,3REN,Property,0.39,0.405,0.385,+0.020,0.415,0.39,0.49,0.2,73243,1.23%,65,7277770,62%,0.02,1.54,29.59,Active
5326,99SMART,Industrial & Consumer Products,2.81,2.88,2.81,+0.070,2.91,2.81,2.84,1.92,109662,0.43%,57,9243885,78%,0.086,5.84,49.34,Active
5326C1,99SMART-C1,Technology,0.425,0.44,0.385,+0.055,0.44,0.425,0.395,0.09,850,,65,46535,74%,0.041,,,Active
532610,99SMART-C10,Technology,0.105,0.11,0.09,+0.020,0.11,0.105,0.105,0.07,600,,100,-,60%,,,,Active
532611,99SMART-C11,Technology,0.21,0.22,0.2,+0.020,0.225,0.21,0.205,0.125,779,,-,1113575,78%,0.023,,,Active
532612,99SMART-C12,Technology,0.125,0.135,0.12,+0.015,0.135,0.125,0.12,0.075,4135,,92,820280,65%,0.015,,,Active
532613,99SMART-C13,Technology,0.145,0.155,0.14,+0.015,0.16,0.145,0.145,0.065,4261,,64,-,76%,,,,Active
532614,99SMART-C14,Technology,0.135,0.14,0.12,+0.020,0.14,0.135,0.125,0.085,2500,,-,-,0%,,,,Active
532615,99SMART-C15,Technology,0.15,0.165,0.14,+0.025,0.165,0.145,0.145,0.09,1191,,51,-,0%,,,,Active
532616,99SMART-C16,Technology,0.1,0.105,0.15,-0.045,0.11,0.1,,,4247,,81,-,0%,,,,Active
5326C2,99SMART-C2,Technology,0.05,0.05,0.04,+0.010,0.05,0.05,0.045,0.02,40,,100,167890,67%,0.008,,,Active
5326C3,99SMART-C3,Technology,,,0.175,,-,-,0.175,0.095,0,,-,-,78%,,,,Active
