"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.725","0.730","0.725","+0.005","0.735","0.725","0.905","0.705","798","3.84%","96","153825","58%","0.003","8.89","8.27","Active"
="0328","3REN","405","0.450","0.450","0.450","-","0.460","0.440","0.490","0.200","153586","1.11%","53","9265495","67%","0.021","1.54","32.88","Active"
="5326","99SMART","101","2.840","2.850","2.840","+0.010","2.880","2.800","2.950","1.920","59296","0.44%","42","9600115","71%","0.104","5.84","48.83","Active"
="5326C1","99SMART-C1","301","0.420","0.420","0.420","-","0.420","0.420","0.475","0.090","10","","-","51550","75%","0.050","","","Active"
="532610","99SMART-C10","301","","","0.110","","-","-","0.110","0.070","0","","-","646040","63%","","","","Active"
="532611","99SMART-C11","301","0.200","0.200","0.205","-0.005","0.200","0.200","0.230","0.125","400","","25","533745","73%","0.025","","","Active"
="532612","99SMART-C12","301","0.125","0.130","0.125","+0.005","0.130","0.125","0.140","0.075","20","","-","790055","68%","0.017","","","Active"
="532613","99SMART-C13","301","0.140","0.150","0.140","+0.010","0.150","0.135","0.175","0.065","3859","","57","340905","67%","","","","Active"
="532614","99SMART-C14","301","0.135","0.135","0.135","-","0.135","0.135","0.140","0.085","7000","","100","-","0%","","","","Active"
="532615","99SMART-C15","301","0.145","0.150","0.140","+0.010","0.150","0.145","0.170","0.090","24570","","59","-","64%","","","","Active"
="532616","99SMART-C16","301","0.100","0.105","0.100","+0.005","0.105","0.100","0.120","0.100","3900","","44","-","0%","","","","Active"
="532617","99SMART-C17","301","0.070","0.075","-","-0.075","0.080","0.070","","","3250","","37","-","","","","","New"
="5326C2","99SMART-C2","301","0.050","0.055","0.045","+0.010","0.055","0.045","0.055","0.020","21351","","53","174595","57%","0.008","","","Active"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.155","0.160","0.155","+0.005","0.165","0.150","0.180","0.070","10382","","59","1176740","67%","0.012","","","Active"
="5326C5","99SMART-C5","301","0.210","0.210","0.190","+0.020","0.210","0.210","0.190","0.060","200","","-","405165","81%","0.020","","","Active"
