"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.030","","-","-","0.030","0.030","0","","-","-","0%","","","","Active"
="0012","3A","101","0.740","0.730","0.730","-","0.740","0.730","0.910","0.705","3264","3.84%","17","79100","65%","0.002","8.89","8.27","Active"
="0328","3REN","405","0.405","0.370","0.405","-0.035","0.410","0.360","0.490","0.200","113980","1.35%","33","6836635","74%","0.026","1.54","27.03","Active"
="5326","99SMART","101","2.730","2.740","2.730","+0.010","2.750","2.710","2.840","1.920","52437","0.46%","35","9757940","76%","0.080","5.84","46.95","Active"
="5326C1","99SMART-C1","301","0.365","0.365","0.355","+0.010","0.365","0.365","0.395","0.090","2","","100","51460","67%","0.040","","","Active"
="532610","99SMART-C10","301","","","0.095","","-","-","0.105","0.070","0","","-","-","60%","","","","Active"
="532611","99SMART-C11","301","0.185","0.180","0.175","+0.005","0.185","0.180","0.205","0.125","288","","-","1209180","65%","0.023","","","Active"
="532612","99SMART-C12","301","0.110","0.110","0.110","-","0.110","0.110","0.120","0.075","200","","-","822020","60%","","","","Active"
="532613","99SMART-C13","301","0.115","0.115","0.110","+0.005","0.115","0.115","0.145","0.065","500","","100","-","68%","","","","Active"
="532614","99SMART-C14","301","","","0.125","","-","-","0.125","0.085","0","","-","-","0%","","","","Active"
="532615","99SMART-C15","301","0.125","0.120","0.115","+0.005","0.125","0.120","0.145","0.090","1871","","11","-","0%","","","","Active"
="5326C2","99SMART-C2","301","0.040","0.040","0.045","-0.005","0.040","0.040","0.045","0.020","290","","-","171440","73%","0.008","","","Active"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.145","0.140","0.135","+0.005","0.145","0.140","0.155","0.070","632","","-","1089450","69%","0.008","","","Active"
="5326C5","99SMART-C5","301","","","0.190","","-","-","0.190","0.060","0","","-","405165","81%","0.020","","","Active"
="5326C6","99SMART-C6","301","0.235","0.235","0.225","+0.010","0.235","0.235","0.270","0.075","2283","","64","463630","71%","0.023","","","Active"
="5326C7","99SMART-C7","301","","","0.120","","-","-","0.140","0.060","0","","-","934820","71%","0.018","","","Active"
="5326C8","99SMART-C8","301","","","0.240","","-","-","0.290","0.095","0","","-","143865","71%","0.038","","","Active"
="5326C9","99SMART-C9","301","","","0.145","","-","-","0.200","0.110","0","","-","-","0%","","","","Active"
="5326CT","99SMART-CT","301","","","-","","-","-","0.065","0.005","0","","-","208145","44%","-0.005","","","Delisted"
="5326CX","99SMART-CX","301","","","0.075","","-","-","0.075","0.025","0","","-","331060","64%","0.005","","","Suspended, Forbid"
="5326CY","99SMART-CY","301","0.265","0.265","0.265","-","0.265","0.265","0.300","0.070","100","","-","384065","67%","0.029","","","Active"
="5326CZ","99SMART-CZ","301","","","0.235","","-","-","0.235","0.065","0","","-","94625","76%","0.022","","","Active"
="0365","A1AKK","401","0.215","0.215","0.215","-","0.220","0.215","0.255","0.210","3036","","35","580650","40%","-0.002","0.82","30.02","Active"
="0703CI","A50CHIN-CI","358","","","0.220","","-","-","0.350","0.150","0","","-","66000","56%","0.007","","","Suspended, Forbid"
="0703CJ","A50CHIN-CJ","358","0.230","0.200","0.210","-0.010","0.230","0.200","0.265","0.130","652","","19","109565","54%","0.004","","","Active"
="0703CK","A50CHIN-CK","358","","","0.305","","-","-","0.305","0.265","0","","-","-","0%","","","","Active"
="07031A","A50CHIN-H1A","358","","","0.165","","-","-","0.185","0.160","0","","-","-","0%","","","","Active"
="070397","A50CHIN-H97","358","","","0.125","","-","-","0.420","0.125","0","","-","-","0%","","","","Suspended, Forbid"
="070399","A50CHIN-H99","358","","","0.025","","-","-","0.030","0.025","0","","-","-","0%","","","","Active"
="7054","AASIA","125","","","0.095","","-","-","0.115","0.075","0","","-","62600","53%","0.003","-0.50","","Active"
="5238","AAX","101","1.680","1.610","1.680","-0.070","1.680","1.600","2.160","1.230","13573","","33","1038490","81%","0.019","51.30","3.14","Active"
="523828","AAX-C28","301","0.070","0.065","0.080","-0.015","0.070","0.065","0.170","0.040","5153","","-","583725","61%","-0.005","","","Active"
="523829","AAX-C29","301","","","0.090","","-","-","0.105","0.050","0","","-","-","0%","","","","Active"
="0800EA","ABFMY1","657","1.224","1.222","1.224","-0.002","1.224","1.222","1.266","1.190","323","","1","18265","33%","-0.005","","","Active"
="7167","ABLEGLOB","101","1.560","1.560","1.560","-","1.570","1.550","2.010","1.260","1894","4.81%","33","153355","44%","0.002","22.43","6.92","Active"
="7086","ABLEGRP","102","","","0.085","","-","-","0.100","0.070","0","","-","125335","57%","0.001","0.01","975.28","Active"
="2488","ABMB","110","4.360","4.370","4.360","+0.010","4.400","4.360","5.400","3.930","9396","4.44%","81","2376515","40%","-0.048","48.49","10.07","Active"
="248819","ABMB-C19","310","","","0.005","","-","-","0.080","0.005","0","","-","317605","25%","-0.006","","","Suspended, Forbid"
="248820","ABMB-C20","310","0.090","0.090","0.090","-","0.090","0.090","0.160","0.080","1000","","100","136645","25%","-0.013","","","Active"
="248821","ABMB-C21","310","","","0.055","","-","-","0.070","0.055","0","","-","-","0%","","","","Active"
="248822","ABMB-C22","310","","","0.060","","-","-","0.085","0.060","0","","-","-","0%","","","","Active"
="248823","ABMB-C23","310","","","0.175","","-","-","0.180","0.150","0","","-","-","0%","","","","Active"
="248824","ABMB-C24","310","","","0.100","","-","-","0.190","0.090","0","","-","259345","19%","-0.013","","","Active"
="248825","ABMB-C25","310","","","0.050","","-","-","0.050","0.045","0","","-","-","0%","","","","Active"
="7131","ACME","120","0.110","0.110","0.115","-0.005","0.115","0.110","0.210","0.105","611","","24","265745","50%","","1.43","7.88","Active"
="0218","ACO","402","0.205","0.205","0.205","-","0.205","0.205","0.255","0.185","160","0.98%","100","151025","50%","","1.42","14.46","Active"
="0276","ADB","405","1.040","1.030","1.040","-0.010","1.040","1.020","1.290","0.830","6570","3.88%","15","805550","36%","-0.015","3.56","28.95","Active"
="5281","ADVCON","103","0.210","0.210","0.210","-","0.210","0.205","0.260","0.190","10004","","88","579435","50%","-0.004","-3.82","","Active"
="7191","ADVENTA","162","0.165","0.165","0.165","-","0.165","0.165","0.335","0.150","1460","","52","156815","45%","-0.002","0.69","24.29","Active"
="7146","AEM","102","0.040","0.060","0.040","+0.020","0.065","0.040","0.115","0.035","4230","","53","476470","50%","","-6.84","","Active"
="0181","AEMULUS","405","0.260","0.255","0.260","-0.005","0.265","0.255","0.320","0.180","10151","","42","1179045","67%","0.002","-3.26","","Active"
="6599","AEON","101","1.320","1.300","1.320","-0.020","1.320","1.300","1.580","1.220","7844","3.46%","20","1882380","59%","-0.010","9.12","14.26","Active"
="659938","AEON-C38","301","","","0.005","","-","-","0.135","0.005","0","","-","94300","27%","","","","Suspended, Forbid"
="659939","AEON-C39","301","","","0.045","","-","-","0.115","0.045","0","","-","-","0%","","","","Active"
="659940","AEON-C40","301","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="659941","AEON-C41","301","0.055","0.055","0.055","-","0.055","0.055","0.105","0.035","1650","","61","412390","43%","-0.007","","","Active"
="659942","AEON-C42","301","","","0.055","","-","-","0.055","0.050","0","","-","-","0%","","","","Active"
="659943","AEON-C43","301","0.055","0.055","0.055","-","0.055","0.055","0.060","0.040","2000","","-","-","0%","","","","Active"
="659944","AEON-C44","301","0.055","0.055","0.055","-","0.055","0.055","0.060","0.040","2300","","22","-","0%","","","","Active"
="5139","AEONCR","110","5.370","5.530","5.350","+0.180","5.540","5.310","7.310","4.850","14132","5.20%","64","805955","80%","0.067","72.58","7.62","Active"
="5185","AFFIN","110","2.360","2.330","2.360","-0.030","2.370","2.320","3.030","2.210","12280","","27","1529660","71%","0.005","21.45","11.58","Active"
="518521","AFFIN-C21","310","","","0.025","","-","-","0.145","0.025","0","","-","194045","12%","-0.018","","","Suspended, Forbid"
="518522","AFFIN-C22","310","","","0.005","","-","-","0.050","0.010","0","","-","-","0%","","","","Suspended, Forbid"
