Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
"=""0098""",AUMAS,AUMAS,0.595,0.59,0.595,,0.595,0.585,,,25112,,-,-,,,2.49,,Active
"=""0090""",ELSOFT,ELSOFT,0.325,0.34,0.335,,0.340,0.315,,,1370,,-,-,,,0.31,,Active
"=""0100""",ESCERAM,ESCERAM,0.095,0.1,0.100,,0.100,0.095,,,11215,,-,-,,,0.09,,Active
"=""0084""",FAST,FAST,0.04,0.045,0.040,,0.045,0.040,,,600,,-,-,,,-4.77,,Active
"=""0084WA""",FAST-WA,FAST-WA,0.0,,0.010,,-,-,,,0,,-,-,,,,,Active
"=""0084WB""",FAST-WB,FAST-WB,0.0,,0.020,,-,-,,,0,,-,-,,,,,Active
"=""0095""",MAG,MAG,0.2,0.19,0.200,,0.200,0.185,,,44504,,-,-,,,2.22,,Active
"=""0085""",MLAB,MLAB,0.06,0.06,0.065,,0.060,0.055,,,6410,,-,-,,,-0.97,,Active
"=""0085WD""",MLAB-WD,MLAB-WD,0.0,,0.020,,-,-,,,0,,-,-,,,,,Active
"=""0103""",MNC,MNC,0.07,0.075,0.075,,0.075,0.070,,,1742,,-,-,,,-3.67,,Active
"=""0103PA""",MNC-PA,MNC-PA,0.0,,0.035,,-,-,,,0,,-,-,,,,,Active
"=""0103WC""",MNC-WC,MNC-WC,0.0,,0.010,,-,-,,,0,,-,-,,,,,Active
"=""0092""",MTOUCHE,MTOUCHE,0.02,0.02,0.025,,0.020,0.020,,,4,,-,-,,,-1.63,,Active
"=""0096""",NEXGRAM,NEXGRAM,0.015,0.015,0.015,,0.020,0.015,,,1603,,-,-,,,-0.5,,Active
"=""0096WD""",NEXGRAM-WD,NEXGRAM-WD,0.005,0.005,0.005,,0.005,0.005,,,4,,-,-,,,,,Active
"=""0083WD""",NOTION-WD,NOTION-WD,0.4,0.4,0.400,,0.410,0.400,,,847,,-,-,,,,,Active
"=""0091""",PGB,PGB,0.1,0.1,0.095,,0.100,0.100,,,6000,,-,-,,,0.87,,Active
"=""0099""",SCICOM,SCICOM,0.885,0.89,0.890,,0.895,0.880,,,617,,-,-,,,6.85,,Active
"=""0093""",SOLUTN,SOLUTN,0.1,0.1,0.100,,0.100,0.100,,,1,,-,-,,,-1.48,,Active
"=""0089""",TEXCYCL,TEXCYCL,0.99,0.995,0.990,,0.995,0.985,,,697,,-,-,,,5.35,,Active
"=""0101""",TMCLIFE,TMCLIFE,0.43,0.43,0.430,,0.430,0.420,,,970,,-,-,,,2.33,,Active
"=""0097""",VITROX,VITROX,3.7,3.66,3.700,,3.710,3.610,,,3563,,-,-,,,4.78,,Active
"=""009710""",VITROX-C10,VITROX-C10,0.045,0.055,0.060,,0.055,0.045,,,7207,,-,-,,,,,Active
"=""009711""",VITROX-C11,VITROX-C11,0.0,,0.100,,-,-,,,0,,-,-,,,,,Active
"=""009712""",VITROX-C12,VITROX-C12,0.0,,0.135,,-,-,,,0,,-,-,,,,,Active
"=""0102""",WAJA,WAJA,0.0,,0.055,,-,-,,,0,,-,-,,,0.06,,"Active, Alert"
"=""0086""",YGL,YGL,0.12,0.12,0.120,,0.120,0.120,,,1380,,-,-,,,0.08,,Active
"=""0094""",ZENTECH,ZENTECH,0.005,0.01,0.010,,0.010,0.005,,,7,,-,-,,,-0.34,,Active
