,,,,,,,,,,,,,,,,,Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
523830,AAX-C30,301,0.07,0.07,0.065,+0.005,0.07,0.07,0.095,0.065,800,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,
523831,AAX-C31,301,,,0.095,,-,-,0.125,0.095,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
0800EA,ABFMY1,657,1.3,1.22,1.22,-,1.3,1.22,1.27,1.19,146,,-,12075,44%,-0.002,,,Active,,,,,,,,,,,,,,,,,
7167,ABLEGLOB,101,1.63,1.65,1.67,-0.02,1.65,1.6,2,1.26,2359,4.55%,22,155855,62%,0.024,22.43,7.32,Active,,,,,,,,,,,,,,,,,
7086,ABLEGRP,102,0.07,0.07,0.07,-,0.07,0.07,0.1,0.07,1708,,-,239465,40%,-0.001,0.01,803.17,Active,,,,,,,,,,,,,,,,,
2488,ABMB,110,4.48,4.44,4.48,-0.04,4.48,4.43,5.4,3.93,5056,4.37%,41,792720,50%,0.004,48.49,10.23,Active,,,,,,,,,,,,,,,,,
248821,ABMB-C21,310,,,0.055,,-,-,0.07,0.055,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
248822,ABMB-C22,310,,,0.045,,-,-,0.085,0.045,0,,-,-,36%,,,,Active,,,,,,,,,,,,,,,,,
248823,ABMB-C23,310,0.105,0.1,0.105,-0.005,0.105,0.1,0.18,0.1,1266,,45,-,33%,,,,Active,,,,,,,,,,,,,,,,,
248824,ABMB-C24,310,0.105,0.1,0.105,-0.005,0.105,0.1,0.19,0.09,1166,,48,228640,52%,-0.006,,,Active,,,,,,,,,,,,,,,,,
248825,ABMB-C25,310,,,0.045,,-,-,0.075,0.045,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
248826,ABMB-C26,310,,,0.08,,-,-,0.08,0.08,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
7131,ACME,120,0.115,0.115,0.115,-,0.115,0.115,0.21,0.105,20,,-,585750,33%,,1.43,8.24,Active,,,,,,,,,,,,,,,,,
0218,ACO,402,,,0.19,,-,-,0.25,0.185,0,1.05%,-,343260,25%,-0.003,1.42,13.4,Active,,,,,,,,,,,,,,,,,
0276,ADB,405,1.04,1.04,1.04,-,1.04,1.03,1.29,0.83,894,3.85%,60,664290,47%,-0.005,3.56,29.23,Active,,,,,,,,,,,,,,,,,
5281,ADVCON,103,0.2,0.205,0.21,-0.005,0.205,0.2,0.26,0.19,334,,62,517735,56%,-0.002,-3.82,,Active,,,,,,,,,,,,,,,,,
7191,ADVENTA,162,0.175,0.175,0.175,-,0.18,0.175,0.335,0.15,3422,,63,976655,13%,-0.001,0.69,25.76,Active,,,,,,,,,,,,,,,,,
7146,AEM,102,0.055,0.05,0.045,+0.005,0.055,0.05,0.08,0.035,52,,100,120335,33%,-0.001,-6.84,,Active,,,,,,,,,,,,,,,,,
0181,AEMULUS,405,0.215,0.22,0.215,+0.005,0.225,0.215,0.32,0.18,15355,,62,1929650,29%,-0.01,-3.26,,Active,,,,,,,,,,,,,,,,,
6599,AEON,101,1.21,1.21,1.21,-,1.23,1.21,1.58,1.2,6691,3.72%,69,1649005,30%,-0.018,9.12,13.27,Active,,,,,,,,,,,,,,,,,
659939,AEON-C39,301,,,0.045,,-,-,0.115,0.045,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
659940,AEON-C40,301,,,0.02,,-,-,0.03,0.02,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
659941,AEON-C41,301,0.025,0.025,0.025,-,0.025,0.025,0.105,0.025,500,,100,745710,17%,-0.006,,,Active,,,,,,,,,,,,,,,,,
659942,AEON-C42,301,,,0.035,,-,-,0.055,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
