,,,,,,,,,,,,,,,,,Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
5337CF,ECOSHOP-CF,301,,,0.03,,-,-,0.035,0.02,0,,-,1239635,55%,,,,Active,,,,,,,,,,,,,,,,,
5337CG,ECOSHOP-CG,301,,,0.13,,-,-,0.13,0.075,0,,-,569970,76%,0.01,,,Active,,,,,,,,,,,,,,,,,
5337CH,ECOSHOP-CH,301,,,0.015,,-,-,0.05,0.01,0,,-,1157560,41%,-0.002,,,Active,,,,,,,,,,,,,,,,,
5337CI,ECOSHOP-CI,301,,,0.245,,-,-,0.465,0.11,0,,-,193240,45%,,,,Active,,,,,,,,,,,,,,,,,
5337CJ,ECOSHOP-CJ,301,0.105,0.105,0.105,-,0.105,0.105,0.185,0.09,4000,,100,929910,40%,-0.005,,,Active,,,,,,,,,,,,,,,,,
5337CK,ECOSHOP-CK,301,0.095,0.095,0.1,-0.005,0.095,0.095,0.165,0.065,40,,50,80990,45%,0.009,,,Active,,,,,,,,,,,,,,,,,
5337CL,ECOSHOP-CL,301,0.06,0.06,0.065,-0.005,0.06,0.06,0.135,0.045,40,,75,187585,43%,0.003,,,Active,,,,,,,,,,,,,,,,,
5337CM,ECOSHOP-CM,301,,,0.03,,-,-,0.075,0.02,0,,-,2940050,21%,-0.005,,,Active,,,,,,,,,,,,,,,,,
5337CN,ECOSHOP-CN,301,,,0.185,,-,-,0.22,0.12,0,,-,262800,57%,0.017,,,Active,,,,,,,,,,,,,,,,,
5337CO,ECOSHOP-CO,301,0.07,0.07,0.075,-0.005,0.07,0.07,0.09,0.075,1000,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5337CP,ECOSHOP-CP,301,,,0.145,,-,-,0.265,0.09,0,,-,121615,47%,0.009,,,Active,,,,,,,,,,,,,,,,,
5337CQ,ECOSHOP-CQ,301,,,0.075,,-,-,0.15,0.06,0,,-,857645,28%,-0.002,,,Active,,,,,,,,,,,,,,,,,
5337CR,ECOSHOP-CR,301,0.055,0.055,0.055,-,0.055,0.055,0.145,0.04,12030,,25,2163995,24%,-0.007,,,Active,,,,,,,,,,,,,,,,,
5337CS,ECOSHOP-CS,301,0.045,0.045,0.05,-0.005,0.045,0.045,0.095,0.04,10,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5337CT,ECOSHOP-CT,301,0.045,0.045,0.045,-,0.045,0.045,0.125,0.045,3000,,67,-,20%,,,,Active,,,,,,,,,,,,,,,,,
5337CU,ECOSHOP-CU,301,,,0.025,,-,-,0.025,0.02,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5337CV,ECOSHOP-CV,301,0.09,0.09,0.09,-,0.09,0.09,0.09,0.09,10,,100,-,0%,,,,Active,,,,,,,,,,,,,,,,,
8206,ECOWLD,120,2.1,2.03,2.1,-0.07,2.1,2.02,2.27,1.52,18203,2.96%,50,4481235,44%,-0.024,10.3,21.41,Active,,,,,,,,,,,,,,,,,
820638,ECOWLD-C38,320,,,0.075,,-,-,0.105,0.07,0,,-,103540,45%,-0.002,,,Active,,,,,,,,,,,,,,,,,
820640,ECOWLD-C40,320,,,0.03,,-,-,0.105,0.025,0,,-,76490,33%,-0.002,,,Active,,,,,,,,,,,,,,,,,
820642,ECOWLD-C42,320,0.065,0.06,0.075,-0.015,0.065,0.06,0.115,0.065,20,,50,-,37%,,,,Active,,,,,,,,,,,,,,,,,
820643,ECOWLD-C43,320,0.055,0.05,0.065,-0.015,0.055,0.05,0.145,0.05,1874,,50,485615,42%,-0.015,,,Active,,,,,,,,,,,,,,,,,
820644,ECOWLD-C44,320,,,0.045,,-,-,0.085,0.045,0,,-,106715,33%,,,,Active,,,,,,,,,,,,,,,,,
820645,ECOWLD-C45,320,,,0.075,,-,-,0.09,0.07,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820646,ECOWLD-C46,320,,,0.05,,-,-,0.095,0.05,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820647,ECOWLD-C47,320,,,0.1,,-,-,0.1,0.1,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820648,ECOWLD-C48,320,0.09,0.085,0.095,-0.01,0.09,0.085,0.14,0.085,4000,,50,341870,33%,,,,Active,,,,,,,,,,,,,,,,,
820649,ECOWLD-C49,320,0.1,0.1,0.1,-,0.1,0.1,0.105,0.1,1000,,50,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820650,ECOWLD-C50,320,,,0.055,,-,-,0.055,0.05,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820651,ECOWLD-C51,320,,,0.07,,-,-,0.08,0.07,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
820652,ECOWLD-C52,320,,,0.06,,-,-,0.06,0.06,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
8206WB,ECOWLD-WB,120,0.915,0.88,0.915,-0.035,0.915,0.88,1.07,0.54,228,,-,143330,35%,-0.024,,,Active,,,,,,,,,,,,,,,,,
5036,EDARAN,105,1.15,1.16,1.18,-0.02,1.22,1.13,1.94,1.04,614,4.09%,18,93550,30%,-0.013,7.03,17.11,Active,,,,,,,,,,,,,,,,,
0278,EDELTEQ,405,0.5,0.54,0.5,+0.040,0.55,0.5,0.565,0.17,57183,0.37%,68,5017310,56%,0.019,0.74,80.27,Active,,,,,,,,,,,,,,,,,
7471,EDEN,165,0.155,0.155,0.16,-0.005,0.155,0.15,0.185,0.135,12453,,91,787315,29%,-0.002,4.37,3.54,Active,,,,,,,,,,,,,,,,,
7471WC,EDEN-WC,165,0.03,0.03,0.03,-,0.03,0.03,0.05,0.02,3500,,5,1403190,40%,-0.001,,,Active,,,,,,,,,,,,,,,,,
1368,EDGENTA,102,0.88,0.875,0.88,-0.005,0.88,0.865,0.94,0.62,2675,4.57%,23,694120,61%,0.015,6.22,14.17,Active,,,,,,,,,,,,,,,,,
1368CS,EDGENTA-CS,302,0.05,0.05,0.05,-,0.05,0.05,0.13,0.03,1000,,-,756685,50%,0.001,,,Active,,,,,,,,,,,,,,,,,
0107,EDUSPEC,405,0.12,0.12,0.125,-0.005,0.12,0.12,0.15,0.09,1077,,-,907970,44%,-0.002,-2.67,,Active,,,,,,,,,,,,,,,,,
0107WC,EDUSPEC-WC,405,,,0.09,,-,-,0.12,0.055,0,,-,305070,33%,-0.001,,,Active,,,,,,,,,,,,,,,,,
0064,EFFICEN,102,0.1,0.105,0.1,+0.005,0.105,0.1,0.205,0.07,2304,,89,406375,33%,0.001,0.35,31.58,Active,,,,,,,,,,,,,,,,,
0065,EFORCE,105,0.225,0.225,0.225,-,0.225,0.22,0.305,0.195,534,,93,344325,55%,,0.83,27.04,Active,,,,,,,,,,,,,,,,,
0227,EFRAME,402,0.4,0.4,0.4,-,0.4,0.4,0.765,0.37,195,,-,108630,35%,-0.005,0.75,36.18,Active,,,,,,,,,,,,,,,,,
0227WA,EFRAME-WA,402,,,0.135,,-,-,0.28,0.1,0,,-,43415,38%,-0.005,,,Active,,,,,,,,,,,,,,,,,
8907,EG,102,1.32,1.33,1.32,+0.010,1.33,1.29,2.78,0.99,36163,0.38%,41,5014050,46%,0.004,15.63,15.52,Active,,,,,,,,,,,,,,,,,
8907CF,EG-CF,302,0.085,0.085,0.09,-0.005,0.09,0.08,0.165,0.055,32186,,64,3247380,40%,-0.002,,,Active,,,,,,,,,,,,,,,,,
8907CG,EG-CG,302,0.125,0.125,0.125,-,0.125,0.12,0.2,0.105,11080,,82,670500,38%,0.001,,,Active,,,,,,,,,,,,,,,,,
8907CH,EG-CH,302,0.1,0.1,0.1,-,0.1,0.1,0.15,0.095,100,,-,-,35%,,,,Active,,,,,,,,,,,,,,,,,
8907CI,EG-CI,302,,,0.055,,-,-,0.055,0.055,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
8907WD,EG-WD,102,0.61,0.61,0.61,-,0.615,0.605,0.95,0.24,13245,,26,3396980,52%,0.012,,,Active,,,,,,,,,,,,,,,,,
0255,EIB,402,,,0.11,,-,-,0.32,0.105,0,,-,182455,35%,-0.008,-6.84,,Active,,,,,,,,,,,,,,,,,
0255WA,EIB-WA,402,,,0.005,,-,-,0.06,0.005,0,,-,161240,33%,-0.001,,,Active,,,,,,,,,,,,,,,,,
5081,EIG,101,,,0.235,,-,-,0.275,0.21,0,,-,9665,60%,0.001,-3.76,,Active,,,,,,,,,,,,,,,,,
5208,EITA,102,0.495,0.49,0.5,-0.01,0.495,0.49,0.735,0.48,620,4.59%,16,97445,50%,-0.005,3.26,45.86,Active,,,,,,,,,,,,,,,,,
8877,EKOVEST,103,0.31,0.315,0.31,+0.005,0.32,0.31,0.47,0.245,101667,,72,20907830,17%,-0.019,-4.7,,Active,,,,,,,,,,,,,,,,,
887770,EKOVEST-C70,303,,,0.075,,-,-,0.12,0.045,0,,-,329340,67%,0.001,,,Active,,,,,,,,,,,,,,,,,
887771,EKOVEST-C71,303,,,0.055,,-,-,0.115,0.035,0,,-,3028670,57%,,,,Active,,,,,,,,,,,,,,,,,
887772,EKOVEST-C72,303,0.015,0.015,0.015,-,0.015,0.015,0.075,0.015,1000,,-,922590,25%,-0.006,,,Active,,,,,,,,,,,,,,,,,
887773,EKOVEST-C73,303,,,0.02,,-,-,0.055,0.015,0,,-,1350530,27%,,,,Active,,,,,,,,,,,,,,,,,
887774,EKOVEST-C74,303,,,0.035,,-,-,0.085,0.03,0,,-,1619685,46%,-0.004,,,Active,,,,,,,,,,,,,,,,,
887775,EKOVEST-C75,303,,,0.035,,-,-,0.06,0.035,0,,-,2775630,43%,,,,Active,,,,,,,,,,,,,,,,,
887776,EKOVEST-C76,303,,,0.015,,-,-,0.05,0.015,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
887777,EKOVEST-C77,303,,,0.035,,-,-,0.07,0.035,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
8877HA,EKOVEST-HA,303,,,0.03,,-,-,0.03,0.03,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
9016,EKSONS,102,0.47,0.465,0.47,-0.005,0.47,0.465,0.605,0.445,60,5.38%,-,34655,46%,,-9.52,,Active,,,,,,,,,,,,,,,,,
5228,ELKDESA,110,1.11,1.11,1.12,-0.01,1.12,1.11,1.25,1.09,880,4.05%,36,72565,43%,,7.18,15.46,Active,,,,,,,,,,,,,,,,,
0318,ELRIDGE,461,0.805,0.81,0.805,+0.005,0.81,0.805,0.81,0.41,21806,,94,4133050,86%,0.02,2.06,39.35,Active,,,,,,,,,,,,,,,,,
0090,ELSOFT,105,0.3,0.295,0.3,-0.005,0.3,0.295,0.455,0.26,450,6.78%,57,484405,29%,-0.003,0.31,94.98,Active,,,,,,,,,,,,,,,,,
0286,EMCC,410,0.37,0.375,0.375,-,0.38,0.37,0.435,0.265,12437,,52,3306135,38%,-0.006,2.09,18.02,Active,,,,,,,,,,,,,,,,,
7217,EMETALL,102,,,0.24,,-,-,0.32,0.195,0,,-,26220,50%,0.002,1.06,31.97,Active,,,,,,,,,,,,,,,,,
9091,EMICO,101,,,0.185,,-,-,0.31,0.175,0,,-,17625,48%,,-0.84,,Active,,,,,,,,,,,,,,,,,
6076,ENCORP,120,0.165,0.165,0.165,-,0.165,0.165,0.225,0.12,420,,-,447700,50%,0.006,0.57,15.21,Active,,,,,,,,,,,,,,,,,
03025,ENEST,701,,,0.14,,-,-,0.14,0.14,0,,-,236245,100%,-0.001,,,Active,,,,,,,,,,,,,,,,,
7149,ENGKAH,101,0.23,0.23,0.25,-0.02,0.26,0.23,0.365,0.205,171,,1,11350,53%,0.001,-3.59,,Active,,,,,,,,,,,,,,,,,
7149WB,ENGKAH-WB,101,,,0.005,,-,-,0.025,0.005,0,,-,106055,33%,-0.003,,,Active,,,,,,,,,,,,,,,,,
5056,ENGTEX,102,0.59,0.605,0.605,-,0.605,0.59,0.66,0.43,11273,0.83%,27,771305,58%,0.001,1.38,45.96,Active,,,,,,,,,,,,,,,,,
5056WB,ENGTEX-WB,102,0.19,0.185,0.19,-0.005,0.19,0.185,0.26,0.085,2562,,12,453325,54%,-0.001,,,Active,,,,,,,,,,,,,,,,,
0367,ENPRO,461,0.23,0.23,0.23,-,0.235,0.23,0.305,0.225,28196,,80,2406705,50%,-0.002,,,Active,,,,,,,,,,,,,,,,,
8613,ENRA,161,0.605,0.605,0.605,-,0.605,0.605,0.66,0.5,4,,-,18355,39%,-0.004,-27.19,,Active,,,,,,,,,,,,,,,,,
8613WA,ENRA-WA,161,,,0.005,,-,-,0.11,0.005,0,,-,49035,47%,-0.014,,,Active,,,,,,,,,,,,,,,,,
0317,EPB,402,,,0.39,,-,-,0.62,0.375,0,,-,99880,55%,-0.006,3,14.82,Active,,,,,,,,,,,,,,,,,
4847,EPICON,103,0.13,0.135,0.135,-,0.135,0.13,0.285,0.12,2606,,-,406490,50%,-0.001,1.58,9.02,Active,,,,,,,,,,,,,,,,,
7773,EPMB,102,0.44,0.43,0.45,-0.02,0.45,0.425,0.63,0.325,3158,,30,1696185,63%,0.02,8.38,6.87,Active,,,,,,,,,,,,,,,,,
0824EA,EQ8MID,656,1.22,1.21,1.2,+0.010,1.22,1.21,1.5,1.035,6,,100,2375,60%,0.014,,,Active,,,,,,,,,,,,,,,,,
0821EA,EQ8MY25,656,1.06,1.04,1.045,-0.005,1.06,1.04,1.1,0.87,12,,45,850,57%,0.014,,,Active,,,,,,,,,,,,,,,,,
0825EA,EQ8SID,656,0.75,0.75,0.744,+0.006,0.75,0.75,1,0.642,2,,-,4845,38%,0.001,,,Active,,,,,,,,,,,,,,,,,
0827EA,EQ8US50,656,3.5,3.5,3.46,+0.040,3.5,3.5,3.59,2.36,8,,50,10440,62%,0.047,,,Active,,,,,,,,,,,,,,,,,
0839EA,EQ8WAQF,656,,,0.918,,-,-,1.02,0.915,0,,-,7045,48%,0.001,,,Active,,,,,,,,,,,,,,,,,
0072,ERDASAN,402,0.075,0.075,0.075,-,0.075,0.075,0.17,0.06,277,,37,403305,29%,-0.002,3.45,2.19,Active,,,,,,,,,,,,,,,,,
0190,ESAFE,402,0.115,0.115,0.12,-0.005,0.115,0.115,0.175,0.105,100,,-,862155,48%,,-1.62,,Active,,,,,,,,,,,,,,,,,
0100,ESCERAM,402,0.105,0.105,0.1,+0.005,0.105,0.105,0.165,0.09,2913,,74,1451690,50%,0.001,0.91,11.53,Active,,,,,,,,,,,,,,,,,
03021,ETH,701,,,0.18,,-,-,0.18,0.17,0,,-,114780,50%,0.002,,,Active,,,,,,,,,,,,,,,,,
6815,EUPE,120,0.93,0.93,0.95,-0.02,0.935,0.93,1.12,0.8,680,2.37%,90,93275,43%,-0.002,30.02,2.79,Active,,,,,,,,,,,,,,,,,
7208,EURO,101,0.05,0.05,0.05,-,0.05,0.05,0.07,0.045,50,,100,159570,50%,,-0.52,,Active,,,,,,,,,,,,,,,,,
7094,EUROSP,101,2.9,2.89,2.92,-0.03,2.9,2.89,3.17,2.06,125,8.65%,-,38865,78%,0.037,44.81,6.45,Active,,,,,,,,,,,,,,,,,
0174,EVD,405,0.045,0.05,0.055,-0.005,0.05,0.045,0.1,0.05,1251,,-,505140,40%,-0.002,-5,,Active,,,,,,,,,,,,,,,,,
0174PA,EVD-PA,405,,,0.025,,-,-,0.04,0.01,0,,-,50700,57%,,,,Active,,,,,,,,,,,,,,,,,
0174WB,EVD-WB,405,,,0.04,,-,-,0.07,0.02,0,,-,78695,52%,-0.001,,,Active,,,,,,,,,,,,,,,,,
5101,EVERGRN,102,0.17,0.17,0.17,-,0.17,0.17,0.295,0.17,3086,,-,369705,50%,-0.001,0.22,76.38,Active,,,,,,,,,,,,,,,,,
5283,EWICAP,120,0.255,0.26,0.255,+0.005,0.26,0.25,0.375,0.17,32512,42.31%,36,1347975,100%,-0.004,-1.43,,Active,,,,,,,,,,,,,,,,,
1287,EXSIMHB,101,0.375,0.375,0.38,-0.005,0.38,0.375,0.39,0.32,14972,,59,727895,56%,0.002,1.94,19.31,Active,,,,,,,,,,,,,,,,,
3689,F&N,101,28.18,28.76,27.6,+1.160,28.84,28.18,29.86,22.4,8789,2.26%,58,87815,40%,0.024,138.9,20.5,Active,,,,,,,,,,,,,,,,,
0820EA,F4GBM-EA,656,1.725,1.735,1.72,+0.015,1.735,1.725,1.745,1.63,42,,100,4845,37%,0.002,,,Active,,,,,,,,,,,,,,,,,
2984,FACBIND,102,1.6,1.62,1.61,+0.010,1.62,1.6,1.65,1.01,406,,20,22450,52%,0.004,4.5,32.11,Active,,,,,,,,,,,,,,,,,
5029,FAREAST,125,,,4.28,,-,-,4.3,3.35,0,4.21%,-,8475,61%,0.017,32.02,12.56,Active,,,,,,,,,,,,,,,,,
6041,FARLIM,120,0.16,0.165,0.165,-,0.165,0.16,0.235,0.155,117,,32,886785,50%,-0.002,-4.21,,Active,,,,,,,,,,,,,,,,,
0084,FAST,402,0.035,0.035,0.035,-,0.035,0.03,0.075,0.03,174,,-,211400,50%,,-4.77,,Active,,,,,,,,,,,,,,,,,
0084WA,FAST-WA,402,,,0.005,,-,-,0.02,0.005,0,,-,96160,33%,-0.001,,,Active,,,,,,,,,,,,,,,,,
0084WB,FAST-WB,402,,,0.01,,-,-,0.025,0.005,0,,-,74945,37%,-0.002,,,Active,,,,,,,,,,,,,,,,,
7229,FAVCO,102,1.63,1.6,1.62,-0.02,1.63,1.6,1.89,1.5,42,5.62%,25,11900,56%,-0.002,22.21,5.85,Active,,,,,,,,,,,,,,,,,
7047,FBG,103,0.18,0.175,0.18,-0.005,0.18,0.17,0.395,0.175,25460,5.71%,67,1244995,25%,-0.006,0.95,35.36,Active,,,,,,,,,,,,,,,,,
7047WC,FBG-WC,103,,,0.005,,-,-,0.12,0.005,0,,-,822240,100%,-0.001,,,Active,,,,,,,,,,,,,,,,,
0650Q2,FBMKLCI-CQ2,358,,,0.165,,-,-,0.21,0.105,0,,-,194370,49%,0.008,,,Active,,,,,,,,,,,,,,,,,
0650Q3,FBMKLCI-CQ3,358,,,0.2,,-,-,0.245,0.075,0,,-,79820,54%,0.016,,,Active,,,,,,,,,,,,,,,,,
0650Q5,FBMKLCI-CQ5,358,,,0.1,,-,-,0.105,0.09,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
0650Q6,FBMKLCI-CQ6,358,0.21,0.21,0.195,+0.015,0.21,0.21,0.215,0.06,50,,-,45720,67%,0.039,,,Active,,,,,,,,,,,,,,,,,
0650Q7,FBMKLCI-CQ7,358,0.18,0.195,0.165,+0.030,0.195,0.18,0.23,0.06,292,,59,108345,55%,0.003,,,Active,,,,,,,,,,,,,,,,,
0650Q8,FBMKLCI-CQ8,358,,,0.235,,-,-,0.235,0.23,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
0650Q9,FBMKLCI-CQ9,358,,,0.18,,-,-,0.24,0.12,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
0650RA,FBMKLCI-CRA,358,0.11,0.11,0.095,+0.015,0.11,0.11,0.13,0.065,1500,,13,233750,50%,,,,Active,,,,,,,,,,,,,,,,,
0650RB,FBMKLCI-CRB,358,,,0.14,,-,-,0.14,0.13,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
0650RC,FBMKLCI-CRC,358,,,0.08,,-,-,0.085,0.075,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
0650RD,FBMKLCI-CRD,358,,,0.1,,-,-,0.1,0.1,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
0650B7,FBMKLCI-HB7,358,,,0.005,,-,-,0.06,0.005,0,,-,540100,20%,-0.007,,,Active,,,,,,,,,,,,,,,,,
0650B8,FBMKLCI-HB8,358,,,0.005,,-,-,0.155,0.005,0,,-,274725,17%,-0.011,,,Active,,,,,,,,,,,,,,,,,
0650EA,FBMKLCI-HEA,358,,,0.01,,-,-,0.015,0.01,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
0650EB,FBMKLCI-HEB,358,,,0.005,,-,-,0.14,0.005,0,,-,249550,43%,-0.015,,,Active,,,,,,,,,,,,,,,,,
0650EC,FBMKLCI-HEC,358,0.015,0.015,0.015,-,0.015,0.015,0.125,0.015,440,,100,570215,37%,-0.006,,,Active,,,,,,,,,,,,,,,,,
0650ED,FBMKLCI-HED,358,,,0.07,,-,-,0.13,0.06,0,,-,328145,38%,,,,Active,,,,,,,,,,,,,,,,,
0650EE,FBMKLCI-HEE,358,,,0.02,,-,-,0.085,0.02,0,,-,210010,45%,-0.007,,,Active,,,,,,,,,,,,,,,,,
0650EF,FBMKLCI-HEF,358,0.085,0.08,0.09,-0.01,0.085,0.075,0.14,0.065,11900,,29,479500,37%,,,,Active,,,,,,,,,,,,,,,,,
0650EG,FBMKLCI-HEG,358,,,0.07,,-,-,0.075,0.07,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
0650EH,FBMKLCI-HEH,358,0.1,0.09,0.105,-0.015,0.1,0.09,0.135,0.1,6838,,60,-,44%,,,,Active,,,,,,,,,,,,,,,,,
0650EI,FBMKLCI-HEI,358,0.075,0.08,0.09,-0.01,0.08,0.075,0.1,0.09,1000,,40,-,0%,,,,Active,,,,,,,,,,,,,,,,,
060007,FCPO-CW07,358,0.1,0.1,0.13,-0.03,0.1,0.1,0.275,0.13,100,,-,9430,23%,,,,Active,,,,,,,,,,,,,,,,,
060008,FCPO-PW08,358,,,0.075,,-,-,0.2,0.075,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
2755,FCW,101,1.9,1.97,1.9,+0.070,1.97,1.9,1.96,1.46,1239,,90,7870,100%,0.037,7.5,30.33,Active,,,,,,,,,,,,,,,,,
5322,FEYTECH,102,0.27,0.27,0.265,+0.005,0.28,0.27,0.84,0.255,8870,10.00%,51,1336140,33%,-0.017,7.53,4.79,Active,,,,,,,,,,,,,,,,,
5306,FFB,101,2.4,2.4,2.4,-,2.43,2.36,2.51,1.6,52914,0.92%,61,7446680,46%,0.038,5.68,42.01,Active,,,,,,,,,,,,,,,,,
530614,FFB-C14,301,,,0.3,,-,-,0.3,0.045,0,,-,112175,96%,0.059,,,Active,,,,,,,,,,,,,,,,,
530615,FFB-C15,301,,,0.35,,-,-,0.35,0.01,0,,-,334430,87%,0.036,,,Active,,,,,,,,,,,,,,,,,
530617,FFB-C17,301,0.07,0.08,0.08,-,0.08,0.07,0.135,0.025,2500,,40,294570,33%,0.007,,,Active,,,,,,,,,,,,,,,,,
530618,FFB-C18,301,,,0.2,,-,-,0.2,0.04,0,,-,192960,83%,,,,Active,,,,,,,,,,,,,,,,,
530619,FFB-C19,301,0.27,0.29,0.285,+0.005,0.29,0.26,0.33,0.05,7966,,64,1166855,48%,0.016,,,Active,,,,,,,,,,,,,,,,,
530620,FFB-C20,301,0.15,0.16,0.15,+0.010,0.16,0.15,0.19,0.04,40,,25,2557535,71%,,,,Active,,,,,,,,,,,,,,,,,
530621,FFB-C21,301,,,0.265,,-,-,0.265,0.1,0,,-,347300,73%,0.04,,,Active,,,,,,,,,,,,,,,,,
530622,FFB-C22,301,,,0.37,,-,-,0.435,0.095,0,,-,163640,59%,0.054,,,Active,,,,,,,,,,,,,,,,,
530623,FFB-C23,301,0.205,0.205,0.21,-0.005,0.205,0.205,0.24,0.085,10,,-,-,66%,,,,Active,,,,,,,,,,,,,,,,,
530624,FFB-C24,301,,,0.175,,-,-,0.205,0.09,0,,-,392725,44%,0.01,,,Active,,,,,,,,,,,,,,,,,
530625,FFB-C25,301,0.06,0.06,0.055,+0.005,0.06,0.06,0.08,0.045,20,,100,-,44%,,,,Active,,,,,,,,,,,,,,,,,
530626,FFB-C26,301,0.115,0.125,0.125,-,0.125,0.115,0.19,0.105,3000,,50,893210,47%,,,,Active,,,,,,,,,,,,,,,,,
530627,FFB-C27,301,,,0.105,,-,-,0.135,0.095,0,,-,-,55%,,,,Active,,,,,,,,,,,,,,,,,
530628,FFB-C28,301,,,0.065,,-,-,0.1,0.06,0,,-,-,32%,,,,Active,,,,,,,,,,,,,,,,,
530629,FFB-C29,301,0.05,0.055,0.05,+0.005,0.055,0.05,0.06,0.05,3500,,57,-,0%,,,,Active,,,,,,,,,,,,,,,,,
6939,FIAMMA,101,1.13,1.12,1.14,-0.02,1.14,1.12,1.27,0.98,3497,,-,258400,45%,-0.009,7.51,14.23,Active,,,,,,,,,,,,,,,,,
0149,FIBON,102,,,0.46,,-,-,0.475,0.305,0,,-,20890,79%,0.018,4.53,10.19,Active,,,,,,,,,,,,,,,,,
0355,FIBRO,402,0.63,0.665,0.67,-0.005,0.665,0.63,0.775,0.41,2066,,31,179385,37%,-0.005,,,Active,,,,,,,,,,,,,,,,,
8605,FIHB,101,,,0.375,,-,-,0.435,0.2,0,,-,58375,13%,,0.15,257.63,Active,,,,,,,,,,,,,,,,,
8605PB,FIHB-PB,101,,,0.06,,-,-,,,0,,-,33460,35%,0.005,,,Active,,,,,,,,,,,,,,,,,
3107,FIMACOR,102,,,1.68,,-,-,1.9,1.57,0,7.44%,-,22395,50%,,13.4,10.5,Active,,,,,,,,,,,,,,,,,
0150,FINTEC,410,0.08,0.08,0.075,+0.005,0.08,0.08,0.195,0.065,67,,100,130215,25%,,-44.32,,Active,,,,,,,,,,,,,,,,,
0150PA,FINTEC-PA,410,,,0.06,,-,-,0.135,0.03,0,,-,12220,56%,-0.015,,,Active,,,,,,,,,,,,,,,,,
9318,FITTERS,102,0.035,0.035,0.035,-,0.035,0.035,0.04,0.02,690,,100,1450645,60%,,0.06,62.42,Active,,,,,,,,,,,,,,,,,
9318WC,FITTERS-WC,102,,,0.005,,-,-,0.005,0.005,0,,-,23010,100%,,,,Active,,,,,,,,,,,,,,,,,
5197,FLBHD,102,0.25,0.245,0.245,-,0.25,0.245,0.41,0.205,148,8.16%,17,32640,52%,0.001,-8.35,,Active,,,,,,,,,,,,,,,,,
0231,FLEXI,402,,,0.13,,-,-,0.185,0.11,0,,-,41390,47%,-0.004,0.52,29.16,Active,,,,,,,,,,,,,,,,,
7210,FM,164,0.615,0.59,0.61,-0.02,0.615,0.59,0.615,0.525,851,7.63%,17,197060,71%,0.007,5.57,9.37,Active,,,,,,,,,,,,,,,,,
0116,FOCUS,401,0.005,0.01,0.01,-,0.01,0.005,0.025,0.005,626,,-,809170,50%,,-0.21,,Active,,,,,,,,,,,,,,,,,
0116PA,FOCUS-PA,401,,,0.005,,-,-,0.01,0.005,0,,-,406905,100%,,,,Active,,,,,,,,,,,,,,,,,
0116WD,FOCUS-WD,401,,,0.005,,-,-,0.005,0.005,0,,-,139095,100%,,,,Active,,,,,,,,,,,,,,,,,
0157,FOCUSP,101,0.515,0.52,0.515,+0.005,0.52,0.51,0.86,0.455,853,6.73%,56,429585,45%,-0.009,7.18,9.65,Active,,,,,,,,,,,,,,,,,
5277,FPGROUP,102,0.355,0.355,0.36,-0.005,0.365,0.355,0.385,0.21,7224,4.23%,54,419835,67%,0.007,0.29,567.44,Active,,,,,,,,,,,,,,,,,
0304,FPHB,401,0.41,0.41,0.41,-,0.41,0.4,0.62,0.35,447,,48,117460,36%,,3.06,17.86,Active,,,,,,,,,,,,,,,,,
0304WA,FPHB-WA,401,0.15,0.15,0.15,-,0.15,0.15,0.195,0.1,500,,100,85120,37%,0.002,,,Active,,,,,,,,,,,,,,,,,
9172,FPI,101,1.38,1.39,1.38,+0.010,1.41,1.38,2.94,1.18,3257,12.95%,42,296665,27%,-0.026,26.09,5.39,Active,,,,,,,,,,,,,,,,,
