"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="4316","SHCHAN","125","0.225","0.225","0.225","","0.230","0.225","","","2663","","-","-","","","2.95","","Active"
="7412","SHH","101","1.210","1.210","1.230","","1.210","1.210","","","20","","-","-","","","-1.15","","Active"
="6017","SHL","120","2.320","2.280","2.320","","2.320","2.280","","","90","","-","-","","","16.83","","Active"
="7246","SIGN","101","1.380","1.380","1.370","","1.380","1.380","","","405","","-","-","","","13.10","","Active"
="4197","SIME","101","2.160","2.210","2.160","","2.210","2.150","","","229851","","-","-","","","30.20","","Active"
="41971A","SIME-C1A","301","0.000","","0.130","","-","-","","","0","","-","-","","","","","Active"
="41971B","SIME-C1B","301","0.000","","0.130","","-","-","","","0","","-","-","","","","","Active"
="41971C","SIME-C1C","301","0.000","","0.075","","-","-","","","0","","-","-","","","","","Active"
="41971D","SIME-C1D","301","0.000","","0.130","","-","-","","","0","","-","-","","","","","Active"
="41971E","SIME-C1E","301","0.000","","0.095","","-","-","","","0","","-","-","","","","","Active"
="41971F","SIME-C1F","301","0.100","0.100","0.095","","0.100","0.100","","","200","","-","-","","","","","Active"
="419791","SIME-C91","301","0.000","","0.025","","-","-","","","0","","-","-","","","","","Active"
="419792","SIME-C92","301","0.000","","0.015","","-","-","","","0","","-","-","","","","","Active"
="419793","SIME-C93","301","0.055","0.060","0.060","","0.060","0.055","","","9000","","-","-","","","","","Active"
="419794","SIME-C94","301","0.000","","0.045","","-","-","","","0","","-","-","","","","","Active"
="419795","SIME-C95","301","0.000","","0.125","","-","-","","","0","","-","-","","","","","Active"
="419796","SIME-C96","301","0.225","0.225","0.220","","0.225","0.225","","","110","","-","-","","","","","Active"
="419797","SIME-C97","301","0.190","0.190","0.185","","0.195","0.190","","","650","","-","-","","","","","Active"
="419798","SIME-C98","301","0.000","","0.150","","-","-","","","0","","-","-","","","","","Active"
="419799","SIME-C99","301","0.000","","0.250","","-","-","","","0","","-","-","","","","","Active"
="5288","SIMEPROP","120","1.430","1.450","1.420","","1.480","1.420","","","94142","","-","-","","","7.38","","Active"
="528846","SIMEPROP-C46","320","0.240","0.240","0.240","","0.240","0.240","","","100","","-","-","","","","","Active"
="528847","SIMEPROP-C47","320","0.000","","0.115","","-","-","","","0","","-","-","","","","","Active"
="528848","SIMEPROP-C48","320","0.030","0.035","0.030","","0.035","0.030","","","1000","","-","-","","","","","Active"
="528849","SIMEPROP-C49","320","0.095","0.110","0.095","","0.110","0.095","","","9640","","-","-","","","","","Active"
="528850","SIMEPROP-C50","320","0.035","0.035","0.045","","0.035","0.035","","","201","","-","-","","","","","Active"
="528851","SIMEPROP-C51","320","0.000","","0.070","","-","-","","","0","","-","-","","","","","Active"
="528852","SIMEPROP-C52","320","0.000","","0.055","","-","-","","","0","","-","-","","","","","Active"
="5172","SINARAN","101","0.045","0.050","0.050","","0.050","0.045","","","1405","","-","-","","","-2.21","","Active"
="5172WB","SINARAN-WB","101","0.000","","0.020","","-","-","","","0","","-","-","","","","","Active"
="0305","SINKUNG","464","0.115","0.115","0.110","","0.115","0.115","","","1881","","-","-","","","-0.06","","Active"
="9431","SJC","163","0.430","0.430","0.425","","0.430","0.420","","","25488","","-","-","","","5.36","","Active"
