Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
"=""0131""",DFX,DFX,0.09,0.09,0.095,,0.095,0.090,,,3483,,-,-,,,0.89,,Active
"=""0128""",FRONTKN,FRONTKN,4.1,4.09,4.070,,4.120,4.070,,,20707,,-,-,,,8.67,,Active
"=""012837""",FRONTKN-C37,FRONTKN-C37,0.0,,0.050,,-,-,,,0,,-,-,,,,,Active
"=""012838""",FRONTKN-C38,FRONTKN-C38,0.11,0.11,0.110,,0.110,0.110,,,276,,-,-,,,,,Active
"=""012839""",FRONTKN-C39,FRONTKN-C39,0.0,,0.135,,-,-,,,0,,-,-,,,,,Active
"=""012840""",FRONTKN-C40,FRONTKN-C40,0.0,,0.075,,-,-,,,0,,-,-,,,,,Active
"=""012841""",FRONTKN-C41,FRONTKN-C41,0.21,0.21,0.210,,0.210,0.205,,,5700,,-,-,,,,,Active
"=""012842""",FRONTKN-C42,FRONTKN-C42,0.0,,0.160,,-,-,,,0,,-,-,,,,,Active
"=""0128WB""",FRONTKN-WB,FRONTKN-WB,0.15,0.145,0.145,,0.155,0.145,,,15781,,-,-,,,,,Active
"=""0136""",GREENYB,GREENYB,0.19,0.165,0.185,,0.190,0.165,,,2,,-,-,,,-1.0,,Active
"=""0127""",JHM,JHM,0.315,0.315,0.315,,0.315,0.310,,,3260,,-,-,,,-3.75,,Active
"=""0126""",MICROLN,MICROLN,0.145,0.145,0.145,,0.155,0.145,,,26591,,-,-,,,-2.3,,Active
"=""0133""",SANICHI,SANICHI,0.09,0.09,0.090,,0.095,0.090,,,1744,,-,-,,,-10.7,,Active
"=""0129""",SRIDGE,SRIDGE,0.17,0.175,0.170,,0.175,0.170,,,21622,,-,-,,,0.02,,Active
"=""0132""",TDEX,TDEX,0.0,,0.050,,-,-,,,0,,-,-,,,-0.77,,Active
"=""0138""",ZETRIX,ZETRIX,0.935,0.95,0.930,,0.955,0.935,,,754655,,-,-,,,9.3,,Active
"=""01387W""",ZETRIX-C7W,ZETRIX-C7W,0.0,,0.040,,-,-,,,0,,-,-,,,,,Active
"=""01387X""",ZETRIX-C7X,ZETRIX-C7X,0.0,,0.010,,-,-,,,0,,-,-,,,,,Active
"=""0149""",FIBON,FIBON,0.0,,0.390,,-,-,,,0,,-,-,,,4.52,,Active
"=""0150""",FINTEC,FINTEC,0.085,0.08,0.080,,0.085,0.080,,,1275,,-,-,,,11.94,,Active
"=""0150PA""",FINTEC-PA,FINTEC-PA,0.0,,0.045,,-,-,,,0,,-,-,,,,,Active
"=""0147""",INNITY,INNITY,0.185,0.18,0.185,,0.185,0.180,,,730,,-,-,,,-5.24,,Active
"=""0146""",JFTECH,JFTECH,0.455,0.46,0.460,,0.460,0.450,,,6653,,-,-,,,0.63,,Active
"=""0146WA""",JFTECH-WA,JFTECH-WA,0.01,0.01,0.015,,0.010,0.010,,,26575,,-,-,,,,,Active
"=""0143""",KEYASIC,KEYASIC,0.04,0.035,0.040,,0.040,0.035,,,98076,,-,-,,,-0.77,,Active
"=""0151""",KGB,KGB,4.0,4.16,4.010,,4.210,4.000,,,57711,,-,-,,,18.24,,Active
"=""0151CL""",KGB-CL,KGB-CL,0.17,0.185,0.155,,0.185,0.170,,,1716,,-,-,,,,,Active
"=""0151CM""",KGB-CM,KGB-CM,0.155,0.17,0.135,,0.170,0.155,,,230,,-,-,,,,,Active
"=""0148""",SUNZEN,SUNZEN,0.275,0.275,0.275,,0.275,0.275,,,245,,-,-,,,0.51,,Active
"=""0148WC""",SUNZEN-WC,SUNZEN-WC,0.08,0.075,0.075,,0.080,0.075,,,4314,,-,-,,,,,Active
"=""0145""",TFP,TFP,0.03,0.03,0.030,,0.030,0.030,,,5000,,-,-,,,-0.74,,Active
"=""0145WB""",TFP-WB,TFP-WB,0.0,,0.005,,-,-,,,0,,-,-,,,,,Active
"=""0140""",XOXNET,XOXNET,0.01,0.01,0.010,,0.010,0.010,,,1087,,-,-,,,-0.69,,Active
"=""01388W""",ZETRIX-C8W,ZETRIX-C8W,0.0,,0.185,,-,-,,,0,,-,-,,,,,Active
"=""01388X""",ZETRIX-C8X,ZETRIX-C8X,0.0,,0.110,,-,-,,,0,,-,-,,,,,Active
"=""01388Y""",ZETRIX-C8Y,ZETRIX-C8Y,0.0,,0.110,,-,-,,,0,,-,-,,,,,Active
"=""01388Z""",ZETRIX-C8Z,ZETRIX-C8Z,0.09,0.09,0.100,,0.090,0.090,,,200,,-,-,,,,,Active
"=""01389A""",ZETRIX-C9A,ZETRIX-C9A,0.0,,0.110,,-,-,,,0,,-,-,,,,,Active
"=""01389B""",ZETRIX-C9B,ZETRIX-C9B,0.0,,0.070,,-,-,,,0,,-,-,,,,,Active
"=""01389C""",ZETRIX-C9C,ZETRIX-C9C,0.0,,0.085,,-,-,,,0,,-,-,,,,,Active
"=""01389D""",ZETRIX-C9D,ZETRIX-C9D,0.0,,0.155,,-,-,,,0,,-,-,,,,,Active
"=""01389E""",ZETRIX-C9E,ZETRIX-C9E,0.1,0.1,0.095,,0.100,0.100,,,540,,-,-,,,,,Active
"=""01389F""",ZETRIX-C9F,ZETRIX-C9F,0.135,0.14,0.125,,0.140,0.135,,,20230,,-,-,,,,,Active
"=""01389G""",ZETRIX-C9G,ZETRIX-C9G,0.0,,0.090,,-,-,,,0,,-,-,,,,,Active
"=""01389H""",ZETRIX-C9H,ZETRIX-C9H,0.0,,0.150,,-,-,,,0,,-,-,,,,,Active
"=""0168""",BMGREEN,BMGREEN,1.88,1.85,1.890,,1.890,1.840,,,5417,,-,-,,,8.91,,Active
"=""0168WA""",BMGREEN-WA,BMGREEN-WA,0.455,0.43,0.440,,0.460,0.430,,,1004,,-,-,,,,,Active
"=""0173""",CATCHA,CATCHA,0.26,0.26,0.265,,0.260,0.260,,,100,,-,-,,,1.48,,Active
"=""0174""",EVD,EVD,0.06,0.055,0.060,,0.060,0.055,,,1282,,-,-,,,-5.0,,Active
"=""0174PA""",EVD-PA,EVD-PA,0.0,,0.010,,-,-,,,0,,-,-,,,,,Active
"=""0174WB""",EVD-WB,EVD-WB,0.0,,0.030,,-,-,,,0,,-,-,,,,,Active
"=""01663J""",INARI-C3J,INARI-C3J,,,0.055,,-,-,,,0,,-,-,,,,,Active
"=""01663K""",INARI-C3K,INARI-C3K,0.095,0.09,0.095,,0.095,0.090,,,5550,,-,-,,,,,Active
"=""01663L""",INARI-C3L,INARI-C3L,0.0,,0.125,,-,-,,,0,,-,-,,,,,Active
"=""01663M""",INARI-C3M,INARI-C3M,0.085,0.085,0.100,,0.085,0.085,,,200,,-,-,,,,,Active
"=""01663N""",INARI-C3N,INARI-C3N,0.18,0.18,0.190,,0.180,0.180,,,200,,-,-,,,,,Active
"=""01663O""",INARI-C3O,INARI-C3O,0.075,0.075,0.085,,0.075,0.075,,,10000,,-,-,,,,,Active
"=""0166HE""",INARI-HE,INARI-HE,0.0,,0.145,,-,-,,,0,,-,-,,,,,Active
"=""0170""",KANGER,KANGER,0.03,0.035,0.035,,0.035,0.030,,,220,,-,-,,,-2.47,,Active
"=""0170WB""",KANGER-WB,KANGER-WB,0.0,,0.005,,-,-,,,0,,-,-,,,,,Active
"=""0151CR""",KGB-CR,KGB-CR,0.21,0.21,-,+0.060,0.210,0.210,,,150,,-,-,,,,,New
"=""0167""",MCLEAN,MCLEAN,0.27,0.26,0.265,,0.270,0.260,,,7762,,-,-,,,3.14,,Active
"=""0172""",OCK,OCK,0.43,0.445,0.430,,0.455,0.430,,,45396,,-,-,,,3.09,,Active
"=""0172WB""",OCK-WB,OCK-WB,0.025,0.03,0.030,,0.030,0.025,,,29061,,-,-,,,,,Active
"=""0171""",PLABS,PLABS,0.345,0.36,0.345,,0.360,0.335,,,5079,,-,-,,,1.03,,Active
"=""0169""",SMTRACK,SMTRACK,0.015,0.01,0.010,,0.015,0.005,,,2747,,-,-,,,-1.33,,Active
"=""0208""",GREATEC,GREATEC,1.75,1.74,1.760,,1.790,1.730,,,31198,,-,-,,,6.18,,Active
"=""020815""",GREATEC-C15,GREATEC-C15,0.02,0.02,0.030,,0.020,0.020,,,2000,,-,-,,,,,Active
"=""020816""",GREATEC-C16,GREATEC-C16,0.035,0.03,0.040,,0.035,0.030,,,6075,,-,-,,,,,Active
"=""020817""",GREATEC-C17,GREATEC-C17,0.185,0.165,0.175,,0.185,0.165,,,14252,,-,-,,,,,Active
"=""020818""",GREATEC-C18,GREATEC-C18,0.24,0.22,0.230,,0.240,0.220,,,419,,-,-,,,,,Active
"=""020819""",GREATEC-C19,GREATEC-C19,0.125,0.125,0.145,,0.125,0.125,,,99,,-,-,,,,,Active
"=""020820""",GREATEC-C20,GREATEC-C20,0.0,,0.095,,-,-,,,0,,-,-,,,,,Active
"=""020821""",GREATEC-C21,GREATEC-C21,0.115,0.11,0.115,,0.115,0.110,,,1007,,-,-,,,,,Active
"=""0207WA""",MESTRON-WA,MESTRON-WA,0.0,,0.025,,-,-,,,0,,-,-,,,,,Active
"=""020822""",GREATEC-C22,GREATEC-C22,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""03015""",MFGROUP,MFGROUP,,,0.240,,-,-,,,0,,-,-,0%,,,,Active
"=""03006""",NPS,NPS,,,0.215,,-,-,,,0,,-,61145,53%,,,,Active
"=""03009""",SEERS,SEERS,,,0.100,,-,-,,,0,,-,-,0%,,,,Active
"=""03008""",SLIC,SLIC,,,0.600,,-,-,,,0,,-,-,0%,,,,Active
"=""03017""",UNIWALL,UNIWALL,,,0.490,,-,-,,,0,,-,116250,15%,-0.094,,,Active
"=""03041""",1TECH,1TECH,,,0.200,,-,-,,,0,,-,-,0%,,,,Active
"=""03037""",AURORA,AURORA,,,0.220,,-,-,,,0,,-,-,0%,,,,Active
"=""03042""",BVLH,BVLH,,,0.190,,-,-,,,0,,-,-,0%,,,,Active
"=""03053""",CCIB,CCIB,,,0.330,,-,-,,,0,,-,-,0%,,,,Active
"=""03029""",GPP,GPP,,,0.280,,-,-,,,0,,-,-,0%,,,,Active
"=""03022""",MCOM,MCOM,,,0.200,,-,-,,,0,,-,636450,94%,0.017,,,Suspended
"=""03045""",NP,NP,,,0.275,,-,-,,,0,,-,-,0%,,,,Active
"=""03039""",RTSTECH,RTSTECH,,,0.165,,-,-,,,0,,-,-,0%,,,,Active
"=""03056""",SAFETY,SAFETY,,,0.190,,-,-,,,0,,-,-,0%,,,,Active
"=""03057""",SANCY,SANCY,,,0.350,,-,-,,,0,,-,-,0%,,,,Active
"=""03043""",UTAMA,UTAMA,,,0.270,,-,-,,,0,,-,-,0%,,,,Active
"=""0573C5""",MSFT-C5,MSFT-C5,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""0650EA""",FBMKLCI-HEA,FBMKLCI-HEA,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""0652G2""",HSI-CWG2,HSI-CWG2,,,0.780,,-,-,,,0,,-,-,0%,,,,Active
"=""0652G3""",HSI-CWG3,HSI-CWG3,,,0.530,,-,-,,,0,,-,-,0%,,,,Active
"=""0652G8""",HSI-CWG8,HSI-CWG8,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""0652IE""",HSI-CWIE,HSI-CWIE,,,1.270,,-,-,,,0,,-,-,0%,,,,Active
"=""0652IH""",HSI-CWIH,HSI-CWIH,,,0.810,,-,-,,,0,,-,-,0%,,,,Active
"=""0652IJ""",HSI-CWIJ,HSI-CWIJ,0.69,0.665,0.510,+0.155,0.690,0.665,,,315,,100,-,0%,,,,Active
"=""0652IK""",HSI-CWIK,HSI-CWIK,,,0.320,,-,-,,,0,,-,-,0%,,,,Active
"=""0652IM""",HSI-CWIM,HSI-CWIM,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""0652HF""",HSI-PWHF,HSI-PWHF,,,0.250,,-,-,,,0,,-,-,0%,,,,Active
"=""0652HO""",HSI-PWHO,HSI-PWHO,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""0652HR""",HSI-PWHR,HSI-PWHR,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""0652HZ""",HSI-PWHZ,HSI-PWHZ,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""0652JA""",HSI-PWJA,HSI-PWJA,,,0.570,,-,-,,,0,,-,-,0%,,,,Active
"=""0652JC""",HSI-PWJC,HSI-PWJC,,,1.280,,-,-,,,0,,-,-,0%,,,,Active
"=""070399""",A50CHIN-H99,A50CHIN-H99,,,0.160,,-,-,,,0,,-,-,0%,,,,Active
"=""0740C1""",BRODCOM-C1,BRODCOM-C1,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""0709C7""",GLDHK-C7,GLDHK-C7,,,0.200,,-,-,,,0,,-,-,0%,,,,Active
"=""0652JJ""",HSI-PWJJ,HSI-PWJJ,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""101555""",AMBANK-C55,AMBANK-C55,,,-,,-,-,,,0,,-,-,,,,,New
"=""10232C""",CIMB-C2C,CIMB-C2C,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""1818""",BURSA,BURSA,7.9,7.9,7.850,,7.940,7.820,,,7604,,-,-,,,38.3,,Active
"=""181892""",BURSA-C92,BURSA-C92,0.0,,0.060,,-,-,,,0,,-,-,,,,,Active
"=""181893""",BURSA-C93,BURSA-C93,0.055,0.055,0.060,,0.055,0.055,,,500,,-,-,,,,,Active
"=""181894""",BURSA-C94,BURSA-C94,0.035,0.03,0.040,,0.035,0.030,,,1170,,-,-,,,,,Active
"=""181895""",BURSA-C95,BURSA-C95,0.0,,0.070,,-,-,,,0,,-,-,,,,,Active
"=""16193R""",DRBHCOMC3R,DRBHCOMC3R,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""117182""",MBSB-C82,MBSB-C82,0.035,0.035,0.170,-0.135,0.035,0.035,,,10000,,-,-,0%,,,,Active
"=""117183""",MBSB-C83,MBSB-C83,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""1694""",MENANG,MENANG,0.67,0.67,0.675,,0.670,0.620,,,294,,-,-,,,5.02,,Active
"=""16511P""",MRCB-C1P,MRCB-C1P,,,0.105,,-,-,,,0,,-,-,,,,,Active
"=""16511Q""",MRCB-C1Q,MRCB-C1Q,0.115,0.105,0.115,,0.120,0.105,,,1804,,-,-,,,,,Active
"=""1651WB""",MRCB-WB,MRCB-WB,0.045,0.045,0.050,,0.045,0.045,,,7657,,-,-,,,,,Active
"=""1724""",PARAMON,PARAMON,1.07,1.08,1.060,,1.080,1.050,,,786,,-,-,,,16.45,,Active
"=""12951X""",PBBANK-C1X,PBBANK-C1X,,,-,,-,-,,,0,,-,-,,,,,New
"=""2488""",ABMB,ABMB,4.55,4.5,4.560,,4.570,4.500,,,22818,,-,-,,,48.49,,Active
"=""248818""",ABMB-C18,ABMB-C18,0.0,,0.005,,-,-,,,0,,-,-,,,,,Active
"=""248819""",ABMB-C19,ABMB-C19,0.0,,0.010,,-,-,,,0,,-,-,,,,,Active
"=""248820""",ABMB-C20,ABMB-C20,0.0,,0.150,,-,-,,,0,,-,-,,,,,Active
"=""248821""",ABMB-C21,ABMB-C21,0.0,,0.070,,-,-,,,0,,-,-,,,,,Active
"=""248822""",ABMB-C22,ABMB-C22,0.0,,0.080,,-,-,,,0,,-,-,,,,,Active
"=""248823""",ABMB-C23,ABMB-C23,0.0,,0.175,,-,-,,,0,,-,-,,,,,Active
"=""248824""",ABMB-C24,ABMB-C24,0.0,,0.170,,-,-,,,0,,-,-,,,,,Active
"=""181897""",BURSA-C97,BURSA-C97,,,0.200,,-,-,,,0,,-,-,0%,,,,Active
"=""196169""",IOICORP-C69,IOICORP-C69,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""196170""",IOICORP-C70,IOICORP-C70,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""196171""",IOICORP-C71,IOICORP-C71,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""244537""",KLK-C37,KLK-C37,0.0,,0.075,,-,-,,,0,,-,-,,,,,Active
"=""244538""",KLK-C38,KLK-C38,0.0,,0.085,,-,-,,,0,,-,-,,,,,Active
"=""244539""",KLK-C39,KLK-C39,0.0,,0.150,,-,-,,,0,,-,-,,,,,Active
"=""2453""",KLUANG,KLUANG,5.58,5.57,5.610,,5.580,5.570,,,20,,-,-,,,31.87,,Active
"=""2542""",RVIEW,RVIEW,2.85,2.91,3.000,,3.000,2.850,,,14,,-,-,,,13.0,,Active
"=""2569""",SBAGAN,SBAGAN,5.83,5.72,5.830,,5.830,5.720,,,112,,-,-,,,40.05,,Active
"=""3239""",BJASSET,BJASSET,0.305,0.305,0.305,,0.305,0.305,,,26,,-,-,,,-0.83,,Active
"=""31823Q""",GENTINGC3Q,GENTINGC3Q,0.0,,0.025,,-,-,,,0,,-,-,,,,,Active
"=""31823R""",GENTINGC3R,GENTINGC3R,0.055,0.06,0.060,,0.060,0.055,,,11949,,-,-,,,,,Active
"=""31823S""",GENTINGC3S,GENTINGC3S,0.065,0.065,0.070,,0.065,0.060,,,6526,,-,-,,,,,Active
"=""31823T""",GENTINGC3T,GENTINGC3T,0.0,,0.020,,-,-,,,0,,-,-,,,,,Active
"=""31823U""",GENTINGC3U,GENTINGC3U,0.0,,0.020,,-,-,,,0,,-,-,,,,,Active
"=""31823V""",GENTINGC3V,GENTINGC3V,0.0,,0.080,,-,-,,,0,,-,-,,,,,Active
"=""31823W""",GENTINGC3W,GENTINGC3W,0.0,,0.095,,-,-,,,0,,-,-,,,,,Active
"=""31823X""",GENTINGC3X,GENTINGC3X,0.055,0.055,0.060,,0.055,0.050,,,26502,,-,-,,,,,Active
"=""3204""",GKENT,GKENT,0.34,0.345,0.340,,0.345,0.340,,,815,,-,-,,,0.9,,Active
"=""3247""",GUH,GUH,0.29,0.29,0.295,,0.295,0.290,,,434,,-,-,,,-7.71,,Active
"=""3247WA""",GUH-WA,GUH-WA,0.0,,0.065,,-,-,,,0,,-,-,,,,,Active
"=""3255""",HEIM,HEIM,24.52,24.04,24.500,,24.860,24.040,,,1610,,-,-,,,154.5,,Active
"=""381656""",MISC-C56,MISC-C56,0.075,0.075,0.150,-0.075,0.075,0.075,,,4000,,25,-,0%,,,,Active
"=""4383C7""",JTIASA-C7,JTIASA-C7,0.135,0.135,-,-0.015,0.135,0.135,,,2000,,-,-,,,,,New
"=""48631X""",TM-C1X,TM-C1X,,,0.150,,-,-,,,0,,-,-,0%,,,,Active
"=""48631Y""",TM-C1Y,TM-C1Y,,,-,,-,-,,,0,,-,-,,,,,New
"=""5139""",AEONCR,AEONCR,5.41,5.33,5.410,,5.410,5.330,,,5442,,-,-,,,72.58,,Active
"=""5115""",ALAM,ALAM,0.265,0.275,0.265,,0.275,0.265,,,5886,,-,-,,,2.51,,"Active, Alert"
"=""5116""",ALAQAR,ALAQAR,1.27,1.27,1.250,,1.280,1.260,,,149,,-,-,,,6.94,,Active
"=""5120""",AMFIRST,AMFIRST,0.295,0.295,0.295,,0.295,0.295,,,283,,-,-,,,3.59,,Active
