Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
"=""03041""",1TECH,Utilities,,,0.020,,-,-,0.03,0.02,0,,-,-,0%,,,,Active
"=""0012""",3A,Industrial & Consumer Products,0.73,0.73,0.730,-,0.730,0.730,0.905,0.705,786,3.84%,96,143490,67%,0.003,8.89,8.27,Active
"=""0328""",3REN,Property,0.405,0.405,0.405,-,0.410,0.395,0.49,0.2,39246,1.23%,40,7538995,64%,0.02,1.54,29.59,Active
"=""5326""",99SMART,Industrial & Consumer Products,2.9,2.92,2.880,+0.040,2.950,2.880,2.91,1.92,54808,0.43%,48,9598870,85%,0.095,5.84,50.03,Active
"=""5326C1""",99SMART-C1,Technology,0.46,0.455,0.440,+0.015,0.475,0.455,0.44,0.09,616,,16,50265,83%,0.045,,,Active
"=""532610""",99SMART-C10,Technology,0.11,0.11,0.110,-,0.110,0.110,0.11,0.07,300,,-,667065,63%,,,,Active
"=""532611""",99SMART-C11,Technology,0.225,0.22,0.220,-,0.230,0.220,0.225,0.125,3717,,8,1114970,81%,0.025,,,Active
"=""532612""",99SMART-C12,Technology,0.14,0.14,0.135,+0.005,0.140,0.140,0.135,0.075,100,,-,838455,73%,0.016,,,Active
"=""532613""",99SMART-C13,Technology,0.16,0.17,0.155,+0.015,0.170,0.160,0.16,0.065,3150,,68,-,81%,,,,Active
"=""532614""",99SMART-C14,Technology,,,0.140,,-,-,0.14,0.085,0,,-,-,0%,,,,Active
"=""532615""",99SMART-C15,Technology,0.165,0.16,0.165,-0.005,0.170,0.160,0.165,0.09,3881,,57,-,0%,,,,Active
"=""532616""",99SMART-C16,Technology,0.11,0.115,0.105,+0.010,0.120,0.110,0.11,0.1,8954,,68,-,0%,,,,Active
"=""5326C2""",99SMART-C2,Technology,,,0.050,,-,-,0.05,0.02,0,,-,168075,69%,0.008,,,Active
"=""5326C3""",99SMART-C3,Technology,,,0.175,,-,-,0.175,0.095,0,,-,-,78%,,,,Active
"=""5326C4""",99SMART-C4,Technology,0.175,0.17,0.160,+0.010,0.180,0.165,0.16,0.07,25344,,45,1248635,81%,0.01,,,Active
"=""5326C5""",99SMART-C5,Technology,,,0.190,,-,-,0.19,0.06,0,,-,405165,81%,0.02,,,Active
"=""5326C6""",99SMART-C6,Technology,0.3,0.305,0.300,+0.005,0.320,0.300,0.3,0.075,7011,,83,447540,84%,0.03,,,Active
"=""5326C7""",99SMART-C7,Technology,,,0.145,,-,-,0.145,0.06,0,,-,935810,80%,0.02,,,Active
"=""5326C8""",99SMART-C8,Technology,0.315,0.315,0.315,-,0.315,0.315,0.315,0.095,350,,-,140820,79%,0.043,,,Active
"=""5326C9""",99SMART-C9,Technology,,,0.145,,-,-,0.2,0.11,0,,-,-,0%,,,,Active
"=""5326CX""",99SMART-CX,Technology,,,-,,-,-,0.075,0.025,0,,-,331060,64%,0.005,,,Delisted
"=""5326CY""",99SMART-CY,Technology,0.355,0.355,0.350,+0.005,0.355,0.355,0.35,0.07,500,,-,307050,81%,0.037,,,Active
"=""5326CZ""",99SMART-CZ,Technology,,,0.235,,-,-,0.235,0.065,0,,-,94625,76%,0.022,,,Active
"=""0365""",A1AKK,Property,0.21,0.215,0.215,-,0.215,0.210,0.255,0.21,10459,,10,485880,37%,-0.002,0.82,30.02,Active
"=""0703CI""",A50CHIN-CI,Technology,,,-,,-,-,0.35,0.15,0,,-,66000,56%,0.007,,,Delisted
"=""0703CJ""",A50CHIN-CJ,Technology,0.24,0.205,0.225,-0.020,0.240,0.205,0.265,0.13,559,,24,111755,55%,0.004,,,Active
"=""0703CK""",A50CHIN-CK,Technology,,,0.305,,-,-,0.305,0.265,0,,-,-,0%,,,,Active
"=""07031A""",A50CHIN-H1A,Technology,,,0.165,,-,-,0.185,0.16,0,,-,-,0%,,,,Active
"=""070397""",A50CHIN-H97,Technology,,,-,,-,-,0.42,0.125,0,,-,-,0%,,,,Delisted
"=""070399""",A50CHIN-H99,Technology,,,0.025,,-,-,0.03,0.025,0,,-,-,0%,,,,Active
"=""7054""",AASIA,Industrial & Consumer Products,,,0.095,,-,-,0.115,0.075,0,,-,62600,53%,0.003,-0.5,,Active
"=""5238""",AAX,Industrial & Consumer Products,1.65,1.65,1.640,+0.010,1.670,1.630,2.16,1.23,10507,,46,1001850,72%,0.033,51.3,3.22,Active
"=""523828""",AAX-C28,Technology,0.07,0.07,0.070,-,0.075,0.070,0.17,0.04,2895,,44,680340,53%,-0.002,,,Active
"=""523829""",AAX-C29,Technology,,,0.085,,-,-,0.105,0.05,0,,-,-,0%,,,,Active
"=""0800EA""",ABFMY1,Transportation & Logistics,,,1.222,,-,-,1.266,1.19,0,,-,19690,13%,-0.006,,,Active
"=""7167""",ABLEGLOB,Industrial & Consumer Products,1.57,1.58,1.570,+0.010,1.580,1.560,2.0,1.26,1237,4.75%,76,132510,60%,0.006,22.43,7.01,Active
"=""7086""",ABLEGRP,Industrial & Consumer Products,0.075,0.075,0.075,-,0.075,0.075,0.1,0.07,30,,-,147345,50%,,0.01,860.54,Active
"=""2488""",ABMB,Industrial & Consumer Products,4.56,4.59,4.590,-,4.620,4.510,5.4,3.93,13355,4.23%,65,1542980,72%,-0.017,48.49,10.58,Active
"=""248819""",ABMB-C19,Technology,,,-,,-,-,0.08,0.005,0,,-,317605,25%,-0.006,,,Delisted
"=""248820""",ABMB-C20,Technology,0.13,0.13,0.090,+0.040,0.130,0.130,0.16,0.08,19,,-,140645,27%,-0.013,,,Active
"=""248821""",ABMB-C21,Technology,,,0.055,,-,-,0.07,0.055,0,,-,-,0%,,,,Active
"=""248822""",ABMB-C22,Technology,,,0.060,,-,-,0.085,0.06,0,,-,-,0%,,,,Active
"=""248823""",ABMB-C23,Technology,,,0.175,,-,-,0.18,0.15,0,,-,-,0%,,,,Active
"=""248824""",ABMB-C24,Technology,0.135,0.15,0.145,+0.005,0.150,0.130,0.19,0.09,2145,,49,265860,52%,-0.008,,,Active
"=""248825""",ABMB-C25,Technology,0.065,0.075,0.070,+0.005,0.075,0.065,0.07,0.045,252,,100,-,0%,,,,Active
"=""248826""",ABMB-C26,Technology,,,0.080,,-,-,0.08,0.08,0,,-,-,0%,,,,Active
"=""7131""",ACME,Industrial & Consumer Products,0.115,0.115,0.110,+0.005,0.115,0.115,0.21,0.105,173,,100,241130,44%,,1.43,8.24,Active
"=""0218""",ACO,Property,0.205,0.205,0.205,-,0.205,0.205,0.255,0.185,2446,0.98%,27,161425,50%,,1.42,14.46,Active
"=""0276""",ADB,Property,1.04,1.05,1.040,+0.010,1.050,1.020,1.29,0.83,3350,3.81%,62,623460,37%,-0.015,3.56,29.52,Active
"=""5281""",ADVCON,Industrial & Consumer Products,0.205,0.21,0.205,+0.005,0.215,0.205,0.26,0.19,4879,,95,555555,40%,-0.004,-3.82,,Active
"=""7191""",ADVENTA,Industrial & Consumer Products,0.17,0.165,0.170,-0.005,0.175,0.165,0.335,0.15,799,,67,184690,56%,-0.001,0.69,24.29,Active
"=""7146""",AEM,Industrial & Consumer Products,0.06,0.055,0.060,-0.005,0.060,0.055,0.11,0.035,823,,70,484575,60%,0.002,-6.84,,Active
"=""0181""",AEMULUS,Property,0.27,0.275,0.270,+0.005,0.275,0.265,0.32,0.18,13187,,45,1332760,71%,0.003,-3.26,,Active
"=""6599""",AEON,Industrial & Consumer Products,1.3,1.31,1.310,-,1.320,1.300,1.58,1.22,8295,3.44%,43,1943630,58%,-0.003,9.12,14.37,Active
"=""659938""",AEON-C38,Technology,,,-,,-,-,0.135,0.005,0,,-,94300,27%,,,,Delisted
"=""659939""",AEON-C39,Technology,,,0.045,,-,-,0.115,0.045,0,,-,-,0%,,,,Active
"=""659940""",AEON-C40,Technology,,,0.025,,-,-,0.03,0.02,0,,-,-,0%,,,,Active
