"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","","","0.715","","-","-","0.885","0.705","0","3.92%","-","157345","40%","","8.89","8.10","Active"
="0328","3REN","405","0.400","0.405","0.410","-0.005","0.415","0.400","0.490","0.200","25475","1.23%","37","10677000","56%","0.011","1.54","29.61","Active"
="5326","99SMART","101","3.200","3.180","3.240","-0.060","3.250","3.160","3.390","1.920","210316","0.39%","41","11313995","79%","0.163","5.84","54.48","Active"
="5326C1","99SMART-C1","301","0.595","0.595","0.625","-0.030","0.595","0.590","0.685","0.090","187","","57","32675","83%","0.083","","","Active"
="532610","99SMART-C10","301","","","0.110","","-","-","0.110","0.070","0","","-","623650","67%","","","","Active"
="532611","99SMART-C11","301","0.305","0.290","0.330","-0.040","0.305","0.290","0.330","0.125","1050","","16","420630","83%","0.039","","","Active"
="532612","99SMART-C12","301","0.180","0.195","0.215","-0.020","0.195","0.180","0.215","0.075","3751","","40","158355","80%","0.026","","","Active"
="532613","99SMART-C13","301","0.255","0.250","0.280","-0.030","0.275","0.245","0.330","0.065","4700","","40","455700","79%","0.055","","","Active"
="532614","99SMART-C14","301","","","0.225","","-","-","0.225","0.085","0","","-","-","89%","","","","Active"
="532615","99SMART-C15","301","0.235","0.245","0.265","-0.020","0.245","0.235","0.310","0.090","2185","","5","534430","82%","","","","Active"
="532616","99SMART-C16","301","0.170","0.175","0.210","-0.035","0.185","0.160","0.220","0.100","16397","","46","-","0%","","","","Active"
="532617","99SMART-C17","301","0.095","0.100","0.105","-0.005","0.105","0.095","0.125","0.070","50886","","98","-","0%","","","","Active"
="532618","99SMART-C18","301","0.130","0.125","0.145","-0.020","0.145","0.120","0.175","0.065","17093","","43","-","0%","","","","Active"
="532619","99SMART-C19","301","0.140","0.135","0.160","-0.025","0.140","0.135","0.175","0.105","1095","","100","-","0%","","","","Active"
="5326C2","99SMART-C2","301","0.095","0.085","0.130","-0.045","0.095","0.085","0.140","0.020","2218","","54","191125","79%","0.021","","","Active"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.210","0.210","0.230","-0.020","0.225","0.210","0.260","0.070","30820","","64","1873390","79%","0.025","","","Active"
="5326C5","99SMART-C5","301","0.315","0.300","0.330","-0.030","0.320","0.300","0.370","0.060","11000","","27","341055","90%","0.054","","","Active"
="5326C6","99SMART-C6","301","0.425","0.420","0.455","-0.035","0.445","0.420","0.520","0.075","8974","","26","879960","78%","0.064","","","Active"
="5326C7","99SMART-C7","301","","","0.220","","-","-","0.220","0.060","0","","-","550255","82%","0.032","","","Active"
="5326C8","99SMART-C8","301","0.465","0.450","0.485","-0.035","0.480","0.450","0.520","0.095","6551","","36","106100","84%","0.084","","","Active"
="5326C9","99SMART-C9","301","0.280","0.285","0.315","-0.030","0.285","0.280","0.315","0.110","203","","-","-","0%","","","","Active"
="5326CY","99SMART-CY","301","0.485","0.485","0.555","-0.070","0.485","0.485","0.555","0.070","400","","-","85995","84%","0.078","","","Active"
="5326CZ","99SMART-CZ","301","","","0.330","","-","-","0.330","0.065","0","","-","193760","83%","0.040","","","Active"
="0365","A1AKK","401","0.205","0.215","0.210","+0.005","0.215","0.205","0.255","0.190","4056","","44","655790","44%","-0.003","0.82","30.02","Active"
="0703CJ","A50CHIN-CJ","358","0.170","0.175","0.175","-","0.180","0.160","0.265","0.130","131","","38","76960","47%","-0.010","","","Active"
="0703CK","A50CHIN-CK","358","0.260","0.260","0.305","-0.045","0.260","0.260","0.305","0.265","30","","-","-","0%","","","","Active"
="07031A","A50CHIN-H1A","358","","","0.165","","-","-","0.185","0.160","0","","-","-","0%","","","","Active"
="070399","A50CHIN-H99","358","","","0.025","","-","-","0.030","0.025","0","","-","-","0%","","","","Active"
="7054","AASIA","125","0.095","0.095","0.095","-","0.095","0.095","0.115","0.075","1","","100","70000","53%","0.002","-0.50","","Active"
="5238","AAX","101","1.750","1.710","1.750","-0.040","1.750","1.710","2.160","1.230","7722","","37","1678025","64%","0.048","51.30","3.34","Active"
="523828","AAX-C28","301","0.080","0.080","0.085","-0.005","0.080","0.080","0.170","0.040","500","","-","855265","60%","0.003","","","Active"
="523829","AAX-C29","301","0.090","0.090","0.090","-","0.090","0.090","0.105","0.050","2000","","-","-","63%","","","","Active"
="523830","AAX-C30","301","0.080","0.080","-","-0.070","0.080","0.080","","","1400","","36","-","0%","","","","New"
="0800EA","ABFMY1","657","1.225","1.215","1.220","-0.005","1.225","1.215","1.270","1.190","113","","-","18350","44%","-0.004","","","Active"
="7167","ABLEGLOB","101","1.620","1.620","1.620","-","1.620","1.610","2.000","1.260","1164","4.63%","64","214595","62%","0.024","22.43","7.19","Active"
="7086","ABLEGRP","102","","","0.080","","-","-","0.100","0.070","0","","-","256865","55%","","0.01","917.91","Active"
="2488","ABMB","110","4.410","4.440","4.410","+0.030","4.440","4.390","5.400","3.930","9355","4.37%","23","1016950","49%","","48.49","10.23","Active"
="248820","ABMB-C20","310","","","0.130","","-","-","0.160","0.080","0","","-","128240","41%","-0.009","","","Active"
="248821","ABMB-C21","310","","","0.055","","-","-","0.070","0.055","0","","-","-","0%","","","","Active"
="248822","ABMB-C22","310","","","0.060","","-","-","0.085","0.060","0","","-","-","0%","","","","Active"
="248823","ABMB-C23","310","0.110","0.110","0.110","-","0.110","0.110","0.180","0.110","500","","-","-","0%","","","","Active"
="248824","ABMB-C24","310","","","0.125","","-","-","0.190","0.090","0","","-","212305","54%","","","","Active"
="248825","ABMB-C25","310","","","0.050","","-","-","0.075","0.045","0","","-","-","0%","","","","Active"
="248826","ABMB-C26","310","","","0.080","","-","-","0.080","0.080","0","","-","-","0%","","","","Active"
="7131","ACME","120","0.130","0.125","0.120","+0.005","0.130","0.125","0.210","0.105","9175","","57","838530","54%","0.003","1.43","8.96","Active"
="0218","ACO","402","0.200","0.195","0.200","-0.005","0.200","0.195","0.250","0.185","3476","1.03%","100","391410","33%","-0.002","1.42","13.75","Active"
="0276","ADB","405","1.080","1.070","1.080","-0.010","1.090","1.070","1.290","0.830","3993","3.74%","52","748265","64%","0.003","3.56","30.08","Active"
="5281","ADVCON","103","0.200","0.205","0.200","+0.005","0.205","0.200","0.260","0.190","3446","","95","605880","40%","-0.003","-3.82","","Active"
="7191","ADVENTA","162","0.200","0.200","0.200","-","0.200","0.195","0.335","0.150","4756","","49","1027075","65%","0.010","0.69","29.44","Active"
="7146","AEM","102","0.065","0.065","0.065","-","0.065","0.055","0.085","0.035","398","","92","100390","54%","0.005","-6.84","","Active"
="0181","AEMULUS","405","0.255","0.245","0.255","-0.010","0.260","0.245","0.320","0.180","23720","","9","1367270","44%","","-3.26","","Active"
="6599","AEON","101","1.290","1.310","1.290","+0.020","1.320","1.290","1.580","1.220","13465","3.44%","64","1798880","48%","","9.12","14.37","Active"
="659939","AEON-C39","301","","","0.045","","-","-","0.115","0.045","0","","-","-","0%","","","","Active"
="659940","AEON-C40","301","","","0.025","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="659941","AEON-C41","301","0.045","0.045","0.045","-","0.050","0.045","0.105","0.035","1500","","87","688945","43%","-0.003","","","Active"
="659942","AEON-C42","301","","","0.035","","-","-","0.055","0.035","0","","-","-","0%","","","","Active"
="659943","AEON-C43","301","","","0.050","","-","-","0.060","0.040","0","","-","-","0%","","","","Active"
="659944","AEON-C44","301","0.050","0.060","0.050","+0.010","0.060","0.050","0.060","0.040","3500","","86","-","50%","","","","Active"
="5139","AEONCR","110","5.250","5.220","5.240","-0.020","5.280","5.210","7.170","4.850","1045","5.51%","29","608190","29%","0.017","72.58","7.19","Active"
="5185","AFFIN","110","2.350","2.360","2.360","-","2.360","2.340","3.030","2.210","6819","","20","990490","53%","0.002","21.45","11.73","Active"
="518523","AFFIN-C23","310","","","0.015","","-","-","0.150","0.010","0","","-","-","100%","","","","Active"
="518524","AFFIN-C24","310","","","0.020","","-","-","0.040","0.020","0","","-","-","0%","","","","Active"
="518525","AFFIN-C25","310","","","0.090","","-","-","0.105","0.090","0","","-","-","0%","","","","Active"
="518526","AFFIN-C26","310","","","0.080","","-","-","0.080","0.080","0","","-","-","0%","","","","Active"
="5198","AFUJIYA","102","0.270","0.310","0.290","+0.020","0.310","0.265","0.400","0.240","91","","1","10570","53%","","-7.06","","Active"
="0258","AGMO","405","0.430","0.435","0.440","-0.005","0.435","0.425","0.585","0.325","1292","3.45%","50","814720","47%","-0.005","2.50","15.36","Active"
="0309","AGRICOR","401","","","0.460","","-","-","0.575","0.335","0","","-","92980","33%","-0.001","-0.40","","Active"
="0299","AGX","464","","","0.470","","-","-","0.630","0.445","0","1.91%","-","148550","50%","-0.005","2.94","16.15","Active"
="7315","AHB","101","0.035","0.035","0.035","-","0.035","0.030","0.050","0.025","98976","","99","4461180","50%","","-0.80","","Active"
="7315WC","AHB-WC","101","0.010","0.015","0.015","-","0.015","0.010","0.020","0.005","201","","-","394280","50%","","","","Active"
="7090","AHEALTH","162","2.420","2.460","2.430","+0.030","2.460","2.400","2.700","1.900","1390","3.66%","63","57145","57%","-0.002","10.70","23.18","Active"
="0122","AIM","402","0.035","0.030","0.030","-","0.035","0.030","0.095","0.015","2863","","100","184960","43%","0.001","-1.68","","Active"
="0122WA","AIM-WA","402","","","0.010","","-","-","0.025","0.005","0","","-","298165","50%","","","","Active"
="0209","AIMFLEX","405","0.095","0.095","0.095","-","0.095","0.090","0.185","0.075","21346","","86","2321925","56%","0.002","0.56","16.72","Active"
="7219","AIZO","102","0.075","0.070","0.075","-0.005","0.075","0.070","0.160","0.060","55700","","84","9190390","60%","0.002","-0.39","","Active"
="7219PA","AIZO-PA","102","0.020","0.020","0.020","-","0.020","0.020","0.065","0.015","11100","","99","723460","40%","","","","Active"
="2658","AJI","101","13.440","13.400","13.460","-0.060","13.440","13.380","15.800","12.360","125","18.69%","11","28475","32%","0.069","81.68","16.40","Active"
="7609","AJIYA","102","2.410","2.300","2.420","-0.120","2.420","2.290","2.590","1.370","9107","","22","489945","32%","0.025","18.97","12.65","Active"
="5115","ALAM","161","0.175","0.175","0.170","+0.005","0.175","0.170","0.290","0.025","1351","","5","2839355","55%","","2.22","1.71","Active, Alert"
="5115WB","ALAM-WB","161","","","0.050","","-","-","0.075","0.040","0","","-","1517855","50%","-0.001","","","Active, Alert"
="5116","ALAQAR","150","1.240","1.250","1.260","-0.010","1.260","1.240","1.420","1.200","50","5.82%","62","66825","54%","","6.94","18.01","Active"
="2674","ALCOM","102","0.775","0.775","0.775","-","0.775","0.775","0.820","0.620","40","3.87%","-","61435","42%","0.001","-2.91","","Active"
="058244","ALIBABA-C44","358","0.165","0.165","0.175","-0.010","0.165","0.165","0.320","0.050","100","","-","1602700","44%","0.006","","","Active"
="058245","ALIBABA-C45","358","","","0.315","","-","-","0.500","0.030","0","","-","88370","45%","0.029","","","Active"
="058246","ALIBABA-C46","358","","","0.185","","-","-","0.360","0.045","0","","-","194065","41%","0.010","","","Active"
="058247","ALIBABA-C47","358","0.310","0.335","0.300","+0.035","0.340","0.295","0.515","0.095","730","","33","129640","40%","0.019","","","Active"
="058248","ALIBABA-C48","358","0.540","0.570","0.540","+0.030","0.570","0.525","1.000","0.200","1577","","84","22640","50%","0.061","","","Active"
="05821F","ALIBABA-H1F","358","","","0.030","","-","-","0.080","0.015","0","","-","812605","54%","","","","Active"
="1163","ALLIANZ","110","18.080","18.140","18.080","+0.060","18.160","18.060","21.060","16.500","308","1.46%","68","99420","39%","-0.053","401.46","4.34","Active"
="1163PA","ALLIANZ-PA","110","17.900","18.180","18.000","+0.180","18.200","17.900","22.600","16.680","415","","100","31270","50%","-0.006","","","Active"
="0303","ALPHA","462","0.330","0.330","0.330","-","0.335","0.330","0.365","0.265","15783","2.88%","15","7513025","50%","0.005","1.18","27.39","Active"
="0079","ALRICH","405","0.020","0.015","0.020","-0.005","0.020","0.015","0.035","0.015","810","","-","1266635","60%","","0.11","10.67","Active"
="5269","ALSREIT","150","0.470","0.470","0.470","-","0.500","0.470","0.500","0.330","427","1.49%","54","33485","55%","0.008","0.91","51.59","Active"
="1015","AMBANK","110","5.660","5.700","5.660","+0.040","5.710","5.610","5.940","4.930","62233","5.30%","54","7152630","44%","0.047","60.56","9.44","Active"
="101552","AMBANK-C52","310","","","-","","-","-","0.100","0.010","0","","-","176050","31%","","","","Suspended, Forbid"
="101553","AMBANK-C53","310","","","0.030","","-","-","0.065","0.030","0","","-","295840","40%","","","","Active"
="101554","AMBANK-C54","310","","","0.100","","-","-","0.110","0.075","0","","-","-","57%","","","","Active"
="101555","AMBANK-C55","310","0.200","0.200","0.205","-0.005","0.200","0.200","0.250","0.125","450","","33","108235","54%","0.026","","","Active"
="101556","AMBANK-C56","310","","","0.050","","-","-","0.050","0.050","0","","-","-","0%","","","","Active"
="101557","AMBANK-C57","310","","","0.230","","-","-","0.235","0.190","0","","-","-","0%","","","","Active"
="0744C1","AMD-C1","358","","","0.110","","-","-","0.130","0.040","0","","-","-","0%","","","","Active"
="5293","AME","103","1.520","1.530","1.520","+0.010","1.540","1.510","1.840","1.460","676","3.92%","49","253790","39%","-0.006","14.41","7.99","Active"
="5293WA","AME-WA","103","0.060","0.060","0.055","+0.005","0.075","0.060","0.190","0.035","7791","","73","85565","44%","-0.003","","","Active"
="5307","AMEREIT","150","1.550","1.550","1.580","-0.030","1.550","1.550","1.730","1.360","26","4.79%","-","344215","64%","0.007","9.12","17.10","Active"
="5120","AMFIRST","150","0.310","0.310","0.310","-","0.310","0.310","0.320","0.270","360","7.74%","-","296915","42%","0.001","3.59","8.63","Active"
="03011","AMLEX","705","","","0.250","","-","-","0.450","0.200","0","","-","411665","45%","-0.032","","","Active"
="7031","AMTEL","163","0.440","0.440","0.440","-","0.440","0.440","0.575","0.315","605","","-","54955","64%","0.018","5.69","7.98","Active"
="6351","AMWAY","101","4.970","4.940","4.950","-0.010","4.970","4.940","7.060","4.520","21","12.15%","-","16115","59%","0.003","58.58","8.43","Active"
="7083","ANALABS","102","1.840","1.840","1.830","+0.010","1.840","1.840","1.920","1.550","50","2.17%","100","11490","60%","0.020","33.88","5.43","Active"
="0048","ANCOMLB","464","0.100","0.100","0.100","-","0.105","0.100","0.140","0.085","2724","","85","483170","57%","0.001","-0.21","66.94","Active"
="4758","ANCOMNY","102","0.930","0.945","0.935","+0.010","0.945","0.930","1.100","0.875","8794","0.05%","32","3045115","58%","0.009","6.09","17.23","Active"
="4758CT","ANCOMNY-CT","302","","","-","","-","-","0.020","0.015","0","","-","-","0%","","","","Suspended, Forbid"
="4758CU","ANCOMNY-CU","302","","","0.045","","-","-","0.110","0.045","0","","-","-","0%","","","","Active"
="0226","ANEKA","403","0.140","0.145","0.140","+0.005","0.145","0.140","0.180","0.125","807","","17","321620","33%","-0.001","0.50","23.15","Active"
="6556","ANNJOO","102","0.675","0.670","0.670","-","0.675","0.670","0.945","0.560","1290","3.73%","43","305410","14%","-0.006","-40.54","","Active"
="6556WC","ANNJOO-WC","102","0.180","0.180","0.180","-","0.180","0.180","0.345","0.125","500","","-","94295","44%","-0.002","","","Active"
="03051","AORB","701","","","3.270","","-","-","3.420","3.270","0","","-","43155","55%","0.546","","","Active"
="5568","APB","102","0.205","0.195","0.195","-","0.205","0.195","0.410","0.180","239","","7","154080","47%","","-70.73","","Active"
="5088","APEX","110","0.850","0.850","0.855","-0.005","0.850","0.850","1.010","0.820","66","","-","161095","39%","-0.006","3.61","24.81","Active"
="5015","APM","102","3.090","3.090","3.090","-","3.090","3.090","3.580","2.700","1920","9.06%","54","19030","41%","-0.021","43.79","5.37","Active"
="6432","APOLLO","101","6.280","6.280","6.280","-","6.280","6.280","7.030","5.700","19","7.96%","-","9320","47%","-0.002","50.22","12.51","Active"
="0119","APPASIA","405","","","0.100","","-","-","0.155","0.090","0","","-","338385","25%","","0.24","51.36","Active"
="052819","APPLE-C19","358","","","0.095","","-","-","0.110","0.095","0","","-","-","0%","","","","Active"
="7214","ARANK","102","0.445","0.460","0.450","+0.010","0.460","0.445","0.535","0.410","250","4.89%","80","44385","40%","0.001","6.67","9.30","Active"
="7181","ARBB","105","0.030","0.030","0.035","-0.005","0.035","0.030","0.045","0.025","1672","","10","1630760","50%","0.001","0.15","19.85","Active"
="7007","ARK","120","","","0.230","","-","-","0.315","0.220","0","","-","5590","33%","","3.26","7.05","Active"
="7218","ARKA","164","","","0.655","","-","-","1.880","0.620","0","","-","9555","40%","-0.066","-11.01","","Active"
="5210","ARMADA","161","0.335","0.330","0.335","-0.005","0.335","0.325","0.695","0.320","143978","3.03%","31","20773490","36%","-0.009","10.70","2.98","Active"
