"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.705","0.705","0.710","-0.005","0.705","0.705","0.865","0.695","20","3.97%","100","153250","43%","-0.005","8.89","7.98","Active"
="0328","3REN","405","0.405","0.400","0.410","-0.010","0.410","0.395","0.490","0.200","43400","1.25%","28","8549045","48%","0.007","1.54","29.25","Active"
="5326","99SMART","101","3.080","3.040","3.080","-0.040","3.090","3.040","3.390","1.920","42678","0.41%","39","13673270","46%","0.077","5.84","52.09","Active"
="5326C1","99SMART-C1","301","","","-","","-","-","0.685","0.090","0","","-","33605","76%","0.082","","","Delisted"
="532610","99SMART-C10","301","","","0.120","","-","-","0.130","0.070","0","","-","401560","65%","0.018","","","Active"
="532611","99SMART-C11","301","0.250","0.250","0.240","+0.010","0.250","0.250","0.330","0.125","50","","-","109035","56%","0.030","","","Active"
="532612","99SMART-C12","301","","","0.150","","-","-","0.215","0.075","0","","-","77035","55%","0.018","","","Active"
="532613","99SMART-C13","301","0.210","0.210","0.215","-0.005","0.210","0.210","0.330","0.065","10","","-","426965","47%","0.024","","","Active"
="532614","99SMART-C14","301","","","0.185","","-","-","0.225","0.085","0","","-","-","71%","","","","Active"
="532615","99SMART-C15","301","0.200","0.195","0.200","-0.005","0.200","0.195","0.310","0.090","10745","","60","490065","42%","0.026","","","Active"
="532616","99SMART-C16","301","0.140","0.140","0.140","-","0.140","0.140","0.220","0.100","170","","47","777580","41%","","","","Active"
="532617","99SMART-C17","301","0.085","0.085","0.085","-","0.085","0.085","0.125","0.070","10","","-","-","50%","","","","Active"
="532618","99SMART-C18","301","0.100","0.100","0.100","-","0.100","0.100","0.175","0.065","25","","100","-","45%","","","","Active"
="532619","99SMART-C19","301","0.105","0.100","0.105","-0.005","0.105","0.100","0.175","0.100","4001","","62","-","37%","","","","Active"
="5326C2","99SMART-C2","301","","","0.065","","-","-","0.140","0.020","0","","-","331510","50%","0.006","","","Active"
="532620","99SMART-C20","301","0.045","0.045","0.045","-","0.045","0.045","0.055","0.040","400","","100","-","0%","","","","Active"
="532621","99SMART-C21","301","0.070","0.070","0.070","-","0.070","0.070","0.070","0.070","80","","50","-","0%","","","","Active"
="532622","99SMART-C22","301","0.045","0.045","-","-0.105","0.045","0.045","","","500","","-","-","","","","","New"
