"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","","","0.700","","-","-","0.865","0.695","0","4.00%","-","170515","25%","-0.006","8.89","7.93","Active"
="0328","3REN","405","0.430","0.405","0.430","-0.025","0.435","0.400","0.490","0.200","93164","1.23%","37","10129355","49%","0.015","1.54","29.61","Active"
="5326","99SMART","101","3.100","3.110","3.100","+0.010","3.110","3.050","3.390","1.920","68492","0.40%","59","13112465","61%","0.105","5.84","53.29","Active"
="5326C1","99SMART-C1","301","","","-","","-","-","0.685","0.090","0","","-","33605","76%","0.082","","","Delisted"
="532610","99SMART-C10","301","","","0.130","","-","-","0.130","0.070","0","","-","664910","71%","0.019","","","Active"
="532611","99SMART-C11","301","","","0.295","","-","-","0.330","0.125","0","","-","110425","67%","0.036","","","Active"
="532612","99SMART-C12","301","0.160","0.165","0.170","-0.005","0.165","0.160","0.215","0.075","350","","14","124835","59%","0.023","","","Active"
="532613","99SMART-C13","301","0.225","0.220","0.225","-0.005","0.225","0.220","0.330","0.065","463","","98","449515","59%","0.035","","","Active"
="532614","99SMART-C14","301","","","0.185","","-","-","0.225","0.085","0","","-","-","71%","","","","Active"
="532615","99SMART-C15","301","0.205","0.205","0.205","-","0.210","0.200","0.310","0.090","10360","","48","479345","58%","0.037","","","Active"
="532616","99SMART-C16","301","0.145","0.145","0.145","-","0.145","0.145","0.220","0.100","200","","100","839510","59%","","","","Active"
="532617","99SMART-C17","301","","","0.090","","-","-","0.125","0.070","0","","-","-","0%","","","","Active"
="532618","99SMART-C18","301","0.100","0.100","0.100","-","0.100","0.095","0.175","0.065","2492","","69","-","51%","","","","Active"
="532619","99SMART-C19","301","0.110","0.110","0.115","-0.005","0.110","0.105","0.175","0.105","3840","","39","-","0%","","","","Active"
="5326C2","99SMART-C2","301","0.065","0.065","0.065","-","0.070","0.065","0.140","0.020","6500","","23","254485","54%","0.011","","","Active"
="532620","99SMART-C20","301","","","0.045","","-","-","0.055","0.045","0","","-","-","0%","","","","Active"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
