"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status","Mode"
="0161","HEXIND","102","0.340","0.340","0.340","-","0.345","0.335","0.520","0.330","44968","","90","3880620","29%","-0.005","1.01","32.89","Active","Real Time"
="0162","WIDAD","403","0.015","0.020","0.020","-","0.020","0.015","0.060","0.010","7718","","97","4567745","50%","","-0.30","","Active","Real Time"
="0163","CAREPLS","162","0.100","0.095","0.100","-0.005","0.100","0.090","0.280","0.080","7263","","20","1654605","56%","-0.004","-11.15","","Active","Real Time"
="0165","XOX","463","0.240","0.250","0.240","+0.010","0.260","0.240","0.605","0.175","4635","","72","235280","42%","-0.011","-7.33","","Active","Real Time"
="0165PA","XOX-PA","463","","","0.115","","-","-","0.290","0.070","0","","-","9250","50%","0.006","","","Active","Real Time"
="0166","INARI","105","2.150","2.200","2.160","+0.040","2.200","2.140","3.220","1.420","87436","2.50%","58","11904985","73%","0.045","5.78","39.11","Active","Real Time"
="01663E","INARI-C3E","305","","","0.005","","-","-","0.065","0.005","0","","-","204920","43%","-0.002","","","Active","Real Time"
="01663F","INARI-C3F","305","0.040","0.040","0.045","-0.005","0.040","0.040","0.095","0.010","300","","-","116485","75%","","","","Active","Real Time"
="01663G","INARI-C3G","305","","","0.005","","-","-","0.120","0.005","0","","-","766395","29%","-0.011","","","Active","Real Time"
="01663H","INARI-C3H","305","","","0.085","","-","-","0.135","0.025","0","","-","238460","67%","0.004","","","Active","Real Time"
="01663I","INARI-C3I","305","","","0.085","","-","-","0.135","0.030","0","","-","440225","67%","0.004","","","Active","Real Time"
="01663J","INARI-C3J","305","","","0.045","","-","-","0.110","0.020","0","","-","549110","57%","","","","Active","Real Time"
="01663K","INARI-C3K","305","0.090","0.090","0.085","+0.005","0.090","0.090","0.160","0.045","4000","","50","596930","68%","0.002","","","Active","Real Time"
="01663L","INARI-C3L","305","0.125","0.125","0.130","-0.005","0.125","0.125","0.190","0.075","450","","100","360695","71%","0.002","","","Active","Real Time"
="01663M","INARI-C3M","305","","","0.085","","-","-","0.155","0.045","0","","-","1042150","71%","-0.001","","","Active","Real Time"
="01663N","INARI-C3N","305","","","0.205","","-","-","0.290","0.115","0","","-","50755","74%","0.006","","","Active","Real Time"
="01663O","INARI-C3O","305","","","0.075","","-","-","0.135","0.045","0","","-","1173095","78%","0.002","","","Active","Real Time"
="01663P","INARI-C3P","305","","","0.045","","-","-","0.055","0.030","0","","-","1789830","56%","","","","Active","Real Time"
="01663Q","INARI-C3Q","305","","","0.090","","-","-","0.100","0.070","0","","-","-","0%","","","","Active","Real Time"
="01663R","INARI-C3R","305","0.075","0.075","0.075","-","0.075","0.075","0.080","0.055","300","","-","-","50%","","","","Active","Real Time"
="01663S","INARI-C3S","305","","","0.120","","-","-","0.130","0.090","0","","-","-","0%","","","","Active","Real Time"
="01663T","INARI-C3T","305","","","0.075","","-","-","0.100","0.045","0","","-","-","0%","","","","Active","Real Time"
="01663U","INARI-C3U","305","0.125","0.135","0.125","+0.010","0.135","0.125","0.145","0.070","5400","","13","550995","65%","0.012","","","Active","Real Time"
="01663V","INARI-C3V","305","","","0.120","","-","-","0.120","0.115","0","","-","-","0%","","","","Active","Real Time"
="01663W","INARI-C3W","305","","","-","","-","-","","","0","","-","-","0%","","","","New","Real Time"
="0166HE","INARI-HE","305","","","0.110","","-","-","0.155","0.110","0","","-","650275","32%","","","","Active","Real Time"
="0167","MCLEAN","402","0.510","0.505","0.510","-0.005","0.510","0.480","0.535","0.200","65869","","51","8964720","96%","0.053","3.14","20.32","Active","Real Time"
="0168","BMGREEN","161","1.580","1.610","1.580","+0.030","1.610","1.570","2.000","1.430","5159","1.71%","56","1250700","53%","-0.045","8.91","20.27","Active","Real Time"
="0168WA","BMGREEN-WA","161","0.300","0.305","0.300","+0.005","0.330","0.300","0.580","0.270","743","","62","271770","50%","-0.013","","","Active","Real Time"
="0169","SMTRACK","405","0.015","0.010","0.015","-0.005","0.015","0.010","0.025","0.005","6006","","15","355040","100%","","-1.33","","Active","Real Time"
="0170","KANGER","401","0.030","0.035","0.035","-","0.035","0.030","0.050","0.025","1263","","40","208690","50%","","-2.47","","Active","Real Time"
="0170WB","KANGER-WB","401","","","0.005","","-","-","0.010","0.005","0","","-","773040","50%","","","","Active","Real Time"
="0171","PLABS","401","0.255","0.260","0.265","-0.005","0.265","0.255","0.550","0.170","1035","","73","182570","41%","-0.010","1.03","22.79","Active","Real Time"
="0172","OCK","163","0.415","0.415","0.415","-","0.420","0.410","0.500","0.355","12224","2.41%","22","1524370","56%","0.002","3.09","10.71","Active","Real Time"
="0172WB","OCK-WB","163","0.025","0.025","0.025","-","0.030","0.020","0.160","0.010","6312","","61","3805330","52%","","","","Active","Real Time"
="0173","CATCHA","463","0.265","0.270","0.270","-","0.270","0.265","0.400","0.230","1900","","11","112385","33%","0.002","1.48","18.48","Active","Real Time"
="0174","EVD","405","","","0.065","","-","-","0.130","0.050","0","","-","138010","44%","","-5.00","","Active","Real Time"
="0174PA","EVD-PA","405","","","0.015","","-","-","0.040","0.010","0","","-","40690","50%","-0.002","","","Active","Real Time"
="0174WB","EVD-WB","405","","","0.035","","-","-","0.070","0.020","0","","-","160095","58%","-0.001","","","Active","Real Time"
="0175","HHRG","402","0.120","0.120","0.125","-0.005","0.130","0.115","0.165","0.080","177420","","64","9285535","47%","0.001","0.81","16.09","Active","Real Time"
="0175WA","HHRG-WA","402","0.050","0.050","0.040","+0.010","0.050","0.050","0.180","0.025","42965","","88","36800","27%","-0.049","","","Active","Real Time"
="0176","KRONO","405","0.220","0.220","0.215","+0.005","0.220","0.210","0.350","0.180","10163","","40","381500","50%","-0.003","1.55","17.08","Active","Real Time"
="0176WA","KRONO-WA","405","0.045","0.040","0.045","-0.005","0.045","0.040","0.130","0.035","378","","1","93915","60%","","","","Active","Real Time"
="0177","PASUKGB","402","0.070","0.070","0.070","-","0.070","0.065","0.175","0.050","1387","","24","70560","50%","","-9.43","","Active","Real Time"
="0178","SEDANIA","401","0.085","0.090","0.085","+0.005","0.095","0.085","0.160","0.080","7703","","25","197510","50%","-0.001","-0.70","","Active","Real Time"
="0179","BIOHLDG","401","0.010","0.015","0.015","-","0.015","0.010","0.080","0.005","101","","1","115805","50%","","-3.55","","Active","Real Time"
="0179PA","BIOHLDG-PA","401","","","0.005","","-","-","0.010","0.005","0","","-","110845","100%","","","","Active","Real Time"
="0179WB","BIOHLDG-WB","401","","","0.005","","-","-","0.025","0.005","0","","-","83530","43%","-0.001","","","Active","Real Time"
="0180","KTC","101","0.150","0.150","0.150","-","0.150","0.150","0.215","0.120","1800","","-","574870","71%","0.004","2.76","5.36","Active","Real Time"
="0181","AEMULUS","405","0.275","0.270","0.275","-0.005","0.275","0.270","0.320","0.180","12779","","40","1423835","77%","0.001","-3.26","","Active","Real Time"
="0182","LKL","462","0.030","0.035","0.035","-","0.035","0.030","0.135","0.025","5924","","100","790920","30%","-0.006","-9.73","","Active","Real Time"
="0182WA","LKL-WA","462","","","0.005","","-","-","0.020","0.005","0","","-","545505","100%","-0.001","","","Active","Real Time"
="0183","SALUTE","101","0.205","0.205","0.205","-","0.205","0.200","0.760","0.165","11317","","36","1053455","61%","","-7.03","","Active","Real Time"
