"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="03041","1TECH","705","","","0.020","","-","-","0.030","0.020","0","","-","-","0%","","","","Active"
="0012","3A","101","0.710","0.700","0.700","-","0.710","0.695","0.865","0.695","985","4.00%","16","142340","23%","-0.005","8.89","7.93","Active"
="0328","3REN","405","0.420","0.410","0.420","-0.010","0.430","0.405","0.480","0.200","38233","1.22%","36","7356210","54%","0.004","1.54","29.98","Active"
="5326","99SMART","101","3.060","3.130","3.060","+0.070","3.130","3.040","3.390","1.920","156225","0.40%","64","13741705","26%","0.059","5.84","53.63","Active"
="532610","99SMART-C10","301","0.120","0.120","0.120","-","0.120","0.120","0.130","0.070","70","","100","401560","65%","0.018","","","Active"
="532611","99SMART-C11","301","0.260","0.270","0.250","+0.020","0.270","0.260","0.330","0.125","370","","24","102565","56%","0.026","","","Active"
="532612","99SMART-C12","301","","","0.150","","-","-","0.215","0.075","0","","-","77035","55%","0.018","","","Active"
="532613","99SMART-C13","301","0.215","0.215","0.205","+0.010","0.215","0.215","0.330","0.065","750","","33","431765","22%","0.018","","","Active"
="532614","99SMART-C14","301","","","0.185","","-","-","0.225","0.085","0","","-","-","71%","","","","Active"
="532615","99SMART-C15","301","0.195","0.210","0.190","+0.020","0.215","0.195","0.310","0.090","32245","","54","413040","13%","0.020","","","Active"
="532616","99SMART-C16","301","0.140","0.150","0.135","+0.015","0.150","0.140","0.220","0.100","180","","50","761080","32%","0.006","","","Active"
="532617","99SMART-C17","301","0.085","0.085","0.080","+0.005","0.085","0.085","0.125","0.070","30","","33","-","36%","","","","Active"
="532618","99SMART-C18","301","0.095","0.110","0.090","+0.020","0.110","0.095","0.175","0.065","4833","","87","1206430","22%","","","","Active"
="532619","99SMART-C19","301","0.105","0.110","0.100","+0.010","0.110","0.105","0.175","0.100","10000","","50","-","24%","","","","Active"
="5326C2","99SMART-C2","301","0.065","0.065","0.065","-","0.065","0.065","0.140","0.020","500","","-","331510","50%","0.006","","","Active"
="532620","99SMART-C20","301","0.045","0.045","0.045","-","0.045","0.045","0.055","0.040","740","","100","-","0%","","","","Active"
="532621","99SMART-C21","301","0.070","0.080","0.070","+0.010","0.080","0.070","0.070","0.070","1757","","98","-","0%","","","","Active"
="532622","99SMART-C22","301","0.050","0.050","0.045","+0.005","0.050","0.050","0.045","0.045","500","","100","-","0%","","","","Active"
="5326C3","99SMART-C3","301","","","0.175","","-","-","0.175","0.095","0","","-","-","78%","","","","Active"
="5326C4","99SMART-C4","301","0.185","0.195","0.185","+0.010","0.195","0.185","0.260","0.070","18293","","85","1302805","32%","0.007","","","Active"
