Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status,
101557,AMBANK-C57,AMBANK-C57,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,AMBANK-C57,AMBANK-C57,,,,,,,,,,,,,,,,,,
0736C6,BAIDU-C6,BAIDU-C6,,,0.45,,-,-,,,0,,-,-,0%,,,,Active,
,BAIDU-C6,BAIDU-C6,,,,,,,,,,,,,,,,,,
0740C1,BRODCOM-C1,BRODCOM-C1,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,BRODCOM-C1,BRODCOM-C1,,,,,,,,,,,,,,,,,,
0709H3,GLDHK-H3,GLDHK-H3,,,0.19,,-,-,,,0,,-,-,0%,,,,Active,
,GLDHK-H3,GLDHK-H3,,,,,,,,,,,,,,,,,,
10232F,CIMB-C2F,CIMB-C2F,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,CIMB-C2F,CIMB-C2F,,,,,,,,,,,,,,,,,,
106669,RHBBANKC69,RHBBANKC69,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,RHBBANKC69,RHBBANKC69,,,,,,,,,,,,,,,,,,
18181D,BURSA-C1D,BURSA-C1D,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,BURSA-C1D,BURSA-C1D,,,,,,,,,,,,,,,,,,
12952B,PBBANK-C2B,PBBANK-C2B,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,PBBANK-C2B,PBBANK-C2B,,,,,,,,,,,,,,,,,,
248825,ABMB-C25,ABMB-C25,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,ABMB-C25,ABMB-C25,,,,,,,,,,,,,,,,,,
181897,BURSA-C97,BURSA-C97,,,0.2,,-,-,,,0,,-,-,0%,,,,Active,
,BURSA-C97,BURSA-C97,,,,,,,,,,,,,,,,,,
196171,IOICORP-C71,IOICORP-C71,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,IOICORP-C71,IOICORP-C71,,,,,,,,,,,,,,,,,,
196172,IOICORP-C72,IOICORP-C72,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,IOICORP-C72,IOICORP-C72,,,,,,,,,,,,,,,,,,
244540,KLK-C40,KLK-C40,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,KLK-C40,KLK-C40,,,,,,,,,,,,,,,,,,
341722,E&O-C22,E&O-C22,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,E&O-C22,E&O-C22,,,,,,,,,,,,,,,,,,
31824B,GENTINGC4B,GENTINGC4B,0.125,0.125,0.15,-0.025,0.135,0.125,,,5798,,53,-,0%,,,,Active,
,GENTINGC4B,GENTINGC4B,,,,,,,,,,,,,,,,,,
419798,SIME-C98,SIME-C98,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,SIME-C98,SIME-C98,,,,,,,,,,,,,,,,,,
46772C,YTL-C2C,YTL-C2C,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,YTL-C2C,YTL-C2C,,,,,,,,,,,,,,,,,,
47153Q,GENM-C3Q,GENM-C3Q,0.125,0.13,0.15,-0.02,0.13,0.125,,,1268,,45,-,0%,,,,Active,
,GENM-C3Q,GENM-C3Q,,,,,,,,,,,,,,,,,,
48632B,TM-C2B,TM-C2B,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,TM-C2B,TM-C2B,,,,,,,,,,,,,,,,,,
5038CP,KSL-CP,KSL-CP,0.4,0.38,-,+0.040,0.405,0.35,,,5952,,62,-,0%,,,,New,
,KSL-CP,KSL-CP,,,,,,,,,,,,,,,,,,
5031C7,TIMECOM-C7,TIMECOM-C7,,,-,,-,-,,,0,,-,-,0%,,,,New,
,TIMECOM-C7,TIMECOM-C7,,,,,,,,,,,,,,,,,,
514155,DAYANG-C55,DAYANG-C55,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,DAYANG-C55,DAYANG-C55,,,,,,,,,,,,,,,,,,
514157,DAYANG-C57,DAYANG-C57,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,DAYANG-C57,DAYANG-C57,,,,,,,,,,,,,,,,,,
5126CU,SOP-CU,SOP-CU,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,SOP-CU,SOP-CU,,,,,,,,,,,,,,,,,,
51481Y,UEMS-C1Y,UEMS-C1Y,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,UEMS-C1Y,UEMS-C1Y,,,,,,,,,,,,,,,,,,
51481Z,UEMS-C1Z,UEMS-C1Z,,,-,,-,-,,,0,,-,-,0%,,,,New,
,UEMS-C1Z,UEMS-C1Z,,,,,,,,,,,,,,,,,,
51683B,HARTA-C3B,HARTA-C3B,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,HARTA-C3B,HARTA-C3B,,,,,,,,,,,,,,,,,,
51683C,HARTA-C3C,HARTA-C3C,0.11,0.11,0.15,-0.04,0.11,0.11,,,500,,100,-,0%,,,,Active,
,HARTA-C3C,HARTA-C3C,,,,,,,,,,,,,,,,,,
5173CG,SYGROUP-CG,SYGROUP-CG,,,-,,-,-,,,0,,-,-,0%,,,,New,
,SYGROUP-CG,SYGROUP-CG,,,,,,,,,,,,,,,,,,
518525,AFFIN-C25,AFFIN-C25,0.095,0.09,0.15,-0.06,0.095,0.09,,,2,,-,-,0%,,,,Active,
,AFFIN-C25,AFFIN-C25,,,,,,,,,,,,,,,,,,
519984,HIBISCS-C84,HIBISCS-C84,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,HIBISCS-C84,HIBISCS-C84,,,,,,,,,,,,,,,,,,
519986,HIBISCS-C86,HIBISCS-C86,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,HIBISCS-C86,HIBISCS-C86,,,,,,,,,,,,,,,,,,
51831X,PCHEM-C1X,PCHEM-C1X,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,PCHEM-C1X,PCHEM-C1X,,,,,,,,,,,,,,,,,,
52101H,ARMADA-C1H,ARMADA-C1H,0.015,0.015,0.15,-0.135,0.015,0.015,,,12650,,100,-,0%,,,,Active,
,ARMADA-C1H,ARMADA-C1H,,,,,,,,,,,,,,,,,,
52101I,ARMADA-C1I,ARMADA-C1I,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,ARMADA-C1I,ARMADA-C1I,,,,,,,,,,,,,,,,,,
522554,IHH-C54,IHH-C54,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,IHH-C54,IHH-C54,,,,,,,,,,,,,,,,,,
522557,IHH-C57,IHH-C57,,,-,,-,-,,,0,,-,-,0%,,,,New,
,IHH-C57,IHH-C57,,,,,,,,,,,,,,,,,,
521681,NEXG-C81,NEXG-C81,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,NEXG-C81,NEXG-C81,,,,,,,,,,,,,,,,,,
521682,NEXG-C82,NEXG-C82,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,NEXG-C82,NEXG-C82,,,,,,,,,,,,,,,,,,
524941,IOIPG-C41,IOIPG-C41,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,IOIPG-C41,IOIPG-C41,,,,,,,,,,,,,,,,,,
524637,WPRTS-C37,WPRTS-C37,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,WPRTS-C37,WPRTS-C37,,,,,,,,,,,,,,,,,,
524638,WPRTS-C38,WPRTS-C38,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,WPRTS-C38,WPRTS-C38,,,,,,,,,,,,,,,,,,
526350,SUNCON-C50,SUNCON-C50,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,SUNCON-C50,SUNCON-C50,,,,,,,,,,,,,,,,,,
5302CO,ATECH-CO,ATECH-CO,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,ATECH-CO,ATECH-CO,,,,,,,,,,,,,,,,,,
529646,MRDIY-C46,MRDIY-C46,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,MRDIY-C46,MRDIY-C46,,,,,,,,,,,,,,,,,,
529650,MRDIY-C50,MRDIY-C50,,,-,,-,-,,,0,,-,-,0%,,,,New,
,MRDIY-C50,MRDIY-C50,,,,,,,,,,,,,,,,,,
5302CP,ATECH-CP,ATECH-CP,0.06,0.065,0.15,-0.085,0.065,0.06,,,2050,,51,-,0%,,,,Active,
,ATECH-CP,ATECH-CP,,,,,,,,,,,,,,,,,,
5318CP,DXN-CP,DXN-CP,,,-,,-,-,,,0,,-,-,0%,,,,New,
,DXN-CP,DXN-CP,,,,,,,,,,,,,,,,,,
530624,FFB-C24,FFB-C24,,,-,,-,-,,,0,,-,-,0%,,,,New,
,FFB-C24,FFB-C24,,,,,,,,,,,,,,,,,,
5323CK,JPG-CK,JPG-CK,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,JPG-CK,JPG-CK,,,,,,,,,,,,,,,,,,
5323CL,JPG-CL,JPG-CL,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
,JPG-CL,JPG-CL,,,,,,,,,,,,,,,,,,
5335CD,HI-CD,HI-CD,0.105,0.105,0.15,-0.045,0.105,0.105,,,10000,,40,-,0%,,,,Active,
,HI-CD,HI-CD,,,,,,,,,,,,,,,,,,
5323CM,JPG-CM,JPG-CM,,,0.2,,-,-,,,0,,-,-,0%,,,,Active,
,JPG-CM,JPG-CM,,,,,,,,,,,,,,,,,,
5337CR,ECOSHOP-CR,ECOSHOP-CR,0.055,0.055,0.15,-0.095,0.055,0.055,,,2410,,100,-,0%,,,,Active,
,ECOSHOP-CR,ECOSHOP-CR,,,,,,,,,,,,,,,,,,
53984B,GAMUDA-C4B,GAMUDA-C4B,,,-,,-,-,,,0,,-,-,0%,,,,New,
,GAMUDA-C4B,GAMUDA-C4B,,,,,,,,,,,,,,,,,,
6459CL,MNRB-CL,MNRB-CL,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,
