Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26,12)",EPS*,P/E,Status
"=""03041""",1TECH,Utilities,,,0.020,,-,-,0.03,0.02,0,,-,-,0%,,,,Active
"=""0012""",3A,Industrial & Consumer Products,0.7,0.7,0.705,-0.005,0.700,0.700,0.815,0.69,28,4.00%,-,86465,53%,-0.001,8.89,7.93,Active
"=""0328""",3REN,Property,0.35,0.35,0.350,-,0.350,0.340,0.48,0.2,5037,1.43%,45,2632720,38%,-0.013,1.54,25.61,Active
"=""5326""",99SMART,Industrial & Consumer Products,4.01,3.95,4.010,-0.060,4.010,3.910,4.15,1.92,132681,0.32%,46,11095360,61%,0.066,5.84,67.68,Active
"=""532610""",99SMART-C10,Technology,,,0.250,,-,-,0.255,0.07,0,,-,7300,84%,0.023,,,Active
"=""532611""",99SMART-C11,Technology,,,0.540,,-,-,0.555,0.125,0,,-,442990,53%,0.049,,,Active
"=""532612""",99SMART-C12,Technology,,,0.320,,-,-,0.335,0.075,0,,-,45785,75%,0.042,,,Active
"=""532613""",99SMART-C13,Technology,,,0.550,,-,-,0.55,0.065,0,,-,59440,72%,0.058,,,Active
"=""532614""",99SMART-C14,Technology,,,0.395,,-,-,0.415,0.085,0,,-,71230,71%,0.074,,,Active
"=""532615""",99SMART-C15,Technology,,,0.510,,-,-,0.51,0.09,0,,-,310990,78%,0.054,,,Active
"=""532616""",99SMART-C16,Technology,0.375,0.37,0.380,-0.010,0.375,0.370,0.415,0.1,500,,100,78550,63%,0.036,,,Active
"=""532617""",99SMART-C17,Technology,,,0.160,,-,-,0.18,0.07,0,,-,107070,57%,0.006,,,Active
"=""532618""",99SMART-C18,Technology,,,0.340,,-,-,0.38,0.065,0,,-,232320,55%,0.025,,,Active
"=""532619""",99SMART-C19,Technology,,,0.310,,-,-,0.31,0.1,0,,-,412285,77%,0.033,,,Active
"=""532620""",99SMART-C20,Technology,0.105,0.1,0.105,-0.005,0.105,0.095,0.13,0.04,7700,,26,1185495,54%,0.003,,,Active
"=""532621""",99SMART-C21,Technology,0.18,0.175,0.185,-0.010,0.180,0.170,0.21,0.07,1050,,42,125650,59%,0.015,,,Active
"=""532622""",99SMART-C22,Technology,0.08,0.08,0.080,-,0.080,0.080,0.1,0.045,20,,50,1772370,40%,0.002,,,Active
"=""532623""",99SMART-C23,Technology,0.24,0.23,0.250,-0.020,0.240,0.230,0.285,0.09,849,,22,3843830,60%,0.013,,,Active
"=""532624""",99SMART-C24,Technology,0.4,0.375,0.400,-0.025,0.400,0.365,0.465,0.135,48919,,51,2177645,61%,0.023,,,Active
"=""532625""",99SMART-C25,Technology,0.175,0.165,0.180,-0.015,0.175,0.160,0.2,0.08,4402,,36,224175,60%,0.012,,,Active
"=""532626""",99SMART-C26,Technology,0.17,0.155,0.170,-0.015,0.170,0.155,0.195,0.06,4271,,49,558995,61%,0.011,,,Active
"=""532627""",99SMART-C27,Technology,0.11,0.105,0.115,-0.010,0.110,0.105,0.135,0.095,23360,,48,-,0%,,,,Active
"=""532628""",99SMART-C28,Technology,0.09,0.08,0.090,-0.010,0.090,0.080,0.1,0.08,44826,,49,-,0%,,,,Active
"=""532629""",99SMART-C29,Technology,0.095,0.09,0.095,-0.005,0.095,0.090,0.11,0.09,591,,30,-,0%,,,,Active
"=""5326C3""",99SMART-C3,Technology,,,-,,-,-,0.555,0.095,0,,-,-,97%,,,,Delisted
"=""532630""",99SMART-C30,Technology,0.115,0.105,0.115,-0.010,0.115,0.105,0.13,0.11,6000,,50,-,0%,,,,Active
"=""532631""",99SMART-C31,Technology,0.08,0.07,0.080,-0.010,0.080,0.065,0.095,0.07,13112,,34,-,0%,,,,Active
"=""532632""",99SMART-C32,Technology,0.045,0.045,-,-0.105,0.045,0.045,,,20,,50,-,0%,,,,New
"=""5326C4""",99SMART-C4,Technology,,,0.380,,-,-,0.39,0.07,0,,-,212380,66%,0.028,,,Active
"=""5326C6""",99SMART-C6,Technology,0.785,0.785,0.850,-0.065,0.785,0.785,0.85,0.075,20,,-,770250,68%,0.041,,,Active
"=""5326C7""",99SMART-C7,Technology,,,0.200,,-,-,0.22,0.06,0,,-,551050,69%,0.033,,,Active
"=""5326C9""",99SMART-C9,Technology,,,0.290,,-,-,0.315,0.11,0,,-,-,82%,,,,Active
"=""0365""",A1AKK,Property,0.215,0.215,0.215,-,0.215,0.215,0.255,0.19,228,,-,181655,25%,-0.002,0.82,30.02,Active
"=""0703CK""",A50CHIN-CK,Technology,0.085,0.085,0.085,-,0.085,0.085,0.305,0.065,100,,100,949175,36%,-0.025,,,Active
"=""0703CL""",A50CHIN-CL,Technology,,,0.055,,-,-,0.08,0.055,0,,-,-,0%,,,,Active
"=""07031A""",A50CHIN-H1A,Technology,,,0.060,,-,-,0.185,0.06,0,,-,-,40%,,,,Active
"=""03067""",AAI,Utilities,0.21,0.23,0.225,+0.005,0.230,0.210,0.225,0.19,4500,,100,-,0%,,,,Active
"=""7054""",AASIA,Industrial & Consumer Products,0.085,0.085,0.090,-0.005,0.085,0.085,0.11,0.075,100,,-,24985,44%,-0.001,-0.5,,Active
"=""5238""",AAX,Industrial & Consumer Products,1.95,1.95,1.950,-,1.980,1.930,2.33,1.23,70051,,55,23723270,63%,0.063,51.3,28.6,Active
"=""523829""",AAX-C29,Technology,0.105,0.105,0.105,-,0.105,0.105,0.24,0.035,9,,-,399320,57%,0.011,,,Active
"=""523830""",AAX-C30,Technology,0.08,0.08,0.080,-,0.080,0.080,0.15,0.05,9172,,8,5552070,57%,0.004,,,Active
"=""523831""",AAX-C31,Technology,0.13,0.13,0.130,-,0.135,0.130,0.22,0.075,11540,,64,4179995,60%,0.01,,,Active
"=""523832""",AAX-C32,Technology,0.25,0.24,0.250,-0.010,0.255,0.240,0.43,0.115,39903,,61,6469400,60%,0.025,,,Active
"=""523833""",AAX-C33,Technology,0.065,0.065,0.065,-,0.065,0.065,0.07,0.06,2,,100,-,0%,,,,Active
"=""523834""",AAX-C34,Technology,0.085,0.085,0.080,+0.005,0.085,0.085,0.09,0.08,500,,100,-,0%,,,,Active
"=""523835""",AAX-C35,Technology,0.115,0.115,0.110,+0.005,0.115,0.110,0.11,0.11,29048,,51,-,0%,,,,Active
"=""5238WB""",AAX-WB,Industrial & Consumer Products,0.98,0.99,0.980,+0.010,1.010,0.970,1.2,0.35,14894,,57,6527880,69%,0.18,,,Active
"=""0800EA""",ABFMY1,Transportation & Logistics,,,1.234,,-,-,1.3,1.19,0,,-,29840,64%,0.001,,,Active
"=""7167""",ABLEGLOB,Industrial & Consumer Products,1.65,1.65,1.660,-0.010,1.650,1.630,1.83,1.26,756,4.55%,15,125240,61%,0.012,22.43,7.32,Active
"=""7086""",ABLEGRP,Industrial & Consumer Products,,,0.070,,-,-,0.1,0.065,0,,-,62985,50%,,0.01,803.17,Active
"=""2488""",ABMB,Industrial & Consumer Products,5.34,5.3,5.340,-0.040,5.360,5.290,5.59,3.93,15952,3.66%,60,3646440,63%,0.073,48.49,12.22,Active
"=""248824""",ABMB-C24,Technology,,,0.295,,-,-,0.395,0.09,0,,-,309995,57%,0.038,,,Active
"=""248825""",ABMB-C25,Technology,0.12,0.115,0.120,-0.005,0.120,0.115,0.165,0.045,170,,47,319140,56%,0.007,,,Active
"=""248826""",ABMB-C26,Technology,0.15,0.145,0.150,-0.005,0.155,0.145,0.2,0.06,9465,,57,870080,57%,0.008,,,Active
"=""248827""",ABMB-C27,Technology,0.05,0.05,0.050,-,0.050,0.050,0.065,0.04,1000,,60,-,0%,,,,Active
"=""248828""",ABMB-C28,Technology,,,0.090,,-,-,0.095,0.08,0,,-,-,0%,,,,Active
"=""248829""",ABMB-C29,Technology,0.13,0.125,0.150,-0.025,0.130,0.125,,,15831,,46,-,0%,,,,Active
"=""7131""",ACME,Industrial & Consumer Products,0.11,0.11,0.110,-,0.110,0.110,0.17,0.1,263,,-,159120,43%,-0.001,1.43,7.88,Active
"=""0218""",ACO,Property,0.175,0.175,0.180,-0.005,0.175,0.175,0.235,0.175,3115,1.14%,17,95485,33%,-0.001,1.42,12.34,Active
"=""0276""",ADB,Property,0.68,0.68,0.680,-,0.685,0.675,1.22,0.655,5060,5.88%,55,635335,21%,-0.019,3.56,19.11,Active
"=""5281""",ADVCON,Industrial & Consumer Products,0.19,0.195,0.195,-,0.195,0.190,0.25,0.19,39,,-,199205,44%,-0.001,-3.82,,Active
"=""7191""",ADVENTA,Industrial & Consumer Products,0.15,0.145,0.150,-0.005,0.150,0.145,0.295,0.15,4126,,37,228150,37%,-0.003,0.69,21.34,Active
"=""7146""",AEM,Industrial & Consumer Products,,,0.065,,-,-,0.07,0.035,0,,-,469895,67%,,-6.84,,Active
"=""0181""",AEMULUS,Property,0.155,0.15,0.155,-0.005,0.155,0.150,0.315,0.15,10121,,79,2605685,21%,-0.009,0.6,25.0,Active
"=""6599""",AEON,Industrial & Consumer Products,1.29,1.26,1.290,-0.030,1.300,1.260,1.54,1.01,29315,3.57%,39,5486225,67%,0.038,9.12,13.82,Active
"=""659939""",AEON-C39,Technology,,,0.045,,-,-,0.115,0.045,0,,-,-,0%,,,,Active
"=""659940""",AEON-C40,Technology,,,0.005,,-,-,0.03,0.005,0,,-,-,0%,,,,Active
"=""659941""",AEON-C41,Technology,0.015,0.015,0.015,-,0.015,0.015,0.105,0.005,774,,-,1764115,75%,-0.002,,,Active
"=""659942""",AEON-C42,Technology,,,0.035,,-,-,0.055,0.035,0,,-,-,0%,,,,Active
"=""659943""",AEON-C43,Technology,,,0.015,,-,-,0.06,0.015,0,,-,-,0%,,,,Active
"=""659944""",AEON-C44,Technology,0.02,0.02,0.020,-,0.020,0.020,0.06,0.005,320,,-,284155,62%,-0.003,,,Active
"=""659945""",AEON-C45,Technology,0.06,0.055,0.060,-0.005,0.060,0.055,0.06,0.02,5000,,40,1747165,71%,0.006,,,Active
"=""659946""",AEON-C46,Technology,,,0.045,,-,-,0.045,0.02,0,,-,-,0%,,,,Active
"=""659947""",AEON-C47,Technology,,,0.075,,-,-,0.08,0.015,0,,-,1155360,71%,0.009,,,Active
"=""659948""",AEON-C48,Technology,0.105,0.1,0.105,-0.005,0.105,0.100,0.105,0.07,2770,,50,-,71%,,,,Active
"=""659949""",AEON-C49,Technology,0.08,0.075,0.080,-0.005,0.080,0.075,0.08,0.06,10033,,31,-,0%,,,,Active
"=""659950""",AEON-C50,Technology,0.045,0.045,0.150,-0.105,0.045,0.045,,,1000,,-,-,0%,,,,Active
"=""5139""",AEONCR,Industrial & Consumer Products,5.88,5.89,5.880,+0.010,5.900,5.810,6.36,4.85,1387,4.88%,30,216785,44%,0.042,72.58,8.12,Active
"=""5185""",AFFIN,Industrial & Consumer Products,2.76,2.78,2.760,+0.020,2.820,2.750,2.9,2.21,35104,,74,4593930,60%,0.07,21.45,13.82,Active
"=""518523""",AFFIN-C23,Technology,,,0.005,,-,-,0.15,0.005,0,,-,-,100%,,,,Active
"=""518524""",AFFIN-C24,Technology,0.02,0.02,0.025,-0.005,0.020,0.020,0.04,0.02,1900,,-,-,0%,,,,Active
"=""518525""",AFFIN-C25,Technology,0.17,0.18,0.170,+0.010,0.185,0.170,0.175,0.06,9877,,49,1750965,58%,0.014,,,Active
"=""518526""",AFFIN-C26,Technology,0.125,0.125,0.125,-,0.130,0.125,0.13,0.08,1280,,38,288500,60%,,,,Active
"=""518527""",AFFIN-C27,Technology,0.115,0.115,0.110,+0.005,0.115,0.110,0.11,0.055,150,,13,571445,63%,,,,Active
"=""518528""",AFFIN-C28,Technology,,,0.085,,-,-,0.095,0.085,0,,-,-,0%,,,,Active
"=""518529""",AFFIN-C29,Technology,0.07,0.07,0.150,-0.080,0.070,0.070,,,30,,33,-,0%,,,,Active
"=""518530""",AFFIN-C30,Technology,0.115,0.12,0.115,+0.005,0.125,0.115,0.115,0.115,15855,,65,-,0%,,,,Active
"=""5198""",AFUJIYA,Industrial & Consumer Products,,,0.295,,-,-,0.4,0.24,0,,-,22180,52%,,-7.06,,Active
"=""0258""",AGMO,Property,0.31,0.305,0.315,-0.010,0.310,0.300,0.56,0.3,5240,4.92%,26,417055,33%,-0.01,2.5,10.77,Active
"=""0309""",AGRICOR,Property,0.445,0.445,0.445,-,0.445,0.425,0.575,0.335,2060,,27,36750,51%,-0.003,-0.4,,Active
"=""0299""",AGX,Property,0.5,0.525,0.525,-,0.535,0.495,0.625,0.405,945,1.71%,100,307415,32%,0.005,2.94,18.04,Active
"=""7315""",AHB,Industrial & Consumer Products,0.04,0.035,0.040,-0.005,0.040,0.035,0.04,0.02,145421,,92,6446980,100%,,-0.8,,Active
"=""7315WC""",AHB-WC,Industrial & Consumer Products,0.015,0.015,0.015,-,0.015,0.015,0.015,0.005,200,,100,191520,50%,,,,Active
"=""0122""",AIM,Property,0.065,0.065,0.060,+0.005,0.065,0.065,0.075,0.015,49632,,66,1828735,67%,0.004,-1.68,,Active
"=""0122WA""",AIM-WA,Property,0.02,0.025,0.020,+0.005,0.025,0.020,0.02,0.005,25908,,71,717480,80%,0.001,,,Active
"=""0209""",AIMFLEX,Property,0.08,0.085,0.080,+0.005,0.085,0.080,0.14,0.075,401,,-,2108095,33%,-0.001,0.56,14.96,Active
"=""7219""",AIZO,Industrial & Consumer Products,0.045,0.045,0.045,-,0.050,0.045,0.125,0.04,9939,,8,2371940,50%,-0.001,-0.39,,Active
"=""7219PA""",AIZO-PA,Industrial & Consumer Products,0.01,0.01,0.015,-0.005,0.010,0.010,0.04,0.005,20382,,-,2305875,60%,,,,Active
"=""2658""",AJI,Industrial & Consumer Products,13.82,13.62,13.700,-0.080,13.820,13.600,15.48,12.36,293,18.38%,35,14865,53%,-0.008,81.68,16.67,Active
"=""7609""",AJIYA,Industrial & Consumer Products,1.02,1.03,1.010,+0.020,1.090,1.020,2.59,0.91,4532,,59,137055,48%,-0.012,18.97,11.33,Active
"=""5115""",ALAM,Industrial & Consumer Products,0.265,0.26,0.265,-0.005,0.265,0.260,0.34,0.025,6344,,-,1307285,43%,-0.003,2.22,2.54,"Active, Alert"
"=""5115WB""",ALAM-WB,Industrial & Consumer Products,0.085,0.085,0.080,+0.005,0.085,0.080,0.145,0.04,4950,,82,1105200,44%,-0.002,,,"Active, Alert"
"=""5116""",ALAQAR,Industrial & Consumer Products,1.28,1.28,1.270,+0.010,1.290,1.280,1.32,1.2,388,5.68%,57,105245,45%,,6.94,18.44,Active
"=""2674""",ALCOM,Industrial & Consumer Products,0.76,0.76,0.760,-,0.760,0.760,0.825,0.62,2,3.95%,-,17825,25%,-0.013,-2.91,,Active
"=""058247""",ALIBABA-C47,Technology,0.13,0.13,0.170,-0.040,0.130,0.130,0.515,0.09,300,,-,1859350,46%,-0.004,,,Active
"=""058248""",ALIBABA-C48,Technology,0.44,0.44,0.470,-0.030,0.440,0.440,1.0,0.2,1,,-,286205,62%,0.012,,,Active
"=""058249""",ALIBABA-C49,Technology,0.095,0.09,0.095,-0.005,0.095,0.090,0.215,0.075,214001,,19,18485000,35%,-0.004,,,Active
"=""058251""",ALIBABA-C51,Technology,,,0.080,,-,-,0.125,0.055,0,,-,3175815,40%,-0.001,,,Active
"=""05821F""",ALIBABA-H1F,Technology,,,0.020,,-,-,0.08,0.015,0,,-,1514585,54%,-0.004,,,Active
"=""05821G""",ALIBABA-H1G,Technology,,,0.065,,-,-,0.15,0.015,0,,-,5083800,47%,-0.01,,,Active
"=""1163""",ALLIANZ,Industrial & Consumer Products,22.9,22.98,22.900,+0.080,23.100,22.800,23.3,16.5,775,1.15%,48,192025,66%,0.626,401.46,5.49,Active
"=""1163PA""",ALLIANZ-PA,Industrial & Consumer Products,22.98,22.8,22.720,+0.080,22.980,22.720,23.34,16.68,24,,74,11280,61%,0.547,,,Active
"=""0303""",ALPHA,Property,0.265,0.27,0.265,+0.005,0.275,0.265,0.345,0.26,29391,3.52%,54,2799250,100%,-0.008,1.18,22.41,Active
"=""0079""",ALRICH,Property,0.06,0.06,0.060,-,0.060,0.060,0.075,0.01,56,,-,771000,33%,0.008,0.11,13.19,Active
"=""5269""",ALSREIT,Industrial & Consumer Products,0.47,0.455,0.470,-0.015,0.485,0.455,0.5,0.33,27,1.54%,-,87135,55%,0.002,0.91,49.94,Active
"=""1015""",AMBANK,Industrial & Consumer Products,6.48,6.49,6.490,-,6.580,6.480,6.69,4.93,93394,4.65%,51,7441860,53%,0.045,60.56,10.75,Active
"=""101554""",AMBANK-C54,Technology,,,0.170,,-,-,0.2,0.075,0,,-,144750,48%,0.006,,,Active
"=""101555""",AMBANK-C55,Technology,,,0.395,,-,-,0.425,0.125,0,,-,1090330,51%,0.012,,,Active
"=""101556""",AMBANK-C56,Technology,,,0.060,,-,-,0.065,0.045,0,,-,-,0%,,,,Active
"=""101557""",AMBANK-C57,Technology,0.37,0.365,0.365,-,0.390,0.365,0.425,0.19,8775,,16,1129950,51%,0.009,,,Active
"=""101558""",AMBANK-C58,Technology,,,0.160,,-,-,0.175,0.12,0,,-,358350,53%,0.008,,,Active
"=""101559""",AMBANK-C59,Technology,0.185,0.175,0.175,-,0.190,0.175,0.225,0.095,4628,,21,232225,50%,0.009,,,Active
"=""101560""",AMBANK-C60,Technology,,,0.040,,-,-,0.05,0.04,0,,-,-,0%,,,,Active
"=""101561""",AMBANK-C61,Technology,0.095,0.095,0.150,-0.055,0.100,0.095,,,4328,,50,-,0%,,,,Active
"=""0391""",AMBEST,Property,0.325,0.325,0.325,-,0.335,0.310,0.365,0.285,230864,,36,-,0%,,,,Active
"=""0744C1""",AMD-C1,Technology,,,0.085,,-,-,0.16,0.04,0,,-,54630,41%,0.001,,,Active
"=""0744C2""",AMD-C2,Technology,,,0.060,,-,-,0.06,0.06,0,,-,-,0%,,,,Active
"=""5293""",AME,Industrial & Consumer Products,1.57,1.58,1.570,+0.010,1.580,1.550,1.73,1.46,7356,3.80%,57,537900,59%,0.002,14.41,8.25,Active
"=""5293WA""",AME-WA,Industrial & Consumer Products,0.025,0.025,0.015,+0.010,0.025,0.025,0.175,0.01,210,,100,130660,44%,-0.005,,,Active
"=""5307""",AMEREIT,Industrial & Consumer Products,1.76,1.76,1.730,+0.030,1.760,1.760,1.77,1.4,9,4.22%,100,239780,65%,0.021,9.12,19.45,Active
"=""5120""",AMFIRST,Industrial & Consumer Products,0.33,0.33,0.325,+0.005,0.330,0.325,0.335,0.27,4826,7.27%,98,334765,50%,0.003,3.59,9.19,Active
"=""03011""",AMLEX,Utilities,,,0.180,,-,-,0.28,0.15,0,,-,420860,46%,-0.05,,,Active
"=""7031""",AMTEL,Industrial & Consumer Products,,,0.380,,-,-,0.52,0.315,0,,-,42400,51%,-0.005,5.42,7.38,Active
"=""6351""",AMWAY,Industrial & Consumer Products,5.3,5.3,5.290,+0.010,5.300,5.280,6.98,4.52,93,11.32%,-,17350,64%,0.061,58.58,9.05,Active
"=""7083""",ANALABS,Industrial & Consumer Products,,,1.740,,-,-,1.87,1.55,0,2.30%,-,7340,39%,-0.003,33.88,5.13,Active
"=""0048""",ANCOMLB,Property,0.08,0.08,0.080,-,0.080,0.075,0.12,0.08,12492,,81,473870,29%,-0.003,-0.21,53.55,Active
"=""4758""",ANCOMNY,Industrial & Consumer Products,0.905,0.9,0.905,-0.005,0.905,0.895,0.995,0.875,13905,0.06%,34,819240,33%,-0.001,6.09,16.24,Active
"=""0226""",ANEKA,Property,0.125,0.125,0.130,-0.005,0.125,0.125,0.165,0.12,86,,-,257400,60%,-0.001,0.65,14.84,Active
"=""6556""",ANNJOO,Industrial & Consumer Products,0.535,0.54,0.530,+0.010,0.540,0.535,0.825,0.525,125,4.63%,84,167150,25%,-0.012,-40.54,,Active
"=""6556WC""",ANNJOO-WC,Industrial & Consumer Products,,,0.140,,-,-,0.29,0.1,0,,-,47435,70%,-0.005,,,Active
"=""03051""",AORB,Utilities,,,3.100,,-,-,3.42,3.1,0,,-,42655,42%,0.497,,,Active
"=""5568""",APB,Industrial & Consumer Products,,,0.170,,-,-,0.295,0.16,0,,-,99040,55%,-0.001,-70.73,,Active
"=""5088""",APEX,Industrial & Consumer Products,0.825,0.83,0.800,+0.030,0.830,0.825,0.94,0.78,101,,100,83035,44%,-0.013,3.61,24.22,Active
"=""5015""",APM,Industrial & Consumer Products,3.47,3.56,3.460,+0.100,3.560,3.470,3.58,2.7,1194,7.87%,93,21855,74%,0.026,43.79,6.18,Active
"=""6432""",APOLLO,Industrial & Consumer Products,6.15,6.11,6.090,+0.020,6.210,6.110,6.82,5.7,680,8.18%,85,9085,36%,-0.057,50.22,12.17,Active
"=""0119""",APPASIA,Property,0.12,0.12,0.120,-,0.120,0.120,0.145,0.09,13940,,-,600685,44%,,0.24,61.63,Active
"=""052819""",APPLE-C19,Technology,,,0.110,,-,-,0.13,0.09,0,,-,-,0%,,,,Active
"=""0380""",AQUAWALK,Property,0.4,0.4,0.400,-,0.400,0.395,0.45,0.3,56776,,50,9320555,29%,0.005,,,Active
"=""7214""",ARANK,Industrial & Consumer Products,0.42,0.42,0.420,-,0.420,0.420,0.53,0.375,201,5.36%,10,32510,48%,0.005,6.67,8.49,Active
"=""7181""",ARBB,Industrial & Consumer Products,0.025,0.025,0.025,-,0.025,0.020,0.04,0.02,15157,,56,689375,50%,,0.15,16.54,Active
"=""7007""",ARK,Industrial & Consumer Products,,,0.230,,-,-,0.29,0.21,0,,-,10095,50%,-0.007,3.26,7.76,Active
"=""7218""",ARKA,Industrial & Consumer Products,,,0.645,,-,-,1.8,0.61,0,,-,12480,46%,-0.019,-11.01,,Active
"=""5210""",ARMADA,Industrial & Consumer Products,0.3,0.3,0.300,-,0.305,0.295,0.67,0.28,94134,3.33%,53,10581280,40%,-0.004,10.7,2.71,Active
"=""52101F""",ARMADA-C1F,Technology,,,0.005,,-,-,0.025,0.005,0,,-,169600,33%,-0.002,,,Active
"=""52101G""",ARMADA-C1G,Technology,,,0.010,,-,-,0.025,0.01,0,,-,-,0%,,,,Active
"=""52101H""",ARMADA-C1H,Technology,,,0.005,,-,-,0.015,0.01,0,,-,-,0%,,,,Active
"=""52101I""",ARMADA-C1I,Technology,,,0.010,,-,-,0.03,0.01,0,,-,-,0%,,,,Active
"=""52101J""",ARMADA-C1J,Technology,0.01,0.015,0.010,+0.005,0.015,0.010,0.03,0.01,12030,,42,561560,25%,-0.001,,,Active
"=""52101K""",ARMADA-C1K,Technology,,,0.015,,-,-,0.025,0.015,0,,-,-,0%,,,,Active
"=""52101L""",ARMADA-C1L,Technology,,,0.030,,-,-,0.05,0.03,0,,-,-,0%,,,,Active
"=""52101M""",ARMADA-C1M,Technology,0.035,0.035,0.035,-,0.035,0.035,0.045,0.035,1000,,100,-,0%,,,,Active
"=""52101N""",ARMADA-C1N,Technology,0.04,0.04,0.040,-,0.040,0.040,0.04,0.04,1112,,-,-,0%,,,,Active
"=""5127""",ARREIT,Industrial & Consumer Products,0.34,0.33,0.335,-0.005,0.340,0.330,0.425,0.325,338,,10,114095,53%,-0.002,0.87,38.0,Active
"=""0038""",ARTRONIQ,Property,0.15,0.145,0.145,-,0.150,0.145,0.17,0.065,3301,,-,1747180,73%,0.003,-1.37,,Active
"=""0038WA""",ARTRONIQ-WA,Property,,,0.005,,-,-,0.025,0.005,0,,-,501800,33%,,,,Active
"=""1481""",ASB,Industrial & Consumer Products,0.08,0.08,0.080,-,0.080,0.075,0.1,0.06,2691,0.63%,63,2301230,100%,0.001,-2.32,,Active
"=""0068""",ASDION,Property,0.02,0.02,0.020,-,0.020,0.020,0.035,0.015,50,,-,536350,50%,,0.75,2.07,"Active, Alert"
"=""7722""",ASIABRN,Industrial & Consumer Products,,,0.525,,-,-,0.58,0.47,0,3.81%,-,26615,52%,0.003,1.29,40.77,Active
"=""7129""",ASIAFLE,Industrial & Consumer Products,1.38,1.38,1.370,+0.010,1.380,1.380,1.7,1.3,30,1.45%,100,13640,58%,-0.003,-22.53,,Active
"=""4057""",ASIAPAC,Industrial & Consumer Products,0.1,0.105,0.105,-,0.105,0.100,0.135,0.08,21,,100,457680,50%,-0.001,8.27,1.29,Active
"=""0105""",ASIAPLY,Property,0.125,0.125,0.125,-,0.130,0.125,0.205,0.095,11187,,-,1063650,42%,,-1.05,,Active
"=""0105WC""",ASIAPLY-WC,Property,0.02,0.02,0.020,-,0.025,0.020,0.04,0.02,169,,8,1953285,25%,,,,Active
"=""0362""",ASM,Property,0.125,0.125,0.125,-,0.125,0.125,0.205,0.125,10,,-,117995,20%,-0.004,1.3,12.68,Active
"=""7020""",ASTEEL,Industrial & Consumer Products,0.07,0.07,0.070,-,0.070,0.070,0.09,0.06,4893,,100,88875,33%,,-0.47,,Active
"=""7162""",ASTINO,Industrial & Consumer Products,0.515,0.52,0.525,-0.005,0.520,0.515,0.6,0.49,383,,-,63035,71%,,7.24,7.45,Active
"=""03032""",ASTRA,Utilities,,,0.500,,-,-,0.5,0.5,0,,-,-,0%,,,,Active
"=""6399""",ASTRO,Industrial & Consumer Products,0.085,0.075,0.080,-0.005,0.085,0.075,0.225,0.075,148876,,9,6877275,17%,-0.006,2.47,3.07,Active
"=""5302""",ATECH,Industrial & Consumer Products,0.705,0.71,0.705,+0.005,0.715,0.690,3.59,0.69,24235,12.25%,35,1725345,22%,-0.043,14.7,15.14,Active
"=""5302CM""",ATECH-CM,Technology,,,0.150,,-,-,0.15,0.15,0,,-,-,0%,,,,Active
"=""5302CN""",ATECH-CN,Technology,,,0.005,,-,-,0.065,0.005,0,,-,405510,11%,-0.009,,,Active
"=""5302CO""",ATECH-CO,Technology,,,0.005,,-,-,0.045,0.005,0,,-,-,0%,,,,Active
"=""5302CP""",ATECH-CP,Technology,,,0.010,,-,-,0.065,0.01,0,,-,890505,43%,-0.004,,,Active
"=""5302CQ""",ATECH-CQ,Technology,,,0.055,,-,-,0.055,0.05,0,,-,-,0%,,,,Active
"=""5302WA""",ATECH-WA,Industrial & Consumer Products,0.14,0.15,0.150,-,0.150,0.140,0.415,0.13,4550,,14,2308150,30%,-0.004,,,Active
"=""7048""",ATLAN,Industrial & Consumer Products,,,2.750,,-,-,3.15,2.33,0,4.64%,-,8705,37%,-0.024,20.0,10.5,Active
"=""5130""",ATRIUM,Industrial & Consumer Products,1.39,1.38,1.390,-0.010,1.390,1.380,1.41,1.22,1030,6.81%,-,89425,63%,0.009,5.44,25.39,Active
"=""0098""",AUMAS,Property,0.545,0.555,0.545,+0.010,0.555,0.545,0.95,0.51,17512,4.50%,42,3953885,28%,-0.021,1.85,29.94,Active
"=""5025""",AURO,Industrial & Consumer Products,0.14,0.145,0.140,+0.005,0.145,0.140,0.185,0.125,8893,,100,699365,100%,,-1.26,,Active
"=""03037""",AURORA,Utilities,,,0.220,,-,-,,,0,,-,-,0%,,,,Active
"=""03059""",AUTORIS,Utilities,,,0.495,,-,-,0.495,0.495,0,,-,-,0%,,,,Active
"=""5182""",AVALAND,Industrial & Consumer Products,0.205,0.205,0.205,-,0.205,0.205,0.325,0.195,378,,74,634895,33%,-0.003,6.79,3.02,Active
"=""5259""",AVANGAAD,Industrial & Consumer Products,0.31,0.31,0.315,-0.005,0.315,0.305,0.365,0.26,203949,,89,14267410,43%,-0.001,16.45,2.66,Active
"=""8885""",AVI,Industrial & Consumer Products,0.05,0.05,0.050,-,0.050,0.050,0.085,0.03,102,,100,621855,33%,-0.001,-0.59,,Active
"=""5204""",AWANTEC,Industrial & Consumer Products,0.305,0.295,0.305,-0.010,0.305,0.295,0.375,0.265,5002,,33,830055,42%,-0.003,-3.93,,Active
"=""7579""",AWC,Industrial & Consumer Products,0.59,0.59,0.590,-,0.590,0.585,1.14,0.5,2976,2.12%,24,1075945,47%,-0.007,7.6,8.16,Active
