Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26,12)",EPS*,P/E,Status
"=""0660AF""",HSCEI-CAF,Technology,,,0.245,,-,-,0.35,0.215,0,,-,-,0%,,,,Active
"=""0660BE""",HSCEI-HBE,Technology,,,0.220,,-,-,,,0,,-,-,0%,,,,Active
"=""0660BF""",HSCEI-HBF,Technology,,,0.230,,-,-,,,0,,-,-,0%,,,,Active
"=""0652I7""",HSI-CWI7,Technology,0.165,0.155,0.160,-0.005,0.165,0.155,0.3,0.09,140,,43,188035,53%,0.002,,,Active
"=""0652IZ""",HSI-CWIZ,Technology,0.215,0.18,0.200,-0.020,0.215,0.180,0.305,0.11,361,,39,85855,55%,0.003,,,Active
"=""0652K1""",HSI-CWK1,Technology,0.08,0.075,0.085,-0.010,0.080,0.075,0.165,0.05,7702,,32,200180,53%,-0.001,,,Active
"=""0652K5""",HSI-CWK5,Technology,0.09,0.09,0.100,-0.010,0.090,0.090,0.16,0.06,500,,50,103790,54%,-0.003,,,Active
"=""0652KF""",HSI-CWKF,Technology,0.17,0.155,0.180,-0.025,0.170,0.155,0.3,0.1,550,,4,142810,56%,0.002,,,Active
"=""0652M1""",HSI-CWM1,Technology,,,0.090,,-,-,0.12,0.06,0,,-,-,0%,,,,Active
"=""0652M2""",HSI-CWM2,Technology,,,0.055,,-,-,0.235,0.04,0,,-,1010800,38%,-0.02,,,Active
"=""0652M3""",HSI-CWM3,Technology,0.18,0.15,0.185,-0.035,0.180,0.150,0.385,0.125,7511,,25,8417950,45%,-0.023,,,Active
"=""0652M4""",HSI-CWM4,Technology,,,0.190,,-,-,,,0,,-,-,0%,,,,Active
"=""0652M5""",HSI-CWM5,Technology,,,0.090,,-,-,0.135,0.085,0,,-,-,0%,,,,Active
"=""0652M6""",HSI-CWM6,Technology,,,0.040,,-,-,0.265,0.03,0,,-,4400135,38%,-0.03,,,Active
"=""0652M7""",HSI-CWM7,Technology,0.13,0.1,0.145,-0.045,0.135,0.100,0.46,0.08,305503,,47,49400110,43%,-0.04,,,Active
"=""0652M8""",HSI-CWM8,Technology,0.105,0.105,0.110,-0.005,0.105,0.105,0.25,0.07,950,,74,68200,47%,0.008,,,Active
"=""0652M9""",HSI-CWM9,Technology,,,0.605,,-,-,0.825,0.495,0,,-,150230,43%,0.002,,,Active
"=""0652MB""",HSI-CWMB,Technology,0.92,0.92,1.050,-0.130,0.920,0.920,1.37,0.66,30,,100,26755,53%,0.013,,,Active
"=""0652MC""",HSI-CWMC,Technology,0.31,0.265,0.325,-0.060,0.315,0.265,0.82,0.18,1849,,43,559320,48%,-0.03,,,Active
"=""0652MD""",HSI-CWMD,Technology,,,0.050,,-,-,0.45,0.05,0,,-,741590,44%,-0.054,,,Active
"=""0652ME""",HSI-CWME,Technology,0.82,0.76,0.865,-0.105,0.820,0.760,1.13,0.57,450,,-,25410,51%,0.008,,,Active
"=""0652MF""",HSI-CWMF,Technology,0.35,0.315,0.370,-0.055,0.350,0.315,0.715,0.26,1470,,69,60700,45%,-0.016,,,Active
"=""0652MG""",HSI-CWMG,Technology,0.115,0.12,0.135,-0.015,0.120,0.115,0.46,0.135,1000,,-,-,26%,,,,Active
"=""0652MH""",HSI-CWMH,Technology,0.715,0.66,0.735,-0.075,0.715,0.660,1.06,0.505,540,,30,201320,53%,0.001,,,Active
"=""0652MI""",HSI-CWMI,Technology,0.355,0.32,0.370,-0.050,0.355,0.320,0.665,0.25,8900,,60,1076295,52%,-0.01,,,Active
"=""0652MJ""",HSI-CWMJ,Technology,0.175,0.155,0.180,-0.025,0.175,0.155,0.44,0.12,4010,,38,612860,44%,-0.018,,,Active
"=""0652MK""",HSI-CWMK,Technology,,,0.205,,-,-,0.715,0.19,0,,-,-,0%,,,,Active
"=""0652ML""",HSI-CWML,Technology,0.03,0.03,0.045,-0.015,0.035,0.030,0.47,0.03,2395,,18,26899375,35%,-0.044,,,Active
"=""0652MM""",HSI-CWMM,Technology,,,0.060,,-,-,0.29,0.06,0,,-,241180,23%,-0.035,,,Active
"=""0652MN""",HSI-CWMN,Technology,,,0.185,,-,-,0.24,0.1,0,,-,79400,57%,0.004,,,Active
"=""0652MS""",HSI-CWMS,Technology,0.13,0.13,0.145,-0.015,0.130,0.130,0.215,0.09,200,,-,194725,54%,0.003,,,Active
"=""0652MT""",HSI-CWMT,Technology,,,0.365,,-,-,0.7,0.245,0,,-,-,32%,,,,Active
"=""0652MU""",HSI-CWMU,Technology,,,0.105,,-,-,0.415,0.09,0,,-,-,19%,,,,Active
"=""0652MV""",HSI-CWMV,Technology,,,0.030,,-,-,0.23,0.03,0,,-,12651610,33%,-0.022,,,Active
