Code,Stock,Prv Close,High,Low,Last,Vol,Status,P/E,EPS*,"MACD (26, 12)",Vol MA (20),DY*,Y-Low,Y-High,RSI (14),Open,Sector,Chg,B%,code_clean,name_clean,price_num,volume_num,instrument_type,sector_raw,sector_name,daily_change
"=""4715""",GENM,1.980,2.000,1.980,1.99,10249,Active,72.88,4.43,-0.018,3027120,5.03%,1.46,2.48,45%,1.98,101,+0.010,38,4715,GENM,1.99,3027120.0,Stock,101,Industrial & Consumer Products,0.0
"=""47153Q""",GENM-C3Q,0.045,0.050,0.045,0.045,500,Active,,,-0.006,1111730,,0.045,0.155,36%,0.05,301,-,26,47153Q,GENM-C3Q,0.045,1111730.0,Stock,301,Technology,0.0
"=""47153S""",GENM-C3S,0.040,0.040,0.040,0.04,500,Active,,,,-,,0.04,0.045,0%,0.04,301,-,-,47153S,GENM-C3S,0.04,,Stock,301,Technology,0.0
"=""47153T""",GENM-C3T,0.080,0.090,0.090,0.09,1000,Active,,,,-,,0.08,0.14,0%,0.09,301,+0.010,50,47153T,GENM-C3T,0.09,,Stock,301,Technology,0.0
"=""47153U""",GENM-C3U,0.070,0.070,0.070,0.07,6980,Active,,,,-,,0.07,0.075,0%,0.07,301,-,94,47153U,GENM-C3U,0.07,,Stock,301,Technology,0.0
"=""2291""",GENP,5.100,5.160,5.100,5.14,2717,Active,13.77,36.01,0.021,525925,4.86%,4.75,5.82,58%,5.12,125,+0.040,19,2291,GENP,5.14,525925.0,Stock,125,Industrial & Consumer Products,0.0
"=""3182""",GENTING,2.880,2.910,2.860,2.9,14706,Active,5.56,22.93,-0.026,3369230,3.79%,2.76,3.93,50%,2.87,101,+0.020,53,3182,GENTING,2.9,3369230.0,Stock,101,Industrial & Consumer Products,0.0
"=""31823W""",GENTINGC3W,0.030,0.025,0.020,0.025,1001,Active,,,-0.008,883705,,0.02,0.135,40%,0.02,301,-0.005,100,31823W,GENTINGC3W,0.025,883705.0,Warrant,301,Technology,0.0
"=""31823Z""",GENTINGC3Z,0.015,0.015,0.015,0.015,200,Active,,,-0.016,818255,,0.015,0.145,18%,0.015,301,-,-,31823Z,GENTINGC3Z,0.015,818255.0,Stock,301,Technology,0.0
"=""31824B""",GENTINGC4B,0.070,0.060,0.050,0.06,19434,Active,,,-0.007,1477415,,0.05,0.25,57%,0.055,301,-0.010,64,31824B,GENTINGC4B,0.06,1477415.0,Stock,301,Technology,0.0
"=""31824F""",GENTINGC4F,0.075,0.070,0.070,0.07,300,Active,,,,-,,0.065,0.08,0%,0.07,301,-0.005,100,31824F,GENTINGC4F,0.07,,Stock,301,Technology,0.0
"=""31824H""",GENTINGC4H,0.080,0.080,0.075,0.08,5989,Active,,,,-,,0.08,0.08,0%,0.075,301,-,25,31824H,GENTINGC4H,0.08,,Stock,301,Technology,0.0
"=""31824I""",GENTINGC4I,-,0.060,0.060,0.06,3300,New,,,,-,,,,0%,0.06,301,-0.090,79,31824I,GENTINGC4I,0.06,,Stock,301,Technology,0.0
"=""5345""",GEOHAN,0.365,0.375,0.360,0.365,380,Active,,,-0.023,285560,,0.355,0.55,35%,0.36,103,-,68,5345,GEOHAN,0.365,285560.0,Stock,103,Industrial & Consumer Products,0.0
"=""7197""",GESHEN,1.600,1.620,1.590,1.62,5245,Active,51.12,9.37,-0.004,292610,,1.34,5.2,43%,1.59,102,+0.020,100,7197,GESHEN,1.62,292610.0,Stock,102,Industrial & Consumer Products,0.0
"=""0039""",GFM,0.165,0.165,0.160,0.16,6996,Active,5.12,3.13,-0.002,620730,3.00%,0.16,0.245,37%,0.165,102,-0.005,4,0039,GFM,0.16,620730.0,Stock,102,Industrial & Consumer Products,0.0
"=""0039WD""",GFM-WD,0.030,0.035,0.030,0.035,9201,Active,,,-0.001,172590,,0.03,0.105,33%,0.03,102,+0.005,57,0039WD,GFM-WD,0.035,172590.0,Warrant,102,Industrial & Consumer Products,0.0
"=""0387""",GHS,0.210,0.210,0.205,0.205,1259,Active,,,,-,,0.2,0.245,18%,0.21,401,-0.005,85,0387,GHS,0.205,,Stock,401,Property,0.0
"=""7192""",GIIB,0.075,0.075,0.075,0.075,6500,Active,,-2.09,,801680,,0.05,0.09,50%,0.075,102,-,100,7192,GIIB,0.075,801680.0,Stock,102,Industrial & Consumer Products,0.0
"=""3204""",GKENT,0.320,0.330,0.315,0.325,3755,Active,42.34,0.9,-0.001,107330,4.62%,0.3,0.4,37%,0.325,103,+0.005,-,3204,GKENT,0.325,107330.0,Stock,103,Industrial & Consumer Products,0.0
"=""7382""",GLBHD,0.310,0.315,0.315,0.315,2,Active,,-4.47,0.009,54750,,0.2,0.34,55%,0.315,125,+0.005,100,7382,GLBHD,0.315,54750.0,Stock,125,Industrial & Consumer Products,0.0
"=""0709C9""",GLDHK-C9,0.700,0.690,0.625,0.625,1678,Active,,,0.144,633500,,0.275,1.08,57%,0.69,358,-0.075,12,0709C9,GLDHK-C9,0.625,633500.0,Warrant,358,Technology,0.0
"=""0709H4""",GLDHK-H4,0.070,0.075,0.075,0.075,5000,Active,,,,-,,0.07,0.15,0%,0.075,358,+0.005,40,0709H4,GLDHK-H4,0.075,,Stock,358,Technology,0.0
"=""5020""",GLOMAC,0.340,0.340,0.335,0.335,527,Active,17.62,2.03,0.002,107850,6.72%,0.3,0.39,43%,0.34,120,-0.005,-,5020,GLOMAC,0.335,107850.0,Stock,120,Industrial & Consumer Products,0.0
"=""5220""",GLOTEC,1.020,1.030,1.000,1.02,4286,Active,31.48,3.51,0.084,1016030,0.69%,0.425,1.02,98%,1.0,102,-,62,5220,GLOTEC,1.02,1016030.0,Stock,102,Industrial & Consumer Products,0.0
"=""0284""",GLXT,0.235,0.235,0.230,0.235,426,Active,14.18,1.69,0.002,1004915,3.19%,0.17,0.26,56%,0.235,402,-,51,0284,GLXT,0.235,1004915.0,Stock,402,Property,0.0
"=""9962""",GMUTUAL,0.265,0.270,0.265,0.27,1141,Active,5.75,4.7,-0.007,64790,1.85%,0.225,0.345,33%,0.27,120,+0.005,32,9962,GMUTUAL,0.27,64790.0,Stock,120,Industrial & Consumer Products,0.0
"=""1147""",GOB,0.105,0.105,0.100,0.1,1624,Active,16.79,0.35,-0.001,1391885,,0.1,0.165,50%,0.105,120,-0.005,-,1147,GOB,0.1,1391885.0,Stock,120,Industrial & Consumer Products,0.0
"=""0074""",GOCEAN,0.090,0.090,0.080,0.085,31361,Active,,-1.01,,441885,,0.07,0.28,67%,0.09,401,-0.005,79,0074,GOCEAN,0.085,441885.0,Stock,401,Property,0.0
"=""0311""",GOHUB,0.865,0.890,0.855,0.89,3622,Active,69.93,1.4,0.071,760070,,0.45,1.02,78%,0.855,405,+0.025,89,0311,GOHUB,0.89,760070.0,Stock,405,Property,0.0
"=""0828EA""",GOLDETF,6.050,6.020,5.960,6.01,2131,Active,30.24,65.67,0.106,248495,,3.94,6.7,52%,6.01,654,-0.040,66,0828EA,GOLDETF,6.01,248495.0,Warrant,654,Transportation & Logistics,0.0
"=""2135""",GOPENG,0.825,0.820,0.820,0.82,255,Active,12.62,6.55,0.003,20660,,0.555,0.85,60%,0.82,125,-0.005,48,2135,GOPENG,0.82,20660.0,Stock,125,Industrial & Consumer Products,0.0
"=""0082""",GPACKET,0.040,0.040,0.035,0.04,651,Active,,-0.67,,1547630,,0.02,0.055,40%,0.04,163,-,77,0082,GPACKET,0.04,1547630.0,Stock,163,Industrial & Consumer Products,0.0
"=""5649""",GPHAROS,0.230,0.245,0.240,0.245,2510,Active,,-11.08,-0.004,104045,,0.16,0.345,46%,0.24,102,+0.015,92,5649,GPHAROS,0.245,104045.0,Stock,102,Industrial & Consumer Products,0.0
"=""0208""",GREATEC,1.800,1.840,1.760,1.79,19230,Active,29.04,6.18,0.039,6722935,,1.1,2.36,51%,1.79,105,-0.010,63,0208,GREATEC,1.79,6722935.0,Stock,105,Industrial & Consumer Products,0.0
"=""020822""",GREATEC-C22,0.060,0.065,0.055,0.06,12558,Active,,,-0.018,1382630,,0.04,0.22,43%,0.055,305,-,50,020822,GREATEC-C22,0.06,1382630.0,Warrant,305,Technology,0.0
"=""020823""",GREATEC-C23,0.085,0.085,0.070,0.08,13813,Active,,,0.001,5147630,,0.03,0.335,43%,0.075,305,-0.005,41,020823,GREATEC-C23,0.08,5147630.0,Warrant,305,Technology,0.0
"=""020824""",GREATEC-C24,0.040,0.045,0.040,0.045,20,Active,,,-0.005,552535,,0.02,0.15,67%,0.04,305,+0.005,50,020824,GREATEC-C24,0.045,552535.0,Warrant,305,Technology,0.0
"=""020826""",GREATEC-C26,0.040,0.035,0.030,0.035,18526,Active,,,,974370,,0.015,0.145,50%,0.03,305,-0.005,52,020826,GREATEC-C26,0.035,974370.0,Warrant,305,Technology,0.0
"=""020830""",GREATEC-C30,0.090,0.090,0.090,0.09,20,Active,,,,-,,0.07,0.095,60%,0.09,305,-,50,020830,GREATEC-C30,0.09,,Warrant,305,Technology,0.0
"=""020831""",GREATEC-C31,0.140,0.145,0.135,0.145,4000,Active,,,,-,,0.115,0.155,0%,0.135,305,+0.005,50,020831,GREATEC-C31,0.145,,Warrant,305,Technology,0.0
"=""020832""",GREATEC-C32,0.125,0.125,0.115,0.125,80,Active,,,,-,,0.105,0.13,0%,0.115,305,-,63,020832,GREATEC-C32,0.125,,Warrant,305,Technology,0.0
"=""020833""",GREATEC-C33,-,0.080,0.075,0.08,100,New,,,,-,,,,0%,0.075,305,-0.070,50,020833,GREATEC-C33,0.08,,Warrant,305,Technology,0.0
"=""7943""",GREENTEC,0.220,0.210,0.200,0.2,3459,Active,,-5.09,0.011,3383000,,0.05,0.265,44%,0.205,101,-0.020,3,7943,GREENTEC,0.2,3383000.0,Stock,101,Industrial & Consumer Products,0.0
"=""7022""",GTRONIC,0.275,0.275,0.270,0.27,1764,Active,7.31,3.94,-0.003,1703625,12.96%,0.265,0.52,50%,0.275,105,-0.005,56,7022,GTRONIC,0.27,1703625.0,Stock,105,Industrial & Consumer Products,0.0
"=""3247""",GUH,0.305,0.305,0.295,0.305,32,Active,,-7.71,,59410,,0.255,0.405,25%,0.295,102,-,94,3247,GUH,0.305,59410.0,Stock,102,Industrial & Consumer Products,0.0
"=""1503""",GUOCO,1.050,1.070,1.050,1.07,11670,Active,29.56,2.79,0.103,1620235,,0.55,1.06,91%,1.05,120,+0.020,28,1503,GUOCO,1.07,1620235.0,Stock,120,Industrial & Consumer Products,0.0
"=""0237""",HAILY,0.225,0.245,0.225,0.245,24641,Active,11.97,3.47,0.001,312710,1.27%,0.17,0.25,78%,0.225,403,+0.020,75,0237,HAILY,0.245,312710.0,Stock,403,Property,0.0
"=""0237WA""",HAILY-WA,0.075,0.080,0.075,0.08,1750,Active,,,,52505,,0.05,0.095,60%,0.075,403,+0.005,100,0237WA,HAILY-WA,0.08,52505.0,Warrant,403,Property,0.0
"=""7253""",HANDAL,0.035,0.035,0.030,0.035,2402,Active,,0.48,,294265,,0.025,0.065,50%,0.03,161,-,-,7253,HANDAL,0.035,294265.0,Stock,161,Industrial & Consumer Products,0.0
"=""7253WB""",HANDAL-WB,0.005,0.005,0.005,0.005,275,Active,,,,52065,,0.005,0.015,100%,0.005,161,-,-,7253WB,HANDAL-WB,0.005,52065.0,Warrant,161,Industrial & Consumer Products,0.0
"=""3034""",HAPSENG,3.050,3.050,3.010,3.03,1184,Active,9.77,26.13,0.033,273665,6.60%,2.4,3.39,56%,3.01,102,-0.020,54,3034,HAPSENG,3.03,273665.0,Stock,102,Industrial & Consumer Products,0.0
